Rank,Symbol,CoinID,Name,MarketCap_USD,Price_USD,PriceChange24h,Volume24h_USD
1,BTC,bitcoin,Bitcoin,1412947742341,70613.0,0.97071,25984318177.0
2,ETH,ethereum,Ethereum,260072978290,2154.57,0.82583,10718346772.0
3,XRP,ripple,XRP,88203890153,1.44,0.04563,1106981839.0
4,BNB,binancecoin,BNB,87635614292,642.71,0.31345,635990868.0
5,SOL,solana,Solana,51330937863,89.8,0.96267,1977666673.0
6,TRX,tron,TRON,29252877155,0.308877,0.43281,494899470.0
7,FIGR_HELOC,figure-heloc,Figure Heloc,15889532547,1.003,0.1189,329941943.0
8,DOGE,dogecoin,Dogecoin,14484660161,0.094474,0.31701,484258594.0
9,WBT,whitebit,WhiteBIT Coin,11784809674,55.22,0.55746,34584022.0
10,ADA,cardano,Cardano,9739990774,0.26455,-0.73016,287222822.0
11,HYPE,hyperliquid,Hyperliquid,9535923371,39.95,1.15857,206099787.0
12,BCH,bitcoin-cash,Bitcoin Cash,9334238655,466.4,-0.6061,152080614.0
13,LEO,leo-token,LEO Token,8493907680,9.22,0.27347,408602.0
14,XMR,monero,Monero,6464316452,350.39,1.50364,67515803.0
15,LINK,chainlink,Chainlink,6439677833,9.1,0.83258,230974467.0
16,CC,canton-network,Canton,5519677562,0.145406,1.95188,6709680.0
17,XLM,stellar,Stellar,5477328110,0.16599,-0.00593,65868991.0
18,LTC,litecoin,Litecoin,4287691241,55.73,0.33085,250962744.0
19,RAIN,rain,Rain,4172667928,0.00872565,-0.56527,19707554.0
20,AVAX,avalanche-2,Avalanche,4115178874,9.53,0.49313,198542858.0
21,HBAR,hedera-hashgraph,Hedera,4041127143,0.093348,0.58671,37797677.0
22,ZEC,zcash,Zcash,3864778172,232.73,-1.21483,260019723.0
23,SUI,sui,Sui,3765188678,0.965883,0.54444,199070536.0
24,CRO,crypto-com-chain,Cronos,3173433901,0.075057,0.11883,7655270.0
25,TON,the-open-network,Toncoin,3110876285,1.26,2.99235,95941801.0
26,M,memecore,MemeCore,2881799532,1.65,-0.81259,7711116.0
27,TAO,bittensor,Bittensor,2657378958,277.01,-0.30444,313858253.0
28,WLFI,world-liberty-financial,World Liberty Financial,2625748378,0.09487,3.71817,65984761.0
29,DOT,polkadot,Polkadot,2521922494,1.51,-1.17821,127097627.0
