Rank,Symbol,Name,CoinID,MarketCap_USD,Price_USD,Change_24h,Volume24h_USD,Updated_NY
1,BTC,Bitcoin,bitcoin,1375092788409,68789.0,-2.60896,27396901549.0,2026-03-22 05:04 NY
2,ETH,Ethereum,ethereum,251570645648,2086.0,-3.22327,13038877861.0,2026-03-22 05:04 NY
3,BNB,BNB,binancecoin,85971616655,630.64,-2.02744,794976738.0,2026-03-22 05:04 NY
4,XRP,XRP,ripple,85779659348,1.4,-2.97044,1594434584.0,2026-03-22 05:04 NY
5,SOL,Solana,solana,49920722875,87.3,-3.01246,2373449809.0,2026-03-22 05:04 NY
6,TRX,TRON,tron,29297477639,0.309167,0.07526,557241858.0,2026-03-22 05:04 NY
7,DOGE,Dogecoin,dogecoin,13987420726,0.091146,-3.39374,810211563.0,2026-03-22 05:04 NY
8,ADA,Cardano,cardano,9447715428,0.256552,-3.24825,366223206.0,2026-03-22 05:04 NY
9,BCH,Bitcoin Cash,bitcoin-cash,9348104448,467.05,-0.52383,155830153.0,2026-03-22 05:04 NY
10,LINK,Chainlink,chainlink,6245303409,8.82,-3.3435,289268042.0,2026-03-22 05:04 NY
11,XLM,Stellar,stellar,5268722428,0.159616,-3.50274,68145654.0,2026-03-22 05:04 NY
12,LTC,Litecoin,litecoin,4169920686,54.18,-3.9321,271853184.0,2026-03-22 05:04 NY
13,AVAX,Avalanche,avalanche-2,3952456956,9.16,-4.33048,200186671.0,2026-03-22 05:04 NY
14,HBAR,Hedera,hedera-hashgraph,3913857899,0.090394,-2.75261,62226985.0,2026-03-22 05:04 NY
15,ZEC,Zcash,zcash,3637936144,219.24,-6.55163,256705718.0,2026-03-22 05:04 NY
16,SUI,Sui,sui,3613111024,0.926446,-4.01859,318382227.0,2026-03-22 05:04 NY
17,TON,Toncoin,the-open-network,3081780151,1.25,-0.90776,89549299.0,2026-03-22 05:04 NY
18,WLFI,World Liberty Financial,world-liberty-financial,2667447380,0.096462,2.47166,83723971.0,2026-03-22 05:04 NY
19,TAO,Bittensor,bittensor,2622480135,273.46,0.29241,287660103.0,2026-03-22 05:04 NY
20,DOT,Polkadot,polkadot,2432305188,1.45,-3.28895,124671123.0,2026-03-22 05:04 NY
21,UNI,Uniswap,uniswap,2205378684,3.48,-3.74827,141413575.0,2026-03-22 05:04 NY
22,SKY,Sky,sky,1695025270,0.073507,-0.74353,18669546.0,2026-03-22 05:04 NY
23,NEAR,NEAR Protocol,near,1670481185,1.29,-1.88754,107544754.0,2026-03-22 05:04 NY
24,ASTER,Aster,aster-2,1651437167,0.672468,-2.80225,166099997.0,2026-03-22 05:04 NY
25,AAVE,Aave,aave,1641689733,108.17,-2.99566,214387843.0,2026-03-22 05:04 NY
26,RLUSD,Ripple USD,ripple-usd,1526684615,0.999892,-0.00215,43554271.0,2026-03-22 05:04 NY
27,ICP,Internet Computer,internet-computer,1329843216,2.42,-4.23275,36975756.0,2026-03-22 05:04 NY
28,ETC,Ethereum Classic,ethereum-classic,1269639088,8.14,-3.53333,33676804.0,2026-03-22 05:04 NY
29,ONDO,Ondo,ondo-finance,1218684739,0.250295,-4.12278,34868782.0,2026-03-22 05:04 NY
30,QNT,Quant,quant-network,1100878238,75.67,-3.13087,14752677.0,2026-03-22 05:04 NY
