Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,123.43,125.16,122.71,124.84,6813.411,2026-02-19 18:59
2026-02-19 16:00,124.84,126.93,123.65,123.77,13567.137,2026-02-19 22:59
2026-02-19 20:00,123.78,125.05,122.64,124.03,5400.344,2026-02-20 02:59
2026-02-20 00:00,124.04,126.6,123.99,124.67,15222.418,2026-02-20 06:59
2026-02-20 04:00,124.68,124.78,114.6,117.6,93131.639,2026-02-20 10:59
2026-02-20 08:00,117.6,119.15,115.12,116.95,39999.975,2026-02-20 14:59
2026-02-20 12:00,116.95,117.53,115.59,115.94,15791.744,2026-02-20 18:59
2026-02-20 16:00,115.94,116.89,114.64,116.16,18690.457,2026-02-20 22:59
2026-02-20 20:00,116.15,119.89,115.89,118.95,15145.627,2026-02-21 02:59
2026-02-21 00:00,118.95,122.96,118.42,122.35,19712.783,2026-02-21 06:59
2026-02-21 04:00,122.36,124.99,121.62,121.71,33278.24,2026-02-21 10:59
2026-02-21 08:00,121.73,124.28,120.82,123.41,15022.46,2026-02-21 14:59
2026-02-21 12:00,123.42,123.73,121.41,121.49,8292.102,2026-02-21 18:59
2026-02-21 16:00,121.5,121.6,119.25,119.4,22358.113,2026-02-21 22:59
2026-02-21 20:00,119.4,119.59,118.77,118.91,12050.735,2026-02-22 02:59
2026-02-22 00:00,118.91,119.89,118.41,119.61,7674.26,2026-02-22 06:59
2026-02-22 04:00,119.6,119.69,117.47,118.48,14028.394,2026-02-22 10:59
2026-02-22 08:00,118.47,118.57,117.22,117.95,8085.159,2026-02-22 14:59
2026-02-22 12:00,117.95,118.44,117.09,117.95,5308.484,2026-02-22 18:59
2026-02-22 16:00,117.96,118.36,111.3,112.18,41500.946,2026-02-22 22:59
2026-02-22 20:00,112.18,115.84,111.9,114.71,18110.762,2026-02-23 02:59
2026-02-23 00:00,114.7,118.15,114.25,117.38,16609.897,2026-02-23 06:59
2026-02-23 04:00,117.37,119.8,116.75,117.11,22953.199,2026-02-23 10:59
2026-02-23 08:00,117.1,117.15,113.33,114.47,25931.969,2026-02-23 14:59
2026-02-23 12:00,114.46,115.74,113.58,114.62,21139.583,2026-02-23 18:59
2026-02-23 16:00,114.63,115.51,112.11,112.65,20746.406,2026-02-23 22:59
2026-02-23 20:00,112.66,113.67,111.61,112.88,14287.442,2026-02-24 02:59
2026-02-24 00:00,112.88,113.9,112.33,113.32,9574.45,2026-02-24 06:59
2026-02-24 04:00,113.33,115.29,111.54,115.04,26689.496,2026-02-24 10:59
2026-02-24 08:00,115.03,116.53,114.29,114.6,23206.056,2026-02-24 14:59
2026-02-24 12:00,114.59,114.97,112.98,114.39,19561.408,2026-02-24 18:59
2026-02-24 16:00,114.38,119.73,113.9,117.48,29759.333,2026-02-24 22:59
2026-02-24 20:00,117.45,118.55,115.54,116.6,14390.65,2026-02-25 02:59
2026-02-25 00:00,116.58,118.66,115.44,115.87,18611.336,2026-02-25 06:59
2026-02-25 04:00,115.86,122.16,115.69,121.02,41889.102,2026-02-25 10:59
2026-02-25 08:00,121.03,124.25,120.89,122.98,42431.999,2026-02-25 14:59
2026-02-25 12:00,122.99,124.34,117.76,119.15,34609.744,2026-02-25 18:59
2026-02-25 16:00,119.15,120.62,117.91,118.41,23514.284,2026-02-25 22:59
2026-02-25 20:00,118.4,119.64,114.27,114.47,27118.918,2026-02-26 02:59
2026-02-26 00:00,114.46,117.59,114.0,114.72,37901.928,2026-02-26 06:59
2026-02-26 04:00,114.72,116.0,112.5,114.17,59342.303,2026-02-26 10:59
2026-02-26 08:00,114.18,115.53,110.64,113.97,66709.001,2026-02-26 14:59
2026-02-26 12:00,113.97,116.15,113.91,114.55,15720.694,2026-02-26 18:59
