Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,0.938,0.94,0.933,0.938,55485.55,2026-03-19 12:44
2026-03-19 12:45,0.938,0.94,0.936,0.939,55797.62,2026-03-19 12:59
2026-03-19 13:00,0.939,0.94,0.935,0.938,134458.76,2026-03-19 13:14
2026-03-19 13:15,0.938,0.945,0.936,0.943,75426.77,2026-03-19 13:29
2026-03-19 13:30,0.943,0.944,0.938,0.94,43890.82,2026-03-19 13:44
2026-03-19 13:45,0.939,0.946,0.939,0.945,97049.04,2026-03-19 13:59
2026-03-19 14:00,0.945,0.945,0.943,0.944,45709.26,2026-03-19 14:14
2026-03-19 14:15,0.944,0.944,0.94,0.941,32415.04,2026-03-19 14:29
2026-03-19 14:30,0.94,0.941,0.935,0.935,30154.5,2026-03-19 14:44
2026-03-19 14:45,0.935,0.939,0.934,0.938,26471.49,2026-03-19 14:59
2026-03-19 15:00,0.938,0.947,0.937,0.944,76736.84,2026-03-19 15:14
2026-03-19 15:15,0.944,0.947,0.941,0.943,63817.44,2026-03-19 15:29
2026-03-19 15:30,0.942,0.945,0.939,0.945,83158.88,2026-03-19 15:44
2026-03-19 15:45,0.944,0.946,0.943,0.946,29743.89,2026-03-19 15:59
2026-03-19 16:00,0.946,0.946,0.945,0.946,34569.57,2026-03-19 16:14
2026-03-19 16:15,0.946,0.95,0.945,0.947,222948.5,2026-03-19 16:29
2026-03-19 16:30,0.947,0.949,0.944,0.945,71455.09,2026-03-19 16:44
2026-03-19 16:45,0.945,0.947,0.944,0.945,28946.45,2026-03-19 16:59
2026-03-19 17:00,0.945,0.948,0.944,0.947,22941.62,2026-03-19 17:14
2026-03-19 17:15,0.947,0.947,0.943,0.944,33597.7,2026-03-19 17:29
2026-03-19 17:30,0.944,0.944,0.943,0.944,32372.25,2026-03-19 17:44
2026-03-19 17:45,0.944,0.946,0.943,0.946,29334.26,2026-03-19 17:59
2026-03-19 18:00,0.946,0.946,0.941,0.942,32990.11,2026-03-19 18:14
2026-03-19 18:15,0.942,0.944,0.94,0.944,25541.94,2026-03-19 18:29
2026-03-19 18:30,0.943,0.943,0.937,0.94,39259.33,2026-03-19 18:44
2026-03-19 18:45,0.94,0.944,0.94,0.944,21779.65,2026-03-19 18:59
2026-03-19 19:00,0.945,0.948,0.945,0.947,65213.95,2026-03-19 19:14
2026-03-19 19:15,0.947,0.949,0.945,0.948,110102.81,2026-03-19 19:29
2026-03-19 19:30,0.949,0.95,0.943,0.946,64988.41,2026-03-19 19:44
2026-03-19 19:45,0.946,0.951,0.946,0.949,32401.67,2026-03-19 19:59
2026-03-19 20:00,0.95,0.951,0.948,0.949,34685.19,2026-03-19 20:14
2026-03-19 20:15,0.949,0.951,0.948,0.95,32950.62,2026-03-19 20:29
2026-03-19 20:30,0.95,0.953,0.949,0.953,19690.57,2026-03-19 20:44
2026-03-19 20:45,0.953,0.956,0.953,0.954,25146.75,2026-03-19 20:59
2026-03-19 21:00,0.954,0.959,0.954,0.957,43043.77,2026-03-19 21:14
2026-03-19 21:15,0.957,0.959,0.956,0.958,25919.1,2026-03-19 21:29
2026-03-19 21:30,0.959,0.969,0.959,0.967,94368.45,2026-03-19 21:44
2026-03-19 21:45,0.968,0.968,0.963,0.963,79612.44,2026-03-19 21:59
2026-03-19 22:00,0.963,0.967,0.959,0.964,52979.52,2026-03-19 22:14
2026-03-19 22:15,0.964,0.966,0.959,0.96,94278.54,2026-03-19 22:29
2026-03-19 22:30,0.959,0.963,0.956,0.963,150945.72,2026-03-19 22:44
2026-03-19 22:45,0.963,0.965,0.961,0.964,66345.39,2026-03-19 22:59
2026-03-19 23:00,0.964,0.964,0.961,0.962,32124.23,2026-03-19 23:14
2026-03-19 23:15,0.963,0.965,0.962,0.963,87865.28,2026-03-19 23:29
2026-03-19 23:30,0.964,0.965,0.96,0.961,32232.67,2026-03-19 23:44
2026-03-19 23:45,0.96,0.962,0.959,0.962,31326.06,2026-03-19 23:59
2026-03-20 00:00,0.961,0.965,0.96,0.965,39311.67,2026-03-20 00:14
2026-03-20 00:15,0.965,0.97,0.965,0.969,143071.03,2026-03-20 00:29
2026-03-20 00:30,0.97,0.97,0.964,0.966,76126.68,2026-03-20 00:44
2026-03-20 00:45,0.965,0.977,0.965,0.976,85755.18,2026-03-20 00:59
2026-03-20 01:00,0.977,0.989,0.975,0.989,156642.52,2026-03-20 01:14
2026-03-20 01:15,0.989,0.993,0.987,0.987,176863.45,2026-03-20 01:29
2026-03-20 01:30,0.988,0.998,0.985,0.997,170992.41,2026-03-20 01:44
2026-03-20 01:45,0.997,0.997,0.99,0.993,135973.31,2026-03-20 01:59
2026-03-20 02:00,0.993,1.005,0.99,1.005,160285.38,2026-03-20 02:14
2026-03-20 02:15,1.005,1.012,1.003,1.011,290894.63,2026-03-20 02:29
2026-03-20 02:30,1.011,1.012,1.003,1.01,244103.0,2026-03-20 02:44
2026-03-20 02:45,1.011,1.021,1.009,1.019,299818.69,2026-03-20 02:59
2026-03-20 03:00,1.018,1.026,1.01,1.013,436635.17,2026-03-20 03:14
2026-03-20 03:15,1.014,1.017,1.007,1.014,215997.23,2026-03-20 03:29
2026-03-20 03:30,1.014,1.023,1.002,1.002,326253.62,2026-03-20 03:44
2026-03-20 03:45,1.002,1.004,0.985,0.988,817961.82,2026-03-20 03:59
2026-03-20 04:00,0.988,0.999,0.983,0.992,278788.52,2026-03-20 04:14
2026-03-20 04:15,0.992,1.001,0.992,1.0,135196.83,2026-03-20 04:29
2026-03-20 04:30,1.0,1.006,0.998,1.001,254194.54,2026-03-20 04:44
2026-03-20 04:45,1.002,1.003,0.992,0.993,207648.58,2026-03-20 04:59
2026-03-20 05:00,0.993,0.995,0.986,0.994,203621.33,2026-03-20 05:14
2026-03-20 05:15,0.993,0.997,0.989,0.997,129505.7,2026-03-20 05:29
2026-03-20 05:30,0.996,1.003,0.996,1.001,187332.14,2026-03-20 05:44
2026-03-20 05:45,1.001,1.001,0.992,0.995,379406.47,2026-03-20 05:59
2026-03-20 06:00,0.995,0.999,0.991,0.997,135924.08,2026-03-20 06:14
2026-03-20 06:15,0.996,0.999,0.994,0.996,177617.98,2026-03-20 06:29
2026-03-20 06:30,0.996,1.003,0.995,1.0,128421.54,2026-03-20 06:44
2026-03-20 06:45,0.999,1.005,0.995,1.0,176584.31,2026-03-20 06:59
2026-03-20 07:00,0.999,1.013,0.999,1.009,168117.26,2026-03-20 07:14
2026-03-20 07:15,1.008,1.01,1.002,1.002,157455.32,2026-03-20 07:29
2026-03-20 07:30,1.002,1.004,0.989,0.995,340969.28,2026-03-20 07:44
2026-03-20 07:45,0.995,0.995,0.988,0.995,114019.65,2026-03-20 07:59
2026-03-20 08:00,0.995,1.012,0.995,1.0,201237.21,2026-03-20 08:14
2026-03-20 08:15,1.001,1.001,0.995,0.998,131912.58,2026-03-20 08:29
2026-03-20 08:30,0.997,1.005,0.995,1.005,107689.87,2026-03-20 08:44
2026-03-20 08:45,1.005,1.005,0.999,0.999,148543.46,2026-03-20 08:59
2026-03-20 09:00,0.999,1.006,0.994,1.002,269380.38,2026-03-20 09:14
2026-03-20 09:15,1.002,1.01,1.002,1.009,87447.65,2026-03-20 09:29
2026-03-20 09:30,1.01,1.015,1.002,1.012,113065.66,2026-03-20 09:44
2026-03-20 09:45,1.012,1.015,1.003,1.004,183738.32,2026-03-20 09:59
2026-03-20 10:00,1.005,1.025,1.003,1.005,773217.39,2026-03-20 10:14
2026-03-20 10:15,1.005,1.011,0.996,1.008,374907.31,2026-03-20 10:29
2026-03-20 10:30,1.008,1.015,1.002,1.002,126018.66,2026-03-20 10:44
2026-03-20 10:45,1.002,1.002,0.988,0.988,131256.93,2026-03-20 10:59
2026-03-20 11:00,0.989,0.992,0.977,0.987,371936.63,2026-03-20 11:14
2026-03-20 11:15,0.987,0.996,0.986,0.992,118914.26,2026-03-20 11:29
2026-03-20 11:30,0.991,1.002,0.991,1.0,96349.86,2026-03-20 11:44
2026-03-20 11:45,1.0,1.007,0.999,1.007,88356.24,2026-03-20 11:59
2026-03-20 12:00,1.006,1.011,1.001,1.001,257108.7,2026-03-20 12:14
2026-03-20 12:15,1.001,1.008,0.999,1.007,148041.5,2026-03-20 12:29
