Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-12-21 00:00,1.575,1.668,1.557,1.621,6495949.2,2025-12-22 18:59
2025-12-22 00:00,1.62,1.644,1.558,1.613,7997178.4,2025-12-23 18:59
2025-12-23 00:00,1.613,1.646,1.555,1.641,5074534.87,2025-12-24 18:59
2025-12-24 00:00,1.641,1.69,1.59,1.593,6350853.15,2025-12-25 18:59
2025-12-25 00:00,1.593,1.721,1.59,1.68,7007814.24,2025-12-26 18:59
2025-12-26 00:00,1.68,1.763,1.674,1.755,4447819.47,2025-12-27 18:59
2025-12-27 00:00,1.755,1.758,1.697,1.726,2579970.07,2025-12-28 18:59
2025-12-28 00:00,1.726,1.807,1.674,1.677,8040639.18,2025-12-29 18:59
2025-12-29 00:00,1.677,1.756,1.668,1.717,6014104.14,2025-12-30 18:59
2025-12-30 00:00,1.717,1.744,1.643,1.659,8477871.2,2025-12-31 18:59
2025-12-31 00:00,1.659,1.877,1.653,1.864,6789284.79,2026-01-01 18:59
2026-01-01 00:00,1.865,1.91,1.804,1.905,6351148.5,2026-01-02 18:59
2026-01-02 00:00,1.904,1.934,1.847,1.9,4035541.46,2026-01-03 18:59
2026-01-03 00:00,1.9,1.959,1.896,1.942,4754893.55,2026-01-04 18:59
2026-01-04 00:00,1.941,1.987,1.899,1.966,6477535.57,2026-01-05 18:59
2026-01-05 00:00,1.964,2.011,1.866,1.96,7572322.49,2026-01-06 18:59
2026-01-06 00:00,1.96,1.962,1.864,1.886,6593301.51,2026-01-07 18:59
2026-01-07 00:00,1.887,1.897,1.77,1.818,5040126.92,2026-01-08 18:59
2026-01-08 00:00,1.818,1.842,1.772,1.826,5428803.47,2026-01-09 18:59
2026-01-09 00:00,1.825,1.84,1.799,1.815,1974033.42,2026-01-10 18:59
2026-01-10 00:00,1.815,1.826,1.744,1.77,3625269.26,2026-01-11 18:59
2026-01-11 00:00,1.77,1.822,1.73,1.766,4948110.51,2026-01-12 18:59
2026-01-12 00:00,1.766,2.003,1.763,1.973,10480276.53,2026-01-13 18:59
2026-01-13 00:00,1.974,1.989,1.899,1.934,6294181.05,2026-01-14 18:59
2026-01-14 00:00,1.935,1.949,1.764,1.803,6620494.0,2026-01-15 18:59
2026-01-15 00:00,1.803,1.811,1.748,1.789,4227252.38,2026-01-16 18:59
2026-01-16 00:00,1.789,1.908,1.787,1.866,4392108.06,2026-01-17 18:59
2026-01-17 00:00,1.865,1.883,1.722,1.724,4944334.52,2026-01-18 18:59
2026-01-18 00:00,1.724,1.724,1.517,1.614,14071163.21,2026-01-19 18:59
2026-01-19 00:00,1.613,1.631,1.519,1.534,7495653.66,2026-01-20 18:59
2026-01-20 00:00,1.534,1.603,1.507,1.559,9904917.81,2026-01-21 18:59
2026-01-21 00:00,1.558,1.586,1.518,1.549,6376975.72,2026-01-22 18:59
2026-01-22 00:00,1.549,1.619,1.534,1.554,7136610.08,2026-01-23 18:59
2026-01-23 00:00,1.553,1.567,1.535,1.546,2094280.0,2026-01-24 18:59
2026-01-24 00:00,1.545,1.586,1.448,1.488,7197520.38,2026-01-25 18:59
2026-01-25 00:00,1.488,1.591,1.482,1.551,5898439.08,2026-01-26 18:59
2026-01-26 00:00,1.55,1.6,1.524,1.592,6635228.77,2026-01-27 18:59
