Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,0.86,0.867,0.853,0.866,401516.72,2026-02-19 18:59
2026-02-19 16:00,0.866,0.874,0.864,0.867,410239.6,2026-02-19 22:59
2026-02-19 20:00,0.868,0.872,0.858,0.86,533835.06,2026-02-20 02:59
2026-02-20 00:00,0.861,0.875,0.86,0.863,766481.28,2026-02-20 06:59
2026-02-20 04:00,0.863,0.887,0.845,0.881,1513766.01,2026-02-20 10:59
2026-02-20 08:00,0.882,0.888,0.859,0.874,1514820.01,2026-02-20 14:59
2026-02-20 12:00,0.874,0.886,0.871,0.883,496323.04,2026-02-20 18:59
2026-02-20 16:00,0.883,0.886,0.875,0.882,418339.55,2026-02-20 22:59
2026-02-20 20:00,0.881,0.895,0.879,0.885,529074.76,2026-02-21 02:59
2026-02-21 00:00,0.886,0.909,0.885,0.904,978211.65,2026-02-21 06:59
2026-02-21 04:00,0.904,0.906,0.894,0.899,769440.49,2026-02-21 10:59
2026-02-21 08:00,0.899,0.9,0.891,0.895,442206.14,2026-02-21 14:59
2026-02-21 12:00,0.894,0.894,0.885,0.886,514161.73,2026-02-21 18:59
2026-02-21 16:00,0.885,0.885,0.856,0.861,773543.89,2026-02-21 22:59
2026-02-21 20:00,0.861,0.862,0.852,0.859,468250.95,2026-02-22 02:59
2026-02-22 00:00,0.859,0.861,0.846,0.855,809525.25,2026-02-22 06:59
2026-02-22 04:00,0.854,0.854,0.821,0.835,2084011.99,2026-02-22 10:59
2026-02-22 08:00,0.834,0.838,0.825,0.833,654967.04,2026-02-22 14:59
2026-02-22 12:00,0.833,0.843,0.827,0.841,442587.06,2026-02-22 18:59
2026-02-22 16:00,0.842,0.843,0.79,0.807,4410594.72,2026-02-22 22:59
2026-02-22 20:00,0.807,0.85,0.803,0.84,3657556.97,2026-02-23 02:59
2026-02-23 00:00,0.84,0.865,0.838,0.859,3591754.6,2026-02-23 06:59
2026-02-23 04:00,0.859,0.869,0.82,0.822,3535634.56,2026-02-23 10:59
2026-02-23 08:00,0.822,0.827,0.802,0.811,1865423.47,2026-02-23 14:59
