Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,1.852,1.852,1.843,1.848,23322.68,2026-03-19 12:44
2026-03-19 12:45,1.848,1.848,1.845,1.846,13249.94,2026-03-19 12:59
2026-03-19 13:00,1.846,1.846,1.836,1.836,14257.61,2026-03-19 13:14
2026-03-19 13:15,1.836,1.849,1.835,1.847,61033.36,2026-03-19 13:29
2026-03-19 13:30,1.847,1.848,1.839,1.84,12631.9,2026-03-19 13:44
2026-03-19 13:45,1.84,1.843,1.837,1.838,38259.06,2026-03-19 13:59
2026-03-19 14:00,1.838,1.838,1.831,1.832,22307.94,2026-03-19 14:14
2026-03-19 14:15,1.832,1.833,1.828,1.828,7596.42,2026-03-19 14:29
2026-03-19 14:30,1.829,1.833,1.826,1.833,24310.7,2026-03-19 14:44
2026-03-19 14:45,1.833,1.837,1.829,1.837,12776.14,2026-03-19 14:59
2026-03-19 15:00,1.836,1.853,1.835,1.849,57927.29,2026-03-19 15:14
2026-03-19 15:15,1.849,1.854,1.845,1.846,28606.69,2026-03-19 15:29
2026-03-19 15:30,1.846,1.852,1.841,1.852,37859.01,2026-03-19 15:44
2026-03-19 15:45,1.851,1.851,1.843,1.845,31198.47,2026-03-19 15:59
2026-03-19 16:00,1.846,1.852,1.844,1.846,14606.46,2026-03-19 16:14
2026-03-19 16:15,1.846,1.848,1.843,1.846,26720.04,2026-03-19 16:29
2026-03-19 16:30,1.845,1.854,1.845,1.849,29292.97,2026-03-19 16:44
2026-03-19 16:45,1.848,1.849,1.844,1.845,14706.43,2026-03-19 16:59
2026-03-19 17:00,1.845,1.847,1.841,1.842,20672.09,2026-03-19 17:14
2026-03-19 17:15,1.841,1.841,1.834,1.835,16030.57,2026-03-19 17:29
2026-03-19 17:30,1.835,1.843,1.835,1.838,28176.1,2026-03-19 17:44
2026-03-19 17:45,1.838,1.842,1.835,1.842,19907.0,2026-03-19 17:59
2026-03-19 18:00,1.843,1.843,1.832,1.836,23098.09,2026-03-19 18:14
2026-03-19 18:15,1.835,1.835,1.816,1.819,48984.97,2026-03-19 18:29
2026-03-19 18:30,1.819,1.82,1.806,1.807,75002.73,2026-03-19 18:44
2026-03-19 18:45,1.808,1.811,1.799,1.804,94198.03,2026-03-19 18:59
2026-03-19 19:00,1.804,1.806,1.8,1.803,69149.82,2026-03-19 19:14
2026-03-19 19:15,1.802,1.814,1.801,1.814,31346.81,2026-03-19 19:29
2026-03-19 19:30,1.813,1.814,1.807,1.811,43756.74,2026-03-19 19:44
2026-03-19 19:45,1.81,1.813,1.808,1.811,27463.87,2026-03-19 19:59
2026-03-19 20:00,1.812,1.815,1.809,1.81,17225.01,2026-03-19 20:14
2026-03-19 20:15,1.811,1.812,1.802,1.805,28718.06,2026-03-19 20:29
2026-03-19 20:30,1.804,1.811,1.801,1.811,23908.81,2026-03-19 20:44
2026-03-19 20:45,1.811,1.812,1.805,1.808,16156.46,2026-03-19 20:59
2026-03-19 21:00,1.808,1.817,1.808,1.814,15135.79,2026-03-19 21:14
2026-03-19 21:15,1.813,1.814,1.807,1.81,18958.2,2026-03-19 21:29
2026-03-19 21:30,1.812,1.824,1.812,1.823,24558.52,2026-03-19 21:44
2026-03-19 21:45,1.823,1.823,1.814,1.814,18699.7,2026-03-19 21:59
2026-03-19 22:00,1.814,1.814,1.807,1.812,25413.97,2026-03-19 22:14
2026-03-19 22:15,1.811,1.811,1.804,1.805,14485.45,2026-03-19 22:29
2026-03-19 22:30,1.805,1.814,1.801,1.814,25165.98,2026-03-19 22:44
2026-03-19 22:45,1.813,1.814,1.81,1.81,10269.5,2026-03-19 22:59
2026-03-19 23:00,1.809,1.814,1.809,1.813,14587.74,2026-03-19 23:14
2026-03-19 23:15,1.813,1.818,1.812,1.813,15181.25,2026-03-19 23:29
2026-03-19 23:30,1.813,1.814,1.805,1.805,9586.41,2026-03-19 23:44
2026-03-19 23:45,1.806,1.808,1.804,1.804,26563.23,2026-03-19 23:59
2026-03-20 00:00,1.803,1.803,1.799,1.803,21384.57,2026-03-20 00:14
2026-03-20 00:15,1.803,1.803,1.798,1.801,22672.24,2026-03-20 00:29
2026-03-20 00:30,1.801,1.801,1.797,1.799,31867.13,2026-03-20 00:44
2026-03-20 00:45,1.798,1.811,1.798,1.81,24985.71,2026-03-20 00:59
2026-03-20 01:00,1.811,1.821,1.811,1.819,53435.46,2026-03-20 01:14
2026-03-20 01:15,1.82,1.83,1.82,1.82,45939.84,2026-03-20 01:29
2026-03-20 01:30,1.82,1.837,1.816,1.834,35491.54,2026-03-20 01:44
2026-03-20 01:45,1.833,1.835,1.828,1.833,27285.29,2026-03-20 01:59
2026-03-20 02:00,1.832,1.835,1.824,1.835,33325.03,2026-03-20 02:14
2026-03-20 02:15,1.834,1.841,1.831,1.831,17298.83,2026-03-20 02:29
2026-03-20 02:30,1.832,1.832,1.827,1.83,6887.83,2026-03-20 02:44
2026-03-20 02:45,1.831,1.833,1.827,1.828,8153.64,2026-03-20 02:59
2026-03-20 03:00,1.828,1.835,1.821,1.829,38181.87,2026-03-20 03:14
2026-03-20 03:15,1.828,1.831,1.826,1.827,16132.03,2026-03-20 03:29
2026-03-20 03:30,1.827,1.837,1.827,1.833,61002.55,2026-03-20 03:44
2026-03-20 03:45,1.832,1.832,1.824,1.827,46453.49,2026-03-20 03:59
2026-03-20 04:00,1.827,1.833,1.823,1.83,32785.84,2026-03-20 04:14
2026-03-20 04:15,1.83,1.83,1.821,1.827,30592.8,2026-03-20 04:29
2026-03-20 04:30,1.826,1.826,1.822,1.822,23034.85,2026-03-20 04:44
2026-03-20 04:45,1.822,1.822,1.818,1.82,17932.28,2026-03-20 04:59
2026-03-20 05:00,1.82,1.82,1.809,1.81,23034.14,2026-03-20 05:14
2026-03-20 05:15,1.81,1.811,1.806,1.809,28177.25,2026-03-20 05:29
2026-03-20 05:30,1.809,1.818,1.809,1.816,17309.28,2026-03-20 05:44
2026-03-20 05:45,1.817,1.817,1.812,1.812,14124.31,2026-03-20 05:59
2026-03-20 06:00,1.812,1.813,1.805,1.805,27803.72,2026-03-20 06:14
2026-03-20 06:15,1.805,1.805,1.801,1.803,30529.82,2026-03-20 06:29
2026-03-20 06:30,1.804,1.807,1.802,1.803,24025.2,2026-03-20 06:44
2026-03-20 06:45,1.802,1.805,1.802,1.805,6237.67,2026-03-20 06:59
2026-03-20 07:00,1.805,1.812,1.804,1.812,12188.26,2026-03-20 07:14
2026-03-20 07:15,1.811,1.811,1.808,1.809,10368.47,2026-03-20 07:29
2026-03-20 07:30,1.808,1.808,1.802,1.804,22145.48,2026-03-20 07:44
2026-03-20 07:45,1.804,1.815,1.803,1.813,13095.03,2026-03-20 07:59
2026-03-20 08:00,1.813,1.82,1.813,1.815,33857.03,2026-03-20 08:14
2026-03-20 08:15,1.815,1.815,1.806,1.807,6361.61,2026-03-20 08:29
2026-03-20 08:30,1.807,1.808,1.803,1.806,9224.49,2026-03-20 08:44
2026-03-20 08:45,1.807,1.808,1.803,1.806,10845.46,2026-03-20 08:59
2026-03-20 09:00,1.807,1.811,1.805,1.805,13721.25,2026-03-20 09:14
2026-03-20 09:15,1.804,1.804,1.8,1.802,15139.81,2026-03-20 09:29
2026-03-20 09:30,1.801,1.808,1.798,1.808,19397.23,2026-03-20 09:44
2026-03-20 09:45,1.807,1.809,1.799,1.8,25274.68,2026-03-20 09:59
2026-03-20 10:00,1.799,1.804,1.799,1.799,11862.13,2026-03-20 10:14
