Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,1.878,1.893,1.877,1.884,61695.61,2026-03-14 13:59
2026-03-14 14:00,1.884,1.884,1.871,1.872,45867.55,2026-03-14 14:59
2026-03-14 15:00,1.871,1.873,1.865,1.867,27922.72,2026-03-14 15:59
2026-03-14 16:00,1.867,1.869,1.862,1.865,34739.35,2026-03-14 16:59
2026-03-14 17:00,1.864,1.872,1.858,1.867,45440.91,2026-03-14 17:59
2026-03-14 18:00,1.867,1.874,1.865,1.87,43145.68,2026-03-14 18:59
2026-03-14 19:00,1.87,1.876,1.866,1.87,36693.62,2026-03-14 19:59
2026-03-14 20:00,1.869,1.871,1.851,1.852,43021.21,2026-03-14 20:59
2026-03-14 21:00,1.852,1.859,1.849,1.857,14444.42,2026-03-14 21:59
2026-03-14 22:00,1.858,1.872,1.857,1.866,41532.51,2026-03-14 22:59
2026-03-14 23:00,1.867,1.869,1.854,1.856,52966.45,2026-03-14 23:59
2026-03-15 00:00,1.857,1.858,1.848,1.85,49537.7,2026-03-15 00:59
2026-03-15 01:00,1.85,1.858,1.847,1.847,44742.16,2026-03-15 01:59
2026-03-15 02:00,1.848,1.85,1.842,1.846,19103.07,2026-03-15 02:59
2026-03-15 03:00,1.845,1.855,1.845,1.852,7354.58,2026-03-15 03:59
2026-03-15 04:00,1.853,1.853,1.845,1.847,35631.58,2026-03-15 04:59
2026-03-15 05:00,1.847,1.853,1.847,1.85,24703.46,2026-03-15 05:59
2026-03-15 06:00,1.851,1.862,1.849,1.862,8688.29,2026-03-15 06:59
2026-03-15 07:00,1.861,1.873,1.861,1.863,57589.57,2026-03-15 07:59
2026-03-15 08:00,1.863,1.867,1.861,1.863,15387.48,2026-03-15 08:59
2026-03-15 09:00,1.864,1.869,1.852,1.864,57823.81,2026-03-15 09:59
2026-03-15 10:00,1.864,1.865,1.851,1.858,13803.58,2026-03-15 10:59
2026-03-15 11:00,1.859,1.859,1.852,1.853,11428.93,2026-03-15 11:59
2026-03-15 12:00,1.853,1.859,1.848,1.851,22455.44,2026-03-15 12:59
