Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,2.273,2.299,2.27,2.292,176631.32,2026-02-19 18:59
2026-02-19 16:00,2.291,2.306,2.271,2.28,141174.53,2026-02-19 22:59
2026-02-19 20:00,2.279,2.291,2.258,2.272,119919.44,2026-02-20 02:59
2026-02-20 00:00,2.272,2.339,2.27,2.31,373088.59,2026-02-20 06:59
2026-02-20 04:00,2.311,2.392,2.301,2.361,753996.54,2026-02-20 10:59
2026-02-20 08:00,2.362,2.389,2.332,2.348,364515.64,2026-02-20 14:59
2026-02-20 12:00,2.348,2.361,2.334,2.358,94877.05,2026-02-20 18:59
2026-02-20 16:00,2.358,2.41,2.343,2.408,371511.22,2026-02-20 22:59
2026-02-20 20:00,2.409,2.413,2.362,2.38,204950.69,2026-02-21 02:59
2026-02-21 00:00,2.379,2.398,2.357,2.361,165664.14,2026-02-21 06:59
2026-02-21 04:00,2.36,2.369,2.337,2.35,158887.91,2026-02-21 10:59
2026-02-21 08:00,2.351,2.352,2.324,2.33,121665.88,2026-02-21 14:59
2026-02-21 12:00,2.33,2.334,2.306,2.314,88370.48,2026-02-21 18:59
2026-02-21 16:00,2.314,2.319,2.284,2.29,175073.8,2026-02-21 22:59
2026-02-21 20:00,2.29,2.315,2.279,2.313,105642.85,2026-02-22 02:59
2026-02-22 00:00,2.314,2.315,2.275,2.278,173454.49,2026-02-22 06:59
2026-02-22 04:00,2.278,2.279,2.237,2.263,319181.22,2026-02-22 10:59
2026-02-22 08:00,2.263,2.27,2.239,2.248,112293.88,2026-02-22 14:59
2026-02-22 12:00,2.247,2.256,2.23,2.25,130764.87,2026-02-22 18:59
2026-02-22 16:00,2.25,2.253,2.166,2.2,595684.87,2026-02-22 22:59
2026-02-22 20:00,2.2,2.229,2.182,2.206,253360.39,2026-02-23 02:59
2026-02-23 00:00,2.205,2.253,2.192,2.24,310538.99,2026-02-23 06:59
2026-02-23 04:00,2.24,2.255,2.149,2.156,495434.5,2026-02-23 10:59
2026-02-23 08:00,2.156,2.156,2.114,2.118,254263.65,2026-02-23 14:59
2026-02-23 12:00,2.118,2.136,2.112,2.12,91290.06,2026-02-23 18:59
