Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-12-22 00:00,12.42,12.55,11.84,12.18,2667803.57,2025-12-23 18:59
2025-12-23 00:00,12.18,12.23,11.89,12.1,1607835.82,2025-12-24 18:59
2025-12-24 00:00,12.11,12.55,12.05,12.09,2261537.45,2025-12-25 18:59
2025-12-25 00:00,12.09,12.62,12.03,12.34,2107626.16,2025-12-26 18:59
2025-12-26 00:00,12.34,12.8,12.33,12.69,1402720.88,2025-12-27 18:59
2025-12-27 00:00,12.7,12.9,12.53,12.64,1705451.88,2025-12-28 18:59
2025-12-28 00:00,12.64,13.2,12.35,12.38,3591031.92,2025-12-29 18:59
2025-12-29 00:00,12.37,12.64,12.33,12.58,1682281.43,2025-12-30 18:59
2025-12-30 00:00,12.58,12.72,12.21,12.32,1812519.45,2025-12-31 18:59
2025-12-31 00:00,12.32,13.69,12.23,13.59,4403379.82,2026-01-01 18:59
2026-01-01 00:00,13.59,13.98,13.09,13.82,3276497.14,2026-01-02 18:59
2026-01-02 00:00,13.82,14.4,13.67,13.99,2908188.75,2026-01-03 18:59
2026-01-03 00:00,13.98,14.49,13.9,14.25,2167561.94,2026-01-04 18:59
2026-01-04 00:00,14.25,14.72,13.91,14.45,3062802.52,2026-01-05 18:59
2026-01-05 00:00,14.46,14.83,14.24,14.59,3416418.28,2026-01-06 18:59
2026-01-06 00:00,14.6,14.6,13.88,14.11,2264630.86,2026-01-07 18:59
2026-01-07 00:00,14.12,14.25,13.6,13.89,1822609.54,2026-01-08 18:59
2026-01-08 00:00,13.89,14.22,13.61,13.79,1860467.06,2026-01-09 18:59
2026-01-09 00:00,13.78,13.94,13.64,13.74,656465.16,2026-01-10 18:59
2026-01-10 00:00,13.73,13.99,13.48,13.7,1071942.18,2026-01-11 18:59
2026-01-11 00:00,13.71,14.22,13.39,13.53,2612087.13,2026-01-12 18:59
2026-01-12 00:00,13.52,14.85,13.48,14.75,4022695.09,2026-01-13 18:59
2026-01-13 00:00,14.76,14.95,14.41,14.6,2956916.76,2026-01-14 18:59
2026-01-14 00:00,14.6,14.63,13.61,13.82,2471785.31,2026-01-15 18:59
2026-01-15 00:00,13.82,13.87,13.19,13.59,2257468.71,2026-01-16 18:59
2026-01-16 00:00,13.59,13.97,13.53,13.75,1153279.65,2026-01-17 18:59
2026-01-17 00:00,13.75,13.83,12.94,12.98,1448582.51,2026-01-18 18:59
2026-01-18 00:00,12.98,12.99,12.09,12.74,3210706.15,2026-01-19 18:59
2026-01-19 00:00,12.73,12.76,11.97,12.09,3044192.13,2026-01-20 18:59
2026-01-20 00:00,12.09,12.73,11.88,12.42,3475396.94,2026-01-21 18:59
2026-01-21 00:00,12.42,12.62,12.04,12.2,1477392.32,2026-01-22 18:59
2026-01-22 00:00,12.2,12.5,11.99,12.13,2123247.62,2026-01-23 18:59
2026-01-23 00:00,12.13,12.19,11.97,12.05,635754.35,2026-01-24 18:59
2026-01-24 00:00,12.05,12.08,11.23,11.49,2327274.41,2026-01-25 18:59
2026-01-25 00:00,11.49,11.92,11.46,11.72,2217831.4,2026-01-26 18:59
2026-01-26 00:00,11.72,12.2,11.58,12.14,2157614.23,2026-01-27 18:59
2026-01-27 00:00,12.14,12.29,11.93,12.07,1817855.54,2026-01-28 18:59
2026-01-28 00:00,12.08,12.1,10.8,11.04,4766952.55,2026-01-29 18:59
2026-01-29 00:00,11.04,11.09,10.63,10.87,4376331.89,2026-01-30 18:59
2026-01-30 00:00,10.88,10.9,9.16,10.12,8363024.98,2026-01-31 18:59
