Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-01-21 04:00,12.11,12.42,11.96,12.4,865384.87,2026-01-21 10:59
2026-01-21 08:00,12.39,12.61,11.88,12.59,1218800.17,2026-01-21 14:59
2026-01-21 12:00,12.59,12.73,12.38,12.42,592348.02,2026-01-21 18:59
2026-01-21 16:00,12.42,12.62,12.42,12.49,191371.57,2026-01-21 22:59
2026-01-21 20:00,12.49,12.56,12.42,12.43,118841.25,2026-01-22 02:59
2026-01-22 00:00,12.44,12.5,12.35,12.35,144893.4,2026-01-22 06:59
2026-01-22 04:00,12.35,12.4,12.04,12.17,489442.9,2026-01-22 10:59
2026-01-22 08:00,12.17,12.26,12.08,12.16,365708.72,2026-01-22 14:59
2026-01-22 12:00,12.17,12.2,12.08,12.2,167134.48,2026-01-22 18:59
2026-01-22 16:00,12.2,12.3,12.17,12.26,145152.06,2026-01-22 22:59
2026-01-22 20:00,12.26,12.38,12.11,12.13,492790.06,2026-01-23 02:59
2026-01-23 00:00,12.13,12.21,12.04,12.2,305259.17,2026-01-23 06:59
2026-01-23 04:00,12.2,12.26,11.99,12.24,432725.2,2026-01-23 10:59
2026-01-23 08:00,12.24,12.5,12.13,12.17,453444.88,2026-01-23 14:59
2026-01-23 12:00,12.18,12.2,12.03,12.13,293876.25,2026-01-23 18:59
2026-01-23 16:00,12.13,12.18,12.1,12.15,130624.9,2026-01-23 22:59
2026-01-23 20:00,12.15,12.19,12.11,12.12,45498.32,2026-01-24 02:59
2026-01-24 00:00,12.12,12.14,12.06,12.12,83307.45,2026-01-24 06:59
2026-01-24 04:00,12.12,12.15,12.02,12.04,115691.56,2026-01-24 10:59
2026-01-24 08:00,12.03,12.08,11.97,12.04,130556.6,2026-01-24 14:59
2026-01-24 12:00,12.03,12.12,12.03,12.05,130075.52,2026-01-24 18:59
2026-01-24 16:00,12.05,12.08,11.87,11.93,189562.02,2026-01-24 22:59
2026-01-24 20:00,11.93,12.0,11.88,11.93,132133.72,2026-01-25 02:59
2026-01-25 00:00,11.93,12.06,11.83,11.96,198086.97,2026-01-25 06:59
2026-01-25 04:00,11.95,11.97,11.81,11.85,208167.17,2026-01-25 10:59
2026-01-25 08:00,11.85,11.86,11.23,11.3,1124293.69,2026-01-25 14:59
2026-01-25 12:00,11.3,11.52,11.25,11.49,475030.84,2026-01-25 18:59
2026-01-25 16:00,11.49,11.75,11.46,11.53,370129.78,2026-01-25 22:59
2026-01-25 20:00,11.54,11.72,11.53,11.69,245928.38,2026-01-26 02:59
2026-01-26 00:00,11.69,11.78,11.61,11.67,246897.2,2026-01-26 06:59
2026-01-26 04:00,11.67,11.92,11.63,11.76,524887.69,2026-01-26 10:59
2026-01-26 08:00,11.76,11.82,11.62,11.7,524597.77,2026-01-26 14:59
2026-01-26 12:00,11.71,11.8,11.63,11.72,305390.58,2026-01-26 18:59
2026-01-26 16:00,11.72,11.85,11.69,11.79,200765.1,2026-01-26 22:59
2026-01-26 20:00,11.78,11.84,11.72,11.76,147551.92,2026-01-27 02:59
2026-01-27 00:00,11.76,11.79,11.65,11.68,155666.17,2026-01-27 06:59
2026-01-27 04:00,11.69,11.74,11.6,11.72,396599.65,2026-01-27 10:59
2026-01-27 08:00,11.72,11.96,11.58,11.86,640660.43,2026-01-27 14:59
2026-01-27 12:00,11.86,12.2,11.84,12.14,616370.96,2026-01-27 18:59
2026-01-27 16:00,12.14,12.17,12.03,12.06,277441.61,2026-01-27 22:59
2026-01-27 20:00,12.07,12.16,12.02,12.09,161984.64,2026-01-28 02:59
2026-01-28 00:00,12.08,12.25,12.02,12.24,277467.88,2026-01-28 06:59
2026-01-28 04:00,12.23,12.29,11.95,12.02,459242.14,2026-01-28 10:59
2026-01-28 08:00,12.01,12.14,11.93,12.06,362317.64,2026-01-28 14:59
2026-01-28 12:00,12.06,12.18,11.96,12.07,279401.63,2026-01-28 18:59
2026-01-28 16:00,12.08,12.1,11.75,11.79,298573.38,2026-01-28 22:59
2026-01-28 20:00,11.79,11.86,11.69,11.8,222070.33,2026-01-29 02:59
2026-01-29 00:00,11.8,11.81,11.64,11.66,222175.68,2026-01-29 06:59
2026-01-29 04:00,11.67,11.67,10.87,11.01,1526728.43,2026-01-29 10:59
2026-01-29 08:00,11.01,11.17,10.8,10.99,1888754.14,2026-01-29 14:59
2026-01-29 12:00,10.99,11.07,10.96,11.04,608650.59,2026-01-29 18:59
2026-01-29 16:00,11.04,11.09,10.7,10.92,1316862.86,2026-01-29 22:59
2026-01-29 20:00,10.93,11.02,10.72,10.96,381286.47,2026-01-30 02:59
2026-01-30 00:00,10.95,11.05,10.8,11.0,426523.15,2026-01-30 06:59
2026-01-30 04:00,11.01,11.02,10.8,10.94,742833.4,2026-01-30 10:59
2026-01-30 08:00,10.94,11.05,10.63,10.99,932070.09,2026-01-30 14:59
2026-01-30 12:00,11.0,11.0,10.82,10.87,576755.92,2026-01-30 18:59
2026-01-30 16:00,10.88,10.9,10.82,10.84,206952.44,2026-01-30 22:59
2026-01-30 20:00,10.84,10.87,10.58,10.66,241872.49,2026-01-31 02:59
