Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-20 05:00,1.537,1.537,1.528,1.528,38105.08,2026-03-20 05:14
2026-03-20 05:15,1.529,1.529,1.521,1.523,30600.89,2026-03-20 05:29
2026-03-20 05:30,1.523,1.532,1.522,1.53,37293.34,2026-03-20 05:44
2026-03-20 05:45,1.53,1.53,1.523,1.527,43145.2,2026-03-20 05:59
2026-03-20 06:00,1.527,1.528,1.522,1.525,16856.12,2026-03-20 06:14
2026-03-20 06:15,1.524,1.527,1.523,1.524,44852.37,2026-03-20 06:29
2026-03-20 06:30,1.524,1.535,1.524,1.532,38962.78,2026-03-20 06:44
2026-03-20 06:45,1.531,1.535,1.531,1.534,13707.81,2026-03-20 06:59
2026-03-20 07:00,1.534,1.54,1.533,1.54,59697.78,2026-03-20 07:14
2026-03-20 07:15,1.54,1.541,1.534,1.534,11136.83,2026-03-20 07:29
2026-03-20 07:30,1.533,1.533,1.522,1.525,29626.61,2026-03-20 07:44
2026-03-20 07:45,1.525,1.53,1.522,1.528,48805.91,2026-03-20 07:59
2026-03-20 08:00,1.529,1.537,1.529,1.531,39773.17,2026-03-20 08:14
2026-03-20 08:15,1.531,1.531,1.526,1.53,31073.26,2026-03-20 08:29
2026-03-20 08:30,1.529,1.531,1.525,1.528,26693.86,2026-03-20 08:44
2026-03-20 08:45,1.528,1.531,1.526,1.53,19336.31,2026-03-20 08:59
2026-03-20 09:00,1.53,1.536,1.529,1.533,56284.68,2026-03-20 09:14
2026-03-20 09:15,1.533,1.538,1.532,1.532,19988.05,2026-03-20 09:29
2026-03-20 09:30,1.532,1.536,1.522,1.533,58388.16,2026-03-20 09:44
2026-03-20 09:45,1.534,1.535,1.523,1.525,57769.49,2026-03-20 09:59
2026-03-20 10:00,1.525,1.533,1.52,1.526,65308.55,2026-03-20 10:14
2026-03-20 10:15,1.525,1.528,1.518,1.524,84751.96,2026-03-20 10:29
2026-03-20 10:30,1.524,1.532,1.524,1.526,37552.57,2026-03-20 10:44
2026-03-20 10:45,1.526,1.527,1.517,1.518,57009.87,2026-03-20 10:59
2026-03-20 11:00,1.519,1.523,1.513,1.522,27704.44,2026-03-20 11:14
2026-03-20 11:15,1.522,1.531,1.519,1.525,111725.01,2026-03-20 11:29
2026-03-20 11:30,1.524,1.528,1.524,1.524,11979.44,2026-03-20 11:44
2026-03-20 11:45,1.524,1.526,1.522,1.526,15755.02,2026-03-20 11:59
2026-03-20 12:00,1.526,1.528,1.518,1.521,22742.11,2026-03-20 12:14
2026-03-20 12:15,1.52,1.525,1.517,1.523,24551.62,2026-03-20 12:29
2026-03-20 12:30,1.523,1.523,1.517,1.519,13258.37,2026-03-20 12:44
2026-03-20 12:45,1.518,1.521,1.514,1.518,57644.99,2026-03-20 12:59
2026-03-20 13:00,1.518,1.521,1.515,1.517,14377.7,2026-03-20 13:14
2026-03-20 13:15,1.516,1.518,1.511,1.512,26850.84,2026-03-20 13:29
2026-03-20 13:30,1.512,1.515,1.506,1.509,78674.51,2026-03-20 13:44
2026-03-20 13:45,1.509,1.52,1.507,1.519,16019.24,2026-03-20 13:59
2026-03-20 14:00,1.52,1.521,1.517,1.519,24109.17,2026-03-20 14:14
2026-03-20 14:15,1.519,1.52,1.511,1.511,25588.68,2026-03-20 14:29
2026-03-20 14:30,1.512,1.512,1.502,1.505,30301.53,2026-03-20 14:44
