Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,1.429,1.433,1.426,1.428,119245.61,2026-03-14 13:00
2026-03-14 14:00,1.427,1.43,1.423,1.426,187444.64,2026-03-14 14:00
2026-03-14 15:00,1.425,1.425,1.411,1.413,326872.9,2026-03-14 15:00
2026-03-14 16:00,1.412,1.417,1.405,1.413,292844.29,2026-03-14 16:00
2026-03-14 17:00,1.412,1.416,1.408,1.412,215911.36,2026-03-14 17:00
2026-03-14 18:00,1.412,1.416,1.407,1.408,215727.35,2026-03-14 18:00
2026-03-14 19:00,1.408,1.416,1.403,1.414,451192.67,2026-03-14 19:00
2026-03-14 20:00,1.413,1.418,1.401,1.407,421140.12,2026-03-14 20:00
2026-03-14 21:00,1.407,1.412,1.392,1.407,473267.36,2026-03-14 21:00
2026-03-14 22:00,1.407,1.432,1.407,1.425,388627.03,2026-03-14 22:00
2026-03-14 23:00,1.425,1.429,1.416,1.418,219329.83,2026-03-14 23:00
2026-03-15 00:00,1.419,1.426,1.416,1.419,195476.6,2026-03-15 00:00
2026-03-15 01:00,1.419,1.423,1.413,1.415,227755.79,2026-03-15 01:00
2026-03-15 02:00,1.415,1.419,1.41,1.418,162957.7,2026-03-15 02:00
2026-03-15 03:00,1.418,1.424,1.416,1.419,89052.2,2026-03-15 03:00
2026-03-15 04:00,1.419,1.422,1.416,1.419,107225.76,2026-03-15 04:00
2026-03-15 05:00,1.419,1.425,1.419,1.425,140120.96,2026-03-15 05:00
2026-03-15 06:00,1.424,1.435,1.424,1.426,134836.29,2026-03-15 06:00
2026-03-15 07:00,1.427,1.442,1.426,1.433,341633.76,2026-03-15 07:00
2026-03-15 08:00,1.433,1.444,1.43,1.436,241903.98,2026-03-15 08:00
2026-03-15 09:00,1.437,1.438,1.416,1.424,441364.43,2026-03-15 09:00
2026-03-15 10:00,1.423,1.428,1.416,1.419,262980.04,2026-03-15 10:00
2026-03-15 11:00,1.419,1.42,1.415,1.417,128858.1,2026-03-15 11:00
2026-03-15 12:00,1.417,1.422,1.41,1.412,199244.36,2026-03-15 12:00
