Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,0.1012,0.1017,0.101,0.1015,725011.38,2026-03-19 12:44
2026-03-19 12:45,0.1015,0.1015,0.101,0.1014,775605.25,2026-03-19 12:59
2026-03-19 13:00,0.1013,0.1013,0.1007,0.1009,960790.14,2026-03-19 13:14
2026-03-19 13:15,0.1009,0.1019,0.1009,0.1017,1074098.81,2026-03-19 13:29
2026-03-19 13:30,0.1018,0.1018,0.1014,0.1015,490801.36,2026-03-19 13:44
2026-03-19 13:45,0.1015,0.1022,0.1014,0.102,846990.38,2026-03-19 13:59
2026-03-19 14:00,0.1019,0.1019,0.1016,0.1019,394485.53,2026-03-19 14:14
2026-03-19 14:15,0.1019,0.1019,0.1015,0.1015,450123.96,2026-03-19 14:29
2026-03-19 14:30,0.1015,0.1017,0.1015,0.1015,544253.35,2026-03-19 14:44
2026-03-19 14:45,0.1015,0.102,0.1015,0.1019,444084.04,2026-03-19 14:59
2026-03-19 15:00,0.1019,0.1032,0.1019,0.103,2807799.2,2026-03-19 15:14
2026-03-19 15:15,0.103,0.1035,0.1028,0.1029,1186788.16,2026-03-19 15:29
2026-03-19 15:30,0.1028,0.1031,0.1026,0.103,1854698.3,2026-03-19 15:44
2026-03-19 15:45,0.1029,0.1029,0.1024,0.1026,808645.6,2026-03-19 15:59
2026-03-19 16:00,0.1026,0.1029,0.1025,0.1026,480895.99,2026-03-19 16:14
2026-03-19 16:15,0.1027,0.1032,0.1027,0.103,703253.54,2026-03-19 16:29
2026-03-19 16:30,0.103,0.1036,0.103,0.1034,482262.79,2026-03-19 16:44
2026-03-19 16:45,0.1034,0.1035,0.1032,0.1032,381159.14,2026-03-19 16:59
2026-03-19 17:00,0.1033,0.1035,0.1031,0.1034,756610.29,2026-03-19 17:14
2026-03-19 17:15,0.1034,0.1036,0.1033,0.1035,518618.99,2026-03-19 17:29
2026-03-19 17:30,0.1036,0.1039,0.1035,0.1039,746535.8,2026-03-19 17:44
2026-03-19 17:45,0.1038,0.104,0.1036,0.1039,605890.32,2026-03-19 17:59
2026-03-19 18:00,0.1039,0.1039,0.1035,0.1037,1039950.92,2026-03-19 18:14
2026-03-19 18:15,0.1037,0.1037,0.1034,0.1035,738075.14,2026-03-19 18:29
2026-03-19 18:30,0.1034,0.1034,0.1026,0.1027,1938427.45,2026-03-19 18:44
2026-03-19 18:45,0.1028,0.103,0.1028,0.103,411206.15,2026-03-19 18:59
2026-03-19 19:00,0.1031,0.1033,0.103,0.103,558961.82,2026-03-19 19:14
2026-03-19 19:15,0.1029,0.1032,0.1027,0.1032,634964.42,2026-03-19 19:29
2026-03-19 19:30,0.1032,0.1033,0.1026,0.1028,1064739.49,2026-03-19 19:44
2026-03-19 19:45,0.1029,0.1031,0.1028,0.103,659065.36,2026-03-19 19:59
2026-03-19 20:00,0.1031,0.1033,0.103,0.1032,523609.14,2026-03-19 20:14
2026-03-19 20:15,0.1032,0.1035,0.103,0.1035,1089011.08,2026-03-19 20:29
2026-03-19 20:30,0.1035,0.1035,0.1033,0.1034,698609.7,2026-03-19 20:44
2026-03-19 20:45,0.1035,0.1037,0.1034,0.1037,535175.17,2026-03-19 20:59
2026-03-19 21:00,0.1037,0.1044,0.1037,0.1043,1380653.67,2026-03-19 21:14
2026-03-19 21:15,0.1043,0.1043,0.1041,0.1042,618528.99,2026-03-19 21:29
2026-03-19 21:30,0.1043,0.1046,0.104,0.1046,1056315.64,2026-03-19 21:44
2026-03-19 21:45,0.1046,0.1046,0.1042,0.1043,820762.37,2026-03-19 21:59
