Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-15 06:00,8.33,8.4,8.31,8.38,12097.41,2026-03-15 06:59
2026-03-15 07:00,8.37,8.43,8.37,8.41,18932.9,2026-03-15 07:59
2026-03-15 08:00,8.41,8.41,8.37,8.39,13671.17,2026-03-15 08:59
2026-03-15 09:00,8.38,8.41,8.28,8.33,14300.25,2026-03-15 09:59
2026-03-15 10:00,8.33,8.34,8.29,8.32,7216.91,2026-03-15 10:59
2026-03-15 11:00,8.32,8.33,8.27,8.28,15303.46,2026-03-15 11:59
2026-03-15 12:00,8.28,8.31,8.26,8.26,8621.81,2026-03-15 12:59
2026-03-15 13:00,8.26,8.36,8.26,8.33,11157.47,2026-03-15 13:59
2026-03-15 14:00,8.33,8.34,8.27,8.28,7802.48,2026-03-15 14:59
2026-03-15 15:00,8.28,8.33,8.28,8.32,4317.56,2026-03-15 15:59
2026-03-15 16:00,8.32,8.36,8.3,8.34,6356.26,2026-03-15 16:59
2026-03-15 17:00,8.33,8.4,8.3,8.38,12495.4,2026-03-15 17:59
2026-03-15 18:00,8.39,8.51,8.34,8.49,24977.12,2026-03-15 18:59
2026-03-15 19:00,8.49,8.52,8.42,8.48,23862.91,2026-03-15 19:59
2026-03-15 20:00,8.48,8.51,8.44,8.5,12601.48,2026-03-15 20:59
2026-03-15 21:00,8.5,8.52,8.45,8.51,13809.81,2026-03-15 21:59
2026-03-15 22:00,8.51,8.55,8.46,8.52,10633.9,2026-03-15 22:59
2026-03-15 23:00,8.52,8.74,8.5,8.65,48642.06,2026-03-15 23:59
2026-03-16 00:00,8.66,8.8,8.66,8.77,48344.57,2026-03-16 00:59
2026-03-16 01:00,8.78,8.98,8.77,8.93,94251.01,2026-03-16 01:59
2026-03-16 02:00,8.93,9.03,8.87,8.97,66791.07,2026-03-16 02:59
2026-03-16 03:00,8.97,9.08,8.97,9.05,60684.84,2026-03-16 03:59
2026-03-16 04:00,9.05,9.23,8.95,8.95,114075.06,2026-03-16 04:59
2026-03-16 05:00,8.95,8.99,8.89,8.9,32289.84,2026-03-16 05:59
2026-03-16 06:00,8.9,8.91,8.77,8.9,43529.86,2026-03-16 06:59
2026-03-16 07:00,8.91,8.92,8.82,8.86,14980.69,2026-03-16 07:59
2026-03-16 08:00,8.86,8.91,8.85,8.87,32802.9,2026-03-16 08:59
2026-03-16 09:00,8.87,9.0,8.84,8.93,37353.79,2026-03-16 09:59
2026-03-16 10:00,8.94,8.97,8.82,8.94,27052.68,2026-03-16 10:59
2026-03-16 11:00,8.95,8.97,8.82,8.82,21196.53,2026-03-16 11:59
2026-03-16 12:00,8.82,8.95,8.82,8.94,14574.66,2026-03-16 12:59
2026-03-16 13:00,8.94,9.01,8.93,8.98,15937.22,2026-03-16 13:59
2026-03-16 14:00,8.98,9.07,8.98,9.01,13190.24,2026-03-16 14:59
2026-03-16 15:00,9.01,9.06,8.98,9.0,11713.21,2026-03-16 15:59
2026-03-16 16:00,9.0,9.03,8.98,9.01,15092.4,2026-03-16 16:59
2026-03-16 17:00,9.01,9.1,9.0,9.05,33162.51,2026-03-16 17:59
2026-03-16 18:00,9.05,9.11,9.05,9.07,13287.02,2026-03-16 18:59
2026-03-16 19:00,9.06,9.08,8.99,9.03,13203.6,2026-03-16 19:59
2026-03-16 20:00,9.03,9.08,8.99,9.04,28492.81,2026-03-16 20:59
2026-03-16 21:00,9.05,9.09,9.0,9.02,20897.0,2026-03-16 21:59
2026-03-16 22:00,9.03,9.07,8.99,9.02,10462.51,2026-03-16 22:59
2026-03-16 23:00,9.02,9.02,8.86,8.92,24734.19,2026-03-16 23:59
2026-03-17 00:00,8.93,8.94,8.81,8.87,14041.13,2026-03-17 00:59
2026-03-17 01:00,8.86,8.88,8.8,8.85,13213.01,2026-03-17 01:59
2026-03-17 02:00,8.85,8.88,8.81,8.84,13837.19,2026-03-17 02:59
2026-03-17 03:00,8.85,8.93,8.85,8.89,9208.93,2026-03-17 03:59
2026-03-17 04:00,8.89,8.92,8.86,8.89,9675.43,2026-03-17 04:59
2026-03-17 05:00,8.88,8.9,8.85,8.86,11921.77,2026-03-17 05:59
2026-03-17 06:00,8.86,8.87,8.83,8.85,7717.06,2026-03-17 06:59
2026-03-17 07:00,8.85,8.9,8.84,8.85,8427.43,2026-03-17 07:59
2026-03-17 08:00,8.84,8.86,8.77,8.78,9905.29,2026-03-17 08:59
2026-03-17 09:00,8.78,8.85,8.76,8.83,26133.09,2026-03-17 09:59
2026-03-17 10:00,8.82,8.89,8.81,8.86,12494.84,2026-03-17 10:59
2026-03-17 11:00,8.86,8.92,8.78,8.85,8733.64,2026-03-17 11:59
2026-03-17 12:00,8.85,8.91,8.84,8.86,18688.31,2026-03-17 12:59
2026-03-17 13:00,8.86,8.89,8.85,8.89,3035.64,2026-03-17 13:59
2026-03-17 14:00,8.88,8.91,8.87,8.9,7321.0,2026-03-17 14:59
2026-03-17 15:00,8.89,8.9,8.85,8.85,4790.18,2026-03-17 15:59
2026-03-17 16:00,8.85,8.9,8.85,8.9,3766.23,2026-03-17 16:59
2026-03-17 17:00,8.89,8.95,8.89,8.92,11699.37,2026-03-17 17:59
2026-03-17 18:00,8.92,8.94,8.88,8.91,5060.84,2026-03-17 18:59
2026-03-17 19:00,8.92,8.93,8.85,8.86,9690.09,2026-03-17 19:59
2026-03-17 20:00,8.87,8.87,8.79,8.82,6545.54,2026-03-17 20:59
2026-03-17 21:00,8.82,8.85,8.81,8.83,7276.19,2026-03-17 21:59
2026-03-17 22:00,8.83,8.92,8.83,8.89,8131.04,2026-03-17 22:59
2026-03-17 23:00,8.89,8.96,8.88,8.93,9775.88,2026-03-17 23:59
2026-03-18 00:00,8.93,8.93,8.84,8.87,6438.98,2026-03-18 00:59
2026-03-18 01:00,8.87,8.95,8.85,8.86,8483.82,2026-03-18 01:59
2026-03-18 02:00,8.87,8.91,8.85,8.86,8551.97,2026-03-18 02:59
2026-03-18 03:00,8.85,8.85,8.81,8.84,13194.84,2026-03-18 03:59
2026-03-18 04:00,8.85,8.87,8.84,8.84,4364.61,2026-03-18 04:59
2026-03-18 05:00,8.85,8.9,8.84,8.87,4072.84,2026-03-18 05:59
2026-03-18 06:00,8.88,8.89,8.82,8.84,4990.5,2026-03-18 06:59
2026-03-18 07:00,8.84,8.86,8.64,8.67,25713.62,2026-03-18 07:59
2026-03-18 08:00,8.67,8.67,8.51,8.52,41759.56,2026-03-18 08:59
2026-03-18 09:00,8.52,8.55,8.46,8.52,22290.87,2026-03-18 09:59
2026-03-18 10:00,8.52,8.52,8.34,8.34,37353.97,2026-03-18 10:59
