Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,8.26,8.29,8.21,8.27,36091.91,2026-02-19 18:59
2026-02-19 16:00,8.27,8.34,8.27,8.28,34386.29,2026-02-19 22:59
2026-02-19 20:00,8.28,8.33,8.21,8.3,43159.96,2026-02-20 02:59
2026-02-20 00:00,8.3,8.37,8.29,8.31,40607.14,2026-02-20 06:59
2026-02-20 04:00,8.31,8.61,8.19,8.61,149638.49,2026-02-20 10:59
2026-02-20 08:00,8.61,8.7,8.44,8.66,126714.68,2026-02-20 14:59
2026-02-20 12:00,8.66,8.78,8.61,8.76,44532.92,2026-02-20 18:59
2026-02-20 16:00,8.75,8.88,8.69,8.83,61119.59,2026-02-20 22:59
2026-02-20 20:00,8.82,9.06,8.78,9.02,115106.32,2026-02-21 02:59
2026-02-21 00:00,9.02,9.79,9.02,9.64,658966.75,2026-02-21 06:59
2026-02-21 04:00,9.65,9.71,9.23,9.33,258217.4,2026-02-21 10:59
2026-02-21 08:00,9.33,9.33,9.17,9.23,110802.36,2026-02-21 14:59
2026-02-21 12:00,9.24,9.25,9.02,9.05,89180.18,2026-02-21 18:59
2026-02-21 16:00,9.04,9.04,8.75,8.8,122639.61,2026-02-21 22:59
2026-02-21 20:00,8.79,8.88,8.74,8.83,57932.76,2026-02-22 02:59
2026-02-22 00:00,8.83,8.85,8.74,8.78,45348.9,2026-02-22 06:59
2026-02-22 04:00,8.77,8.77,8.65,8.67,56263.14,2026-02-22 10:59
2026-02-22 08:00,8.68,8.69,8.55,8.56,47453.22,2026-02-22 14:59
2026-02-22 12:00,8.56,8.58,8.45,8.52,51189.32,2026-02-22 18:59
2026-02-22 16:00,8.51,8.54,8.1,8.18,179641.59,2026-02-22 22:59
2026-02-22 20:00,8.19,8.33,8.13,8.28,185198.9,2026-02-23 02:59
2026-02-23 00:00,8.28,8.54,8.26,8.49,57563.42,2026-02-23 06:59
2026-02-23 04:00,8.49,8.53,8.37,8.42,56227.01,2026-02-23 10:59
2026-02-23 08:00,8.42,8.47,8.3,8.33,66413.5,2026-02-23 14:59
2026-02-23 12:00,8.33,8.39,8.27,8.36,32456.36,2026-02-23 18:59
2026-02-23 16:00,8.37,8.4,8.18,8.2,50927.5,2026-02-23 22:59
2026-02-23 20:00,8.21,8.25,8.12,8.22,89052.09,2026-02-24 02:59
2026-02-24 00:00,8.21,8.25,8.13,8.16,70229.86,2026-02-24 06:59
2026-02-24 04:00,8.16,8.37,8.08,8.33,181834.19,2026-02-24 10:59
2026-02-24 08:00,8.34,8.45,8.33,8.43,32800.92,2026-02-24 14:59
2026-02-24 12:00,8.43,8.44,8.28,8.3,24494.58,2026-02-24 18:59
2026-02-24 16:00,8.3,8.63,8.27,8.4,74994.51,2026-02-24 22:59
2026-02-24 20:00,8.39,8.47,8.27,8.37,147178.42,2026-02-25 02:59
2026-02-25 00:00,8.36,8.59,8.34,8.57,46205.97,2026-02-25 06:59
2026-02-25 04:00,8.57,9.36,8.56,9.23,172505.45,2026-02-25 10:59
2026-02-25 08:00,9.23,9.48,9.23,9.46,182304.46,2026-02-25 14:59
2026-02-25 12:00,9.47,9.64,9.05,9.15,164123.75,2026-02-25 18:59
2026-02-25 16:00,9.16,9.26,9.08,9.14,111917.79,2026-02-25 22:59
2026-02-25 20:00,9.13,9.18,8.93,8.96,85748.79,2026-02-26 02:59
2026-02-26 00:00,8.96,9.1,8.91,8.95,152544.66,2026-02-26 06:59
2026-02-26 04:00,8.94,9.02,8.82,8.87,71753.57,2026-02-26 10:59
2026-02-26 08:00,8.86,8.89,8.66,8.85,105319.18,2026-02-26 14:59
2026-02-26 12:00,8.86,8.89,8.8,8.86,28196.05,2026-02-26 18:59
