Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,0.161,0.1629,0.1606,0.1629,1751968.9,2026-02-19 18:59
2026-02-19 16:00,0.163,0.1655,0.162,0.164,3770457.9,2026-02-19 22:59
2026-02-19 20:00,0.164,0.1651,0.1618,0.1647,1964505.7,2026-02-20 02:59
2026-02-20 00:00,0.1648,0.1673,0.1639,0.1651,3404264.6,2026-02-20 06:59
2026-02-20 04:00,0.1652,0.1681,0.1602,0.1675,9139581.2,2026-02-20 10:59
2026-02-20 08:00,0.1675,0.1705,0.164,0.1681,9563395.2,2026-02-20 14:59
2026-02-20 12:00,0.1681,0.1689,0.1673,0.1679,2625215.1,2026-02-20 18:59
2026-02-20 16:00,0.168,0.1682,0.165,0.1663,4553316.2,2026-02-20 22:59
2026-02-20 20:00,0.1661,0.1677,0.1657,0.1662,1781511.0,2026-02-21 02:59
2026-02-21 00:00,0.1662,0.1703,0.166,0.1687,4261451.5,2026-02-21 06:59
2026-02-21 04:00,0.1688,0.1701,0.1675,0.1681,3792624.7,2026-02-21 10:59
2026-02-21 08:00,0.1681,0.1683,0.1664,0.1665,3227696.9,2026-02-21 14:59
2026-02-21 12:00,0.1665,0.1671,0.1647,0.1647,1997877.1,2026-02-21 18:59
2026-02-21 16:00,0.1647,0.1647,0.1611,0.1629,3359759.7,2026-02-21 22:59
2026-02-21 20:00,0.1628,0.163,0.1616,0.1626,1884704.7,2026-02-22 02:59
2026-02-22 00:00,0.1626,0.1633,0.1615,0.1619,3190143.4,2026-02-22 06:59
2026-02-22 04:00,0.1619,0.1619,0.1575,0.1597,4962162.0,2026-02-22 10:59
2026-02-22 08:00,0.1596,0.1601,0.1578,0.1585,2906668.3,2026-02-22 14:59
2026-02-22 12:00,0.1586,0.16,0.1573,0.1596,2527105.1,2026-02-22 18:59
2026-02-22 16:00,0.1596,0.1597,0.151,0.1531,13843191.3,2026-02-22 22:59
2026-02-22 20:00,0.1531,0.1573,0.1522,0.1565,3565802.3,2026-02-23 02:59
2026-02-23 00:00,0.1564,0.1598,0.1552,0.1584,3797528.0,2026-02-23 06:59
2026-02-23 04:00,0.1584,0.1602,0.1551,0.1553,5438231.8,2026-02-23 10:59
2026-02-23 08:00,0.1552,0.1562,0.1521,0.1531,3931596.2,2026-02-23 14:59
2026-02-23 12:00,0.1531,0.1552,0.1522,0.1539,3536949.5,2026-02-23 18:59
2026-02-23 16:00,0.1539,0.1556,0.1515,0.1528,3658037.0,2026-02-23 22:59
2026-02-23 20:00,0.1528,0.153,0.1507,0.152,3682428.2,2026-02-24 02:59
2026-02-24 00:00,0.1519,0.1526,0.1509,0.1514,3588300.1,2026-02-24 06:59
2026-02-24 04:00,0.1514,0.1557,0.1498,0.1546,6487700.0,2026-02-24 10:59
2026-02-24 08:00,0.1547,0.1571,0.1538,0.154,4988000.3,2026-02-24 14:59
2026-02-24 12:00,0.154,0.1545,0.1521,0.1528,2884578.9,2026-02-24 18:59
2026-02-24 16:00,0.1528,0.1582,0.1524,0.1547,4845291.2,2026-02-24 22:59
2026-02-24 20:00,0.1547,0.1552,0.1523,0.1543,2561750.1,2026-02-25 02:59
2026-02-25 00:00,0.1543,0.1582,0.154,0.1575,4819061.8,2026-02-25 06:59
2026-02-25 04:00,0.1575,0.1679,0.1572,0.1671,13656132.0,2026-02-25 10:59
2026-02-25 08:00,0.1671,0.1732,0.1671,0.1731,11405828.1,2026-02-25 14:59
2026-02-25 12:00,0.1731,0.1759,0.1659,0.1677,12078790.1,2026-02-25 18:59
2026-02-25 16:00,0.1677,0.1692,0.1653,0.1675,5201709.4,2026-02-25 22:59
2026-02-25 20:00,0.1675,0.1687,0.1646,0.165,3244979.6,2026-02-26 02:59
2026-02-26 00:00,0.165,0.1673,0.1628,0.1633,5137017.3,2026-02-26 06:59
2026-02-26 04:00,0.1633,0.1647,0.1607,0.1624,4689745.9,2026-02-26 10:59
2026-02-26 08:00,0.1623,0.1629,0.1577,0.162,8182305.5,2026-02-26 14:59
2026-02-26 12:00,0.162,0.1628,0.1605,0.1619,3286684.1,2026-02-26 18:59
2026-02-26 16:00,0.1619,0.1638,0.1606,0.1638,2989608.5,2026-02-26 22:59
2026-02-26 20:00,0.1637,0.1662,0.1637,0.1657,4817826.5,2026-02-27 02:59
2026-02-27 00:00,0.1656,0.1672,0.1598,0.1606,8710702.9,2026-02-27 06:59
2026-02-27 04:00,0.1605,0.1612,0.1586,0.1595,5989173.5,2026-02-27 10:59
2026-02-27 08:00,0.1593,0.1597,0.1562,0.1569,3178842.6,2026-02-27 14:59
2026-02-27 12:00,0.1569,0.1577,0.1531,0.1562,3501636.4,2026-02-27 18:59
2026-02-27 16:00,0.1562,0.1574,0.1557,0.1562,2290423.6,2026-02-27 22:59
2026-02-27 20:00,0.1562,0.1566,0.1456,0.1491,12166489.5,2026-02-28 02:59
2026-02-28 00:00,0.149,0.1492,0.1444,0.145,9002533.4,2026-02-28 06:59
2026-02-28 04:00,0.1451,0.151,0.1449,0.148,11003608.0,2026-02-28 10:59
2026-02-28 08:00,0.148,0.1544,0.1469,0.1536,6153337.9,2026-02-28 14:59
2026-02-28 12:00,0.1536,0.1587,0.1532,0.1568,6627952.8,2026-02-28 18:59
2026-02-28 16:00,0.1568,0.1623,0.1539,0.1593,9611630.7,2026-02-28 22:59
2026-02-28 20:00,0.1593,0.1606,0.1574,0.1587,4668532.9,2026-03-01 02:59
2026-03-01 00:00,0.1588,0.1593,0.1542,0.1548,4767258.9,2026-03-01 06:59
2026-03-01 04:00,0.1548,0.1573,0.1523,0.1557,4864616.3,2026-03-01 10:59
2026-03-01 08:00,0.1558,0.1566,0.15,0.1505,4483617.3,2026-03-01 14:59
2026-03-01 12:00,0.1506,0.1525,0.1477,0.1506,5511523.9,2026-03-01 18:59
2026-03-01 16:00,0.1507,0.1542,0.1505,0.1527,2537239.3,2026-03-01 22:59
2026-03-01 20:00,0.1527,0.1528,0.1477,0.148,3487219.7,2026-03-02 02:59
2026-03-02 00:00,0.1481,0.1503,0.1467,0.1485,5961123.8,2026-03-02 06:59
2026-03-02 04:00,0.1486,0.1581,0.1465,0.1568,12977717.8,2026-03-02 10:59
2026-03-02 08:00,0.1569,0.1597,0.1511,0.1529,10059723.4,2026-03-02 14:59
2026-03-02 12:00,0.1529,0.1541,0.1506,0.1516,6402854.9,2026-03-02 18:59
2026-03-02 16:00,0.1517,0.1525,0.1477,0.1485,10155406.7,2026-03-02 22:59
2026-03-02 20:00,0.1486,0.1501,0.1457,0.148,10251764.2,2026-03-03 02:59
2026-03-03 00:00,0.148,0.1484,0.1446,0.1458,9581589.1,2026-03-03 06:59
2026-03-03 04:00,0.1458,0.149,0.1447,0.1482,6898493.2,2026-03-03 10:59
2026-03-03 08:00,0.1481,0.1516,0.1466,0.1483,8425487.8,2026-03-03 14:59
2026-03-03 12:00,0.1483,0.1495,0.1459,0.148,5121874.5,2026-03-03 18:59
2026-03-03 16:00,0.1481,0.1495,0.1467,0.1484,4746273.4,2026-03-03 22:59
2026-03-03 20:00,0.1483,0.1502,0.1466,0.1498,2995036.8,2026-03-04 02:59
2026-03-04 00:00,0.1497,0.1562,0.1491,0.1518,14537941.3,2026-03-04 06:59
2026-03-04 04:00,0.1518,0.1573,0.15,0.1573,10794286.8,2026-03-04 10:59
2026-03-04 08:00,0.1572,0.159,0.1536,0.1579,11876598.5,2026-03-04 14:59
2026-03-04 12:00,0.158,0.1581,0.1536,0.1554,6562469.8,2026-03-04 18:59
2026-03-04 16:00,0.1553,0.1559,0.1533,0.1536,4612393.7,2026-03-04 22:59
2026-03-04 20:00,0.1535,0.155,0.152,0.1527,4066537.0,2026-03-05 02:59
2026-03-05 00:00,0.1527,0.1571,0.1519,0.1556,8137078.2,2026-03-05 06:59
2026-03-05 04:00,0.1555,0.1568,0.1525,0.1529,5042938.0,2026-03-05 10:59
2026-03-05 08:00,0.1529,0.1542,0.1495,0.1527,6770201.4,2026-03-05 14:59
2026-03-05 12:00,0.1527,0.1549,0.1523,0.1526,4143753.3,2026-03-05 18:59
2026-03-05 16:00,0.1526,0.1542,0.1516,0.1539,2753449.4,2026-03-05 22:59
2026-03-05 20:00,0.1539,0.1539,0.151,0.153,5579209.4,2026-03-06 02:59
2026-03-06 00:00,0.153,0.153,0.1494,0.1499,6588629.9,2026-03-06 06:59
