Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,0.885,0.886,0.883,0.884,24315.91,2026-03-19 12:44
2026-03-19 12:45,0.884,0.886,0.882,0.885,56927.94,2026-03-19 12:59
2026-03-19 13:00,0.885,0.886,0.877,0.879,201387.46,2026-03-19 13:14
2026-03-19 13:15,0.879,0.889,0.878,0.887,87895.16,2026-03-19 13:29
2026-03-19 13:30,0.888,0.89,0.886,0.887,55501.09,2026-03-19 13:44
2026-03-19 13:45,0.887,0.891,0.887,0.89,28080.68,2026-03-19 13:59
2026-03-19 14:00,0.89,0.89,0.886,0.887,24367.44,2026-03-19 14:14
2026-03-19 14:15,0.887,0.888,0.885,0.885,27852.73,2026-03-19 14:29
2026-03-19 14:30,0.885,0.885,0.883,0.883,47124.62,2026-03-19 14:44
2026-03-19 14:45,0.884,0.886,0.883,0.886,17458.39,2026-03-19 14:59
2026-03-19 15:00,0.886,0.895,0.885,0.892,120926.4,2026-03-19 15:14
2026-03-19 15:15,0.891,0.894,0.889,0.89,74762.46,2026-03-19 15:29
2026-03-19 15:30,0.89,0.891,0.887,0.891,58114.66,2026-03-19 15:44
2026-03-19 15:45,0.891,0.892,0.887,0.889,44075.05,2026-03-19 15:59
2026-03-19 16:00,0.889,0.891,0.888,0.89,22818.48,2026-03-19 16:14
2026-03-19 16:15,0.89,0.891,0.889,0.89,67137.07,2026-03-19 16:29
2026-03-19 16:30,0.89,0.893,0.889,0.891,34795.79,2026-03-19 16:44
2026-03-19 16:45,0.89,0.891,0.89,0.89,26432.75,2026-03-19 16:59
2026-03-19 17:00,0.89,0.893,0.89,0.892,67955.1,2026-03-19 17:14
2026-03-19 17:15,0.892,0.892,0.89,0.891,10370.73,2026-03-19 17:29
2026-03-19 17:30,0.891,0.892,0.89,0.891,38910.64,2026-03-19 17:44
2026-03-19 17:45,0.891,0.893,0.89,0.892,23171.01,2026-03-19 17:59
2026-03-19 18:00,0.891,0.892,0.889,0.892,61718.23,2026-03-19 18:14
2026-03-19 18:15,0.892,0.893,0.891,0.893,23201.99,2026-03-19 18:29
