Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,0.878,0.878,0.873,0.875,226053.21,2026-03-14 13:59
2026-03-14 14:00,0.875,0.914,0.874,0.893,3307598.2,2026-03-14 14:59
2026-03-14 15:00,0.892,0.897,0.879,0.882,780264.55,2026-03-14 15:59
2026-03-14 16:00,0.882,0.886,0.875,0.881,462985.73,2026-03-14 16:59
2026-03-14 17:00,0.881,0.882,0.876,0.879,263452.77,2026-03-14 17:59
2026-03-14 18:00,0.879,0.888,0.877,0.879,299530.06,2026-03-14 18:59
2026-03-14 19:00,0.879,0.883,0.877,0.883,364105.49,2026-03-14 19:59
2026-03-14 20:00,0.882,0.883,0.873,0.875,289596.13,2026-03-14 20:59
2026-03-14 21:00,0.874,0.879,0.868,0.878,295951.28,2026-03-14 21:59
2026-03-14 22:00,0.878,0.887,0.878,0.884,780864.84,2026-03-14 22:59
2026-03-14 23:00,0.885,0.886,0.876,0.88,226617.27,2026-03-14 23:59
2026-03-15 00:00,0.88,0.885,0.878,0.881,148578.82,2026-03-15 00:59
2026-03-15 01:00,0.882,0.886,0.88,0.882,188262.58,2026-03-15 01:59
2026-03-15 02:00,0.882,0.884,0.878,0.882,271793.67,2026-03-15 02:59
2026-03-15 03:00,0.881,0.887,0.881,0.887,168255.73,2026-03-15 03:59
2026-03-15 04:00,0.887,0.889,0.884,0.886,172170.98,2026-03-15 04:59
2026-03-15 05:00,0.887,0.89,0.883,0.885,184012.72,2026-03-15 05:59
2026-03-15 06:00,0.884,0.892,0.882,0.888,343259.71,2026-03-15 06:59
2026-03-15 07:00,0.888,0.894,0.887,0.891,246054.15,2026-03-15 07:59
2026-03-15 08:00,0.891,0.895,0.888,0.892,234429.57,2026-03-15 08:59
2026-03-15 09:00,0.893,0.893,0.88,0.888,357782.0,2026-03-15 09:59
2026-03-15 10:00,0.888,0.892,0.886,0.89,322210.62,2026-03-15 10:59
2026-03-15 11:00,0.889,0.89,0.883,0.886,86491.33,2026-03-15 11:59
2026-03-15 12:00,0.885,0.886,0.882,0.883,372959.66,2026-03-15 12:59
2026-03-15 13:00,0.883,0.891,0.883,0.889,92971.47,2026-03-15 13:59
2026-03-15 14:00,0.889,0.89,0.882,0.883,159365.21,2026-03-15 14:59
2026-03-15 15:00,0.884,0.891,0.884,0.889,126978.01,2026-03-15 15:59
2026-03-15 16:00,0.889,0.897,0.886,0.891,152113.15,2026-03-15 16:59
2026-03-15 17:00,0.892,0.897,0.889,0.894,177742.55,2026-03-15 17:59
2026-03-15 18:00,0.895,0.903,0.89,0.9,691847.14,2026-03-15 18:59
2026-03-15 19:00,0.9,0.902,0.89,0.895,581942.96,2026-03-15 19:59
2026-03-15 20:00,0.895,0.899,0.888,0.895,473087.86,2026-03-15 20:59
2026-03-15 21:00,0.895,0.899,0.89,0.898,199950.11,2026-03-15 21:59
2026-03-15 22:00,0.898,0.9,0.892,0.897,452280.35,2026-03-15 22:59
2026-03-15 23:00,0.897,0.925,0.895,0.913,1443383.58,2026-03-15 23:59
2026-03-16 00:00,0.912,0.926,0.912,0.923,570470.24,2026-03-16 00:59
2026-03-16 01:00,0.923,0.941,0.918,0.936,1349828.12,2026-03-16 01:59
2026-03-16 02:00,0.937,0.96,0.93,0.944,1981192.38,2026-03-16 02:59
2026-03-16 03:00,0.944,0.955,0.943,0.944,1012731.89,2026-03-16 03:59
2026-03-16 04:00,0.945,0.962,0.939,0.939,1123370.25,2026-03-16 04:59
2026-03-16 05:00,0.94,0.949,0.937,0.937,685916.96,2026-03-16 05:59
2026-03-16 06:00,0.938,0.947,0.931,0.937,1312133.4,2026-03-16 06:59
2026-03-16 07:00,0.937,0.941,0.933,0.935,373083.92,2026-03-16 07:59
2026-03-16 08:00,0.936,0.941,0.934,0.937,772517.75,2026-03-16 08:59
2026-03-16 09:00,0.936,0.944,0.932,0.937,546967.39,2026-03-16 09:59
2026-03-16 10:00,0.938,0.94,0.922,0.934,721617.53,2026-03-16 10:59
2026-03-16 11:00,0.934,0.935,0.923,0.928,544929.72,2026-03-16 11:59
2026-03-16 12:00,0.928,0.96,0.928,0.952,1608615.48,2026-03-16 12:59
2026-03-16 13:00,0.952,0.962,0.952,0.957,913160.65,2026-03-16 13:59
2026-03-16 14:00,0.957,0.976,0.955,0.967,1790354.73,2026-03-16 14:59
2026-03-16 15:00,0.968,0.993,0.968,0.971,1646441.73,2026-03-16 15:59
2026-03-16 16:00,0.972,1.007,0.964,1.005,1314330.95,2026-03-16 16:59
2026-03-16 17:00,1.004,1.015,0.994,0.998,1036912.56,2026-03-16 17:59
2026-03-16 18:00,0.998,1.007,0.997,0.998,716985.85,2026-03-16 18:59
2026-03-16 19:00,0.999,0.999,0.984,0.99,1045993.61,2026-03-16 19:59
2026-03-16 20:00,0.99,0.993,0.98,0.982,656335.12,2026-03-16 20:59
2026-03-16 21:00,0.983,0.988,0.974,0.978,560314.72,2026-03-16 21:59
2026-03-16 22:00,0.978,0.98,0.972,0.975,411020.73,2026-03-16 22:59
2026-03-16 23:00,0.974,0.978,0.965,0.97,440548.0,2026-03-16 23:59
2026-03-17 00:00,0.97,0.973,0.953,0.963,591706.9,2026-03-17 00:59
2026-03-17 01:00,0.963,0.963,0.953,0.959,282125.47,2026-03-17 01:59
2026-03-17 02:00,0.959,0.966,0.956,0.961,453902.73,2026-03-17 02:59
2026-03-17 03:00,0.962,0.975,0.962,0.969,506178.82,2026-03-17 03:59
2026-03-17 04:00,0.969,0.974,0.965,0.966,430527.34,2026-03-17 04:59
2026-03-17 05:00,0.966,0.974,0.963,0.969,458228.38,2026-03-17 05:59
2026-03-17 06:00,0.969,0.973,0.966,0.973,346292.29,2026-03-17 06:59
2026-03-17 07:00,0.973,0.991,0.973,0.978,1876556.81,2026-03-17 07:59
2026-03-17 08:00,0.978,0.978,0.958,0.961,631483.36,2026-03-17 08:59
2026-03-17 09:00,0.961,0.968,0.954,0.959,475182.57,2026-03-17 09:59
2026-03-17 10:00,0.959,0.965,0.955,0.963,394096.76,2026-03-17 10:59
2026-03-17 11:00,0.963,0.969,0.956,0.965,506671.39,2026-03-17 11:59
2026-03-17 12:00,0.964,0.97,0.962,0.962,465957.08,2026-03-17 12:59
2026-03-17 13:00,0.963,0.971,0.962,0.971,99937.55,2026-03-17 13:59
2026-03-17 14:00,0.971,0.972,0.964,0.966,143777.8,2026-03-17 14:59
2026-03-17 15:00,0.967,0.967,0.962,0.963,152574.74,2026-03-17 15:59
2026-03-17 16:00,0.963,0.97,0.962,0.97,156417.78,2026-03-17 16:59
2026-03-17 17:00,0.971,0.978,0.97,0.974,190261.57,2026-03-17 17:59
2026-03-17 18:00,0.974,0.977,0.968,0.975,263884.09,2026-03-17 18:59
2026-03-17 19:00,0.975,0.976,0.969,0.969,247650.39,2026-03-17 19:59
2026-03-17 20:00,0.969,0.971,0.961,0.963,399261.96,2026-03-17 20:59
2026-03-17 21:00,0.964,0.966,0.96,0.963,128343.16,2026-03-17 21:59
2026-03-17 22:00,0.963,0.972,0.963,0.968,194984.77,2026-03-17 22:59
2026-03-17 23:00,0.968,0.976,0.968,0.968,202634.96,2026-03-17 23:59
2026-03-18 00:00,0.969,0.969,0.964,0.969,147416.72,2026-03-18 00:59
2026-03-18 01:00,0.97,0.976,0.97,0.974,355608.84,2026-03-18 01:59
2026-03-18 02:00,0.974,0.979,0.971,0.972,283722.21,2026-03-18 02:59
