Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,0.913,0.916,0.906,0.915,708889.66,2026-02-19 18:59
2026-02-19 16:00,0.916,0.924,0.914,0.918,652988.66,2026-02-19 22:59
2026-02-19 20:00,0.918,0.927,0.909,0.92,1186033.38,2026-02-20 02:59
2026-02-20 00:00,0.921,0.93,0.911,0.912,1827939.29,2026-02-20 06:59
2026-02-20 04:00,0.912,0.953,0.899,0.953,2939848.07,2026-02-20 10:59
2026-02-20 08:00,0.953,0.964,0.934,0.952,2517288.95,2026-02-20 14:59
2026-02-20 12:00,0.952,0.961,0.945,0.958,776185.79,2026-02-20 18:59
2026-02-20 16:00,0.957,0.961,0.948,0.957,540238.82,2026-02-20 22:59
2026-02-20 20:00,0.956,0.98,0.954,0.967,1193103.67,2026-02-21 02:59
2026-02-21 00:00,0.968,1.021,0.965,1.001,2811549.55,2026-02-21 06:59
2026-02-21 04:00,1.002,1.012,0.987,0.989,2390059.4,2026-02-21 10:59
2026-02-21 08:00,0.989,0.989,0.969,0.978,1091138.21,2026-02-21 14:59
2026-02-21 12:00,0.978,0.979,0.967,0.97,639899.39,2026-02-21 18:59
2026-02-21 16:00,0.97,0.97,0.942,0.949,1809269.31,2026-02-21 22:59
2026-02-21 20:00,0.948,0.954,0.939,0.95,1152287.48,2026-02-22 02:59
2026-02-22 00:00,0.951,0.951,0.942,0.944,625006.9,2026-02-22 06:59
2026-02-22 04:00,0.944,0.944,0.923,0.931,1522541.24,2026-02-22 10:59
2026-02-22 08:00,0.93,0.933,0.92,0.924,520678.99,2026-02-22 14:59
2026-02-22 12:00,0.924,0.938,0.918,0.93,521833.29,2026-02-22 18:59
2026-02-22 16:00,0.93,0.931,0.874,0.886,4875907.1,2026-02-22 22:59
2026-02-22 20:00,0.885,0.908,0.879,0.903,1486993.84,2026-02-23 02:59
2026-02-23 00:00,0.903,0.917,0.899,0.906,1125688.33,2026-02-23 06:59
2026-02-23 04:00,0.906,0.915,0.891,0.894,1839180.27,2026-02-23 10:59
2026-02-23 08:00,0.893,0.9,0.875,0.884,1906613.18,2026-02-23 14:59
2026-02-23 12:00,0.884,0.895,0.88,0.891,932399.39,2026-02-23 18:59
2026-02-23 16:00,0.891,0.902,0.88,0.883,2013934.47,2026-02-23 22:59
2026-02-23 20:00,0.883,0.884,0.868,0.872,1822405.97,2026-02-24 02:59
2026-02-24 00:00,0.872,0.878,0.869,0.875,959183.8,2026-02-24 06:59
2026-02-24 04:00,0.876,0.885,0.863,0.875,1903795.6,2026-02-24 10:59
2026-02-24 08:00,0.875,0.888,0.873,0.885,1873972.18,2026-02-24 14:59
2026-02-24 12:00,0.886,0.888,0.877,0.88,1037602.06,2026-02-24 18:59
2026-02-24 16:00,0.88,0.917,0.878,0.894,3416476.59,2026-02-24 22:59
2026-02-24 20:00,0.895,0.905,0.887,0.904,1245947.7,2026-02-25 02:59
2026-02-25 00:00,0.905,0.925,0.898,0.923,1918073.99,2026-02-25 06:59
2026-02-25 04:00,0.923,1.077,0.92,1.069,11399373.76,2026-02-25 10:59
2026-02-25 08:00,1.069,1.107,1.06,1.102,13408509.71,2026-02-25 14:59
2026-02-25 12:00,1.102,1.108,1.053,1.062,6096732.58,2026-02-25 18:59
2026-02-25 16:00,1.063,1.065,1.018,1.02,6186740.83,2026-02-25 22:59
2026-02-25 20:00,1.019,1.026,0.999,1.008,2412834.56,2026-02-26 02:59
2026-02-26 00:00,1.008,1.027,0.996,1.009,2365267.68,2026-02-26 06:59
2026-02-26 04:00,1.009,1.026,0.994,1.015,2877495.76,2026-02-26 10:59
2026-02-26 08:00,1.015,1.017,0.978,1.012,3323131.06,2026-02-26 14:59
2026-02-26 12:00,1.011,1.038,1.006,1.026,1811354.97,2026-02-26 18:59
2026-02-26 16:00,1.026,1.037,1.012,1.023,1536131.64,2026-02-26 22:59
2026-02-26 20:00,1.022,1.045,1.022,1.037,1704844.81,2026-02-27 02:59
2026-02-27 00:00,1.036,1.044,0.992,0.995,2991733.87,2026-02-27 06:59
2026-02-27 04:00,0.994,1.011,0.988,1.003,2174271.99,2026-02-27 10:59
2026-02-27 08:00,1.002,1.004,0.979,0.984,1416012.19,2026-02-27 14:59
2026-02-27 12:00,0.983,0.996,0.97,0.994,1069966.03,2026-02-27 18:59
2026-02-27 16:00,0.994,0.994,0.983,0.984,724804.17,2026-02-27 22:59
2026-02-27 20:00,0.984,0.984,0.922,0.95,3823573.64,2026-02-28 02:59
2026-02-28 00:00,0.95,0.95,0.925,0.926,2149826.39,2026-02-28 06:59
2026-02-28 04:00,0.926,0.959,0.925,0.948,2706123.89,2026-02-28 10:59
2026-02-28 08:00,0.947,0.992,0.94,0.98,3220522.56,2026-02-28 14:59
2026-02-28 12:00,0.981,1.013,0.979,1.005,1701994.73,2026-02-28 18:59
2026-02-28 16:00,1.005,1.033,0.986,1.0,3002825.49,2026-02-28 22:59
2026-02-28 20:00,0.999,1.003,0.985,0.992,1943968.8,2026-03-01 02:59
2026-03-01 00:00,0.992,0.993,0.971,0.978,1832148.34,2026-03-01 06:59
2026-03-01 04:00,0.977,0.995,0.968,0.977,1943341.84,2026-03-01 10:59
2026-03-01 08:00,0.978,0.988,0.957,0.959,2008712.16,2026-03-01 14:59
2026-03-01 12:00,0.959,0.974,0.942,0.964,2090596.3,2026-03-01 18:59
