Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-15 11:00,2.664,2.664,2.65,2.658,66944.08,2026-03-15 11:59
2026-03-15 12:00,2.658,2.666,2.646,2.653,50114.29,2026-03-15 12:59
2026-03-15 13:00,2.653,2.69,2.653,2.681,97858.53,2026-03-15 13:59
2026-03-15 14:00,2.681,2.693,2.663,2.667,55608.08,2026-03-15 14:59
2026-03-15 15:00,2.667,2.69,2.665,2.688,41614.99,2026-03-15 15:59
2026-03-15 16:00,2.688,2.688,2.67,2.67,39366.57,2026-03-15 16:59
2026-03-15 17:00,2.671,2.687,2.665,2.684,77095.71,2026-03-15 17:59
2026-03-15 18:00,2.684,2.692,2.666,2.685,146369.63,2026-03-15 18:59
2026-03-15 19:00,2.686,2.693,2.656,2.672,158787.57,2026-03-15 19:59
2026-03-15 20:00,2.672,2.675,2.627,2.657,266315.02,2026-03-15 20:59
2026-03-15 21:00,2.658,2.665,2.641,2.659,126556.74,2026-03-15 21:59
2026-03-15 22:00,2.658,2.667,2.637,2.663,68029.69,2026-03-15 22:59
2026-03-15 23:00,2.663,2.706,2.646,2.682,272596.82,2026-03-15 23:59
2026-03-16 00:00,2.681,2.718,2.679,2.711,201966.02,2026-03-16 00:59
2026-03-16 01:00,2.711,2.718,2.695,2.71,201867.32,2026-03-16 01:59
2026-03-16 02:00,2.709,2.718,2.678,2.713,165952.37,2026-03-16 02:59
2026-03-16 03:00,2.714,2.732,2.695,2.708,247128.43,2026-03-16 03:59
2026-03-16 04:00,2.708,2.733,2.683,2.693,194932.85,2026-03-16 04:59
2026-03-16 05:00,2.694,2.703,2.678,2.685,115185.92,2026-03-16 05:59
2026-03-16 06:00,2.686,2.698,2.672,2.696,188840.2,2026-03-16 06:59
2026-03-16 07:00,2.696,2.706,2.681,2.694,135350.14,2026-03-16 07:59
2026-03-16 08:00,2.695,2.701,2.677,2.682,163938.51,2026-03-16 08:59
2026-03-16 09:00,2.682,2.716,2.665,2.699,369181.63,2026-03-16 09:59
2026-03-16 10:00,2.7,2.736,2.658,2.677,376857.22,2026-03-16 10:59
2026-03-16 11:00,2.679,2.688,2.657,2.659,168983.92,2026-03-16 11:59
2026-03-16 12:00,2.66,2.706,2.658,2.694,173788.48,2026-03-16 12:59
2026-03-16 13:00,2.694,2.716,2.694,2.714,143896.18,2026-03-16 13:59
2026-03-16 14:00,2.713,2.76,2.71,2.738,365553.25,2026-03-16 14:59
2026-03-16 15:00,2.738,2.763,2.731,2.748,260777.65,2026-03-16 15:59
2026-03-16 16:00,2.748,2.784,2.727,2.781,288559.88,2026-03-16 16:59
2026-03-16 17:00,2.78,2.793,2.758,2.766,174559.93,2026-03-16 17:59
2026-03-16 18:00,2.766,2.795,2.761,2.786,147654.11,2026-03-16 18:59
2026-03-16 19:00,2.785,2.791,2.754,2.773,179228.17,2026-03-16 19:59
2026-03-16 20:00,2.773,2.784,2.746,2.771,235368.89,2026-03-16 20:59
2026-03-16 21:00,2.773,2.797,2.756,2.796,237662.73,2026-03-16 21:59
2026-03-16 22:00,2.796,2.805,2.768,2.772,300446.63,2026-03-16 22:59
2026-03-16 23:00,2.772,2.781,2.728,2.741,198213.9,2026-03-16 23:59
