Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,2.158,2.18,2.138,2.18,275601.8,2026-02-19 16:00
2026-02-19 16:00,2.179,2.194,2.157,2.167,324784.98,2026-02-19 20:00
2026-02-19 20:00,2.166,2.187,2.139,2.176,368962.84,2026-02-20 00:00
2026-02-20 00:00,2.176,2.187,2.142,2.145,307524.68,2026-02-20 04:00
2026-02-20 04:00,2.145,2.203,2.121,2.17,1054650.98,2026-02-20 08:00
2026-02-20 08:00,2.171,2.19,2.129,2.181,806248.45,2026-02-20 12:00
2026-02-20 12:00,2.181,2.211,2.178,2.185,570699.48,2026-02-20 16:00
2026-02-20 16:00,2.186,2.194,2.152,2.163,454038.63,2026-02-20 20:00
2026-02-20 20:00,2.163,2.2,2.161,2.173,238421.72,2026-02-21 00:00
2026-02-21 00:00,2.174,2.275,2.169,2.246,1176254.46,2026-02-21 04:00
2026-02-21 04:00,2.247,2.283,2.237,2.277,779719.91,2026-02-21 08:00
2026-02-21 08:00,2.277,2.283,2.221,2.226,615028.29,2026-02-21 12:00
2026-02-21 12:00,2.225,2.227,2.192,2.199,320325.67,2026-02-21 16:00
2026-02-21 16:00,2.199,2.2,2.148,2.161,641582.86,2026-02-21 20:00
2026-02-21 20:00,2.16,2.218,2.157,2.212,290211.66,2026-02-22 00:00
2026-02-22 00:00,2.213,2.218,2.161,2.164,478493.86,2026-02-22 04:00
2026-02-22 04:00,2.163,2.166,2.096,2.12,1093421.81,2026-02-22 08:00
2026-02-22 08:00,2.12,2.131,2.102,2.125,258098.21,2026-02-22 12:00
2026-02-22 12:00,2.124,2.164,2.12,2.155,235110.85,2026-02-22 16:00
2026-02-22 16:00,2.156,2.157,2.027,2.056,1791581.17,2026-02-22 20:00
2026-02-22 20:00,2.057,2.086,2.032,2.074,490931.78,2026-02-23 00:00
2026-02-23 00:00,2.073,2.103,2.058,2.087,499975.1,2026-02-23 04:00
2026-02-23 04:00,2.087,2.126,2.052,2.059,497427.18,2026-02-23 08:00
2026-02-23 08:00,2.058,2.072,2.014,2.043,493351.36,2026-02-23 12:00
2026-02-23 12:00,2.042,2.101,2.027,2.087,438384.61,2026-02-23 16:00
2026-02-23 16:00,2.087,2.112,2.04,2.051,655046.72,2026-02-23 20:00
2026-02-23 20:00,2.052,2.057,2.015,2.03,437085.52,2026-02-24 00:00
2026-02-24 00:00,2.031,2.069,2.022,2.063,523014.01,2026-02-24 04:00
2026-02-24 04:00,2.064,2.111,2.044,2.106,585830.99,2026-02-24 08:00
2026-02-24 08:00,2.106,2.138,2.104,2.128,577089.42,2026-02-24 12:00
2026-02-24 12:00,2.128,2.139,2.107,2.117,293315.96,2026-02-24 16:00
2026-02-24 16:00,2.118,2.246,2.104,2.173,1084234.28,2026-02-24 20:00
2026-02-24 20:00,2.172,2.193,2.157,2.188,627986.41,2026-02-25 00:00
2026-02-25 00:00,2.188,2.208,2.173,2.182,448778.83,2026-02-25 04:00
2026-02-25 04:00,2.181,2.314,2.178,2.303,1058273.61,2026-02-25 08:00
2026-02-25 08:00,2.303,2.458,2.301,2.448,2157442.9,2026-02-25 12:00
2026-02-25 12:00,2.448,2.591,2.417,2.432,2226997.19,2026-02-25 16:00
2026-02-25 16:00,2.432,2.457,2.394,2.409,704588.92,2026-02-25 20:00
2026-02-25 20:00,2.409,2.455,2.374,2.387,641677.9,2026-02-26 00:00
2026-02-26 00:00,2.387,2.433,2.373,2.403,461393.78,2026-02-26 04:00
2026-02-26 04:00,2.402,2.454,2.379,2.424,903114.69,2026-02-26 08:00
2026-02-26 08:00,2.423,2.423,2.32,2.396,814877.79,2026-02-26 12:00
2026-02-26 12:00,2.395,2.448,2.365,2.43,462081.44,2026-02-26 16:00
2026-02-26 16:00,2.43,2.53,2.408,2.527,931298.82,2026-02-26 20:00
2026-02-26 20:00,2.528,2.737,2.528,2.613,2701995.04,2026-02-27 00:00
2026-02-27 00:00,2.614,2.631,2.504,2.517,1223440.58,2026-02-27 04:00
2026-02-27 04:00,2.517,2.527,2.445,2.484,917497.68,2026-02-27 08:00
2026-02-27 08:00,2.484,2.489,2.425,2.456,646004.99,2026-02-27 12:00
2026-02-27 12:00,2.456,2.572,2.455,2.491,1528535.47,2026-02-27 16:00
2026-02-27 16:00,2.491,2.506,2.44,2.442,733127.37,2026-02-27 20:00
2026-02-27 20:00,2.441,2.455,2.314,2.351,1283585.49,2026-02-28 00:00
2026-02-28 00:00,2.351,2.351,2.274,2.278,983225.66,2026-02-28 04:00
2026-02-28 04:00,2.279,2.37,2.279,2.353,675594.47,2026-02-28 08:00
2026-02-28 08:00,2.353,2.437,2.32,2.405,705161.14,2026-02-28 12:00
2026-02-28 12:00,2.405,2.491,2.396,2.442,765329.29,2026-02-28 16:00
2026-02-28 16:00,2.442,2.547,2.43,2.489,967991.46,2026-02-28 20:00
2026-02-28 20:00,2.489,2.501,2.434,2.45,556193.08,2026-03-01 00:00
2026-03-01 00:00,2.451,2.453,2.371,2.412,756150.75,2026-03-01 04:00
2026-03-01 04:00,2.411,2.467,2.378,2.426,645244.35,2026-03-01 08:00
2026-03-01 08:00,2.427,2.446,2.375,2.377,627262.36,2026-03-01 12:00
2026-03-01 12:00,2.376,2.404,2.34,2.368,575648.64,2026-03-01 16:00
2026-03-01 16:00,2.369,2.432,2.364,2.426,496020.19,2026-03-01 20:00
2026-03-01 20:00,2.427,2.428,2.341,2.362,471511.54,2026-03-02 00:00
2026-03-02 00:00,2.362,2.389,2.341,2.376,441594.82,2026-03-02 04:00
2026-03-02 04:00,2.377,2.534,2.372,2.525,957382.4,2026-03-02 08:00
2026-03-02 08:00,2.525,2.55,2.411,2.43,941517.7,2026-03-02 12:00
2026-03-02 12:00,2.429,2.443,2.38,2.397,477513.71,2026-03-02 16:00
2026-03-02 16:00,2.397,2.406,2.357,2.404,552151.78,2026-03-02 20:00
2026-03-02 20:00,2.404,2.422,2.375,2.421,448934.44,2026-03-03 00:00
2026-03-03 00:00,2.421,2.423,2.358,2.387,542228.67,2026-03-03 04:00
2026-03-03 04:00,2.386,2.421,2.34,2.39,492535.59,2026-03-03 08:00
2026-03-03 08:00,2.39,2.476,2.375,2.449,690332.57,2026-03-03 12:00
2026-03-03 12:00,2.448,2.468,2.42,2.464,485919.3,2026-03-03 16:00
2026-03-03 16:00,2.463,2.582,2.457,2.535,1342008.47,2026-03-03 20:00
2026-03-03 20:00,2.535,2.554,2.475,2.539,686439.97,2026-03-04 00:00
2026-03-04 00:00,2.538,2.641,2.529,2.546,1229556.79,2026-03-04 04:00
2026-03-04 04:00,2.545,2.582,2.519,2.569,1112763.27,2026-03-04 08:00
2026-03-04 08:00,2.569,2.575,2.494,2.539,810666.01,2026-03-04 12:00
2026-03-04 12:00,2.539,2.553,2.501,2.51,440708.74,2026-03-04 16:00
2026-03-04 16:00,2.51,2.551,2.497,2.54,484388.4,2026-03-04 20:00
2026-03-04 20:00,2.539,2.551,2.514,2.54,372757.75,2026-03-05 00:00
2026-03-05 00:00,2.54,2.587,2.522,2.559,492303.67,2026-03-05 04:00
2026-03-05 04:00,2.559,2.581,2.522,2.534,570467.79,2026-03-05 08:00
2026-03-05 08:00,2.534,2.551,2.468,2.521,581205.54,2026-03-05 12:00
2026-03-05 12:00,2.522,2.558,2.508,2.512,210546.05,2026-03-05 16:00
2026-03-05 16:00,2.511,2.567,2.51,2.565,304378.56,2026-03-05 20:00
2026-03-05 20:00,2.566,2.6,2.523,2.58,500295.36,2026-03-06 00:00
2026-03-06 00:00,2.58,2.643,2.542,2.569,1003619.54,2026-03-06 04:00
2026-03-06 04:00,2.568,2.583,2.459,2.472,979747.19,2026-03-06 08:00
2026-03-06 08:00,2.472,2.488,2.435,2.458,433633.99,2026-03-06 12:00
2026-03-06 12:00,2.457,2.511,2.455,2.486,255803.19,2026-03-06 16:00
2026-03-06 16:00,2.487,2.501,2.431,2.441,302814.31,2026-03-06 20:00
2026-03-06 20:00,2.44,2.468,2.43,2.465,158600.63,2026-03-07 00:00
2026-03-07 00:00,2.464,2.5,2.45,2.478,280228.25,2026-03-07 04:00
2026-03-07 04:00,2.478,2.494,2.453,2.47,380449.6,2026-03-07 08:00
2026-03-07 08:00,2.47,2.491,2.442,2.45,319960.18,2026-03-07 12:00
2026-03-07 12:00,2.45,2.476,2.439,2.448,234353.79,2026-03-07 16:00
2026-03-07 16:00,2.448,2.454,2.384,2.397,404540.21,2026-03-07 20:00
2026-03-07 20:00,2.397,2.41,2.383,2.402,234748.56,2026-03-08 00:00
2026-03-08 04:00,2.401,2.473,2.393,2.472,323093.65,2026-03-08 04:00
2026-03-08 08:00,2.472,2.499,2.425,2.437,432730.96,2026-03-08 08:00
2026-03-08 12:00,2.438,2.466,2.415,2.455,350404.64,2026-03-08 12:00
2026-03-08 16:00,2.455,2.474,2.395,2.424,380255.99,2026-03-08 16:00
2026-03-08 20:00,2.424,2.5,2.416,2.458,567461.85,2026-03-08 20:00
2026-03-09 00:00,2.458,2.527,2.453,2.495,470039.53,2026-03-09 00:00
2026-03-09 04:00,2.494,2.509,2.465,2.489,468859.58,2026-03-09 04:00
2026-03-09 08:00,2.489,2.517,2.477,2.488,412656.77,2026-03-09 08:00
2026-03-09 12:00,2.488,2.529,2.468,2.49,287650.59,2026-03-09 12:00
2026-03-09 16:00,2.49,2.505,2.449,2.454,254892.6,2026-03-09 16:00
2026-03-09 20:00,2.453,2.523,2.444,2.489,392936.51,2026-03-09 20:00
2026-03-10 00:00,2.49,2.522,2.471,2.507,280513.94,2026-03-10 00:00
2026-03-10 04:00,2.507,2.537,2.498,2.513,392280.21,2026-03-10 04:00
2026-03-10 08:00,2.513,2.55,2.47,2.52,561476.94,2026-03-10 08:00
2026-03-10 12:00,2.52,2.53,2.429,2.445,641354.44,2026-03-10 12:00
2026-03-10 16:00,2.445,2.457,2.377,2.385,421991.76,2026-03-10 16:00
2026-03-10 20:00,2.385,2.414,2.368,2.392,514770.23,2026-03-10 20:00
2026-03-11 00:00,2.392,2.737,2.354,2.628,7691174.88,2026-03-11 00:00
2026-03-11 04:00,2.628,2.949,2.594,2.703,6468419.93,2026-03-11 04:00
2026-03-11 08:00,2.702,2.805,2.683,2.727,2245324.65,2026-03-11 08:00
2026-03-11 12:00,2.727,2.73,2.588,2.664,1417088.55,2026-03-11 12:00
2026-03-11 16:00,2.665,2.694,2.629,2.683,653115.16,2026-03-11 16:00
2026-03-11 20:00,2.683,2.684,2.554,2.575,1263599.98,2026-03-11 20:00
2026-03-12 00:00,2.575,2.599,2.533,2.582,810915.11,2026-03-12 00:00
2026-03-12 04:00,2.582,2.613,2.552,2.604,755593.94,2026-03-12 04:00
2026-03-12 08:00,2.604,2.692,2.596,2.654,1383631.83,2026-03-12 08:00
2026-03-12 12:00,2.653,2.682,2.609,2.638,734804.13,2026-03-12 12:00
2026-03-12 16:00,2.636,2.724,2.632,2.714,775439.34,2026-03-12 16:00
2026-03-12 20:00,2.714,2.74,2.669,2.696,1018833.92,2026-03-12 20:00
2026-03-13 00:00,2.696,2.697,2.636,2.638,494749.17,2026-03-13 00:00
2026-03-13 04:00,2.637,2.664,2.612,2.627,644742.97,2026-03-13 04:00
2026-03-13 08:00,2.627,2.688,2.626,2.667,888952.84,2026-03-13 08:00
2026-03-13 12:00,2.666,2.672,2.611,2.616,495924.54,2026-03-13 12:00
2026-03-13 16:00,2.617,2.636,2.596,2.609,412822.21,2026-03-13 16:00
2026-03-13 20:00,2.608,2.651,2.574,2.636,613329.7,2026-03-13 20:00
2026-03-14 00:00,2.637,2.69,2.615,2.619,600072.97,2026-03-14 00:00
2026-03-14 04:00,2.619,2.648,2.585,2.627,415321.74,2026-03-14 04:00
2026-03-14 08:00,2.626,2.654,2.597,2.643,331583.8,2026-03-14 08:00
2026-03-14 12:00,2.64,2.675,2.634,2.653,478450.68,2026-03-14 12:00
2026-03-14 16:00,2.653,2.722,2.637,2.707,622131.3,2026-03-14 16:00
2026-03-14 20:00,2.707,2.717,2.657,2.67,752189.5,2026-03-14 20:00
2026-03-15 00:00,2.671,2.709,2.653,2.699,511601.76,2026-03-15 00:00
2026-03-15 04:00,2.699,2.701,2.652,2.674,448921.04,2026-03-15 04:00
2026-03-15 08:00,2.674,2.694,2.644,2.658,533601.6,2026-03-15 08:00
2026-03-15 12:00,2.658,2.693,2.646,2.688,245195.89,2026-03-15 12:00
2026-03-15 16:00,2.688,2.693,2.656,2.672,421619.48,2026-03-15 16:00
2026-03-15 20:00,2.672,2.706,2.627,2.682,733498.27,2026-03-15 20:00
2026-03-16 00:00,2.681,2.732,2.678,2.708,816914.14,2026-03-16 00:00
2026-03-16 04:00,2.708,2.733,2.672,2.694,634309.11,2026-03-16 04:00
2026-03-16 08:00,2.695,2.736,2.657,2.659,1078961.28,2026-03-16 08:00
2026-03-16 12:00,2.66,2.763,2.658,2.748,944015.56,2026-03-16 12:00
2026-03-16 16:00,2.748,2.795,2.727,2.773,790002.09,2026-03-16 16:00
2026-03-16 20:00,2.773,2.805,2.728,2.741,971692.15,2026-03-16 20:00
2026-03-17 00:00,2.74,2.748,2.68,2.71,596647.62,2026-03-17 00:00
2026-03-17 04:00,2.71,2.735,2.694,2.717,583305.56,2026-03-17 04:00
2026-03-17 08:00,2.717,2.728,2.682,2.716,562333.33,2026-03-17 08:00
2026-03-17 12:00,2.716,2.735,2.692,2.695,289558.34,2026-03-17 12:00
2026-03-17 16:00,2.696,2.721,2.682,2.685,219338.68,2026-03-17 16:00
2026-03-17 20:00,2.686,2.709,2.658,2.691,540708.17,2026-03-17 20:00
2026-03-18 00:00,2.69,2.73,2.68,2.711,287052.77,2026-03-18 00:00
2026-03-18 04:00,2.71,2.726,2.629,2.636,511492.22,2026-03-18 04:00
2026-03-18 08:00,2.635,2.635,2.553,2.573,1328020.29,2026-03-18 08:00
2026-03-18 12:00,2.573,2.598,2.554,2.563,306867.69,2026-03-18 12:00
2026-03-18 16:00,2.563,2.582,2.551,2.567,236243.92,2026-03-18 16:00
2026-03-18 20:00,2.567,2.582,2.543,2.56,267149.25,2026-03-18 20:00
2026-03-19 00:00,2.559,2.565,2.519,2.524,349153.27,2026-03-19 00:00
2026-03-19 04:00,2.524,2.546,2.509,2.528,266377.17,2026-03-19 04:00
2026-03-19 08:00,2.527,2.529,2.465,2.483,615371.59,2026-03-19 08:00
2026-03-19 12:00,2.482,2.511,2.455,2.494,388106.58,2026-03-19 12:00
2026-03-19 16:00,2.494,2.497,2.474,2.494,241908.5,2026-03-19 16:00
2026-03-19 20:00,2.494,2.553,2.492,2.55,423763.85,2026-03-19 20:00
2026-03-20 00:00,2.55,2.559,2.522,2.524,271267.19,2026-03-20 00:00
2026-03-20 04:00,2.523,2.557,2.513,2.534,339596.98,2026-03-20 04:00
2026-03-20 08:00,2.535,2.542,2.49,2.504,405741.8,2026-03-20 08:00
2026-03-20 12:00,2.505,2.527,2.475,2.496,333266.05,2026-03-20 12:00
2026-03-20 16:00,2.495,2.524,2.465,2.505,381508.15,2026-03-20 16:00
2026-03-20 20:00,2.506,2.525,2.5,2.509,144181.46,2026-03-20 20:00
2026-03-21 00:00,2.509,2.519,2.503,2.51,127227.85,2026-03-21 00:00
2026-03-21 04:00,2.509,2.531,2.496,2.508,185977.12,2026-03-21 04:00
2026-03-21 08:00,2.507,2.534,2.5,2.533,227427.22,2026-03-21 08:00
