Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 13:15,8.91,9.0,8.9,8.99,43582.78,2026-03-19 13:29
2026-03-19 13:30,8.99,9.0,8.95,8.96,24810.61,2026-03-19 13:44
2026-03-19 13:45,8.96,9.02,8.96,9.0,18796.09,2026-03-19 13:59
2026-03-19 14:00,8.99,9.0,8.97,8.99,22370.6,2026-03-19 14:14
2026-03-19 14:15,8.99,8.99,8.96,8.97,13629.16,2026-03-19 14:29
2026-03-19 14:30,8.97,8.98,8.96,8.97,35547.63,2026-03-19 14:44
2026-03-19 14:45,8.98,9.0,8.96,9.0,17636.29,2026-03-19 14:59
2026-03-19 15:00,9.0,9.1,9.0,9.05,84985.67,2026-03-19 15:14
2026-03-19 15:15,9.05,9.1,9.02,9.04,112376.12,2026-03-19 15:29
2026-03-19 15:30,9.04,9.06,9.01,9.05,40901.77,2026-03-19 15:44
2026-03-19 15:45,9.05,9.06,9.02,9.03,24674.91,2026-03-19 15:59
2026-03-19 16:00,9.03,9.05,9.02,9.03,10040.97,2026-03-19 16:14
2026-03-19 16:15,9.04,9.06,9.04,9.04,15785.89,2026-03-19 16:29
2026-03-19 16:30,9.05,9.08,9.04,9.06,18297.42,2026-03-19 16:44
2026-03-19 16:45,9.06,9.07,9.04,9.05,18553.27,2026-03-19 16:59
2026-03-19 17:00,9.06,9.09,9.05,9.07,23808.27,2026-03-19 17:14
2026-03-19 17:15,9.07,9.09,9.05,9.09,42888.89,2026-03-19 17:29
2026-03-19 17:30,9.09,9.1,9.07,9.09,63770.96,2026-03-19 17:44
2026-03-19 17:45,9.09,9.1,9.08,9.08,47449.88,2026-03-19 17:59
2026-03-19 18:00,9.08,9.09,9.06,9.07,62740.99,2026-03-19 18:14
2026-03-19 18:15,9.07,9.08,9.06,9.07,6620.57,2026-03-19 18:29
2026-03-19 18:30,9.08,9.08,9.01,9.02,67894.16,2026-03-19 18:44
2026-03-19 18:45,9.03,9.05,9.02,9.05,21731.44,2026-03-19 18:59
2026-03-19 19:00,9.05,9.08,9.05,9.06,15535.17,2026-03-19 19:14
2026-03-19 19:15,9.06,9.06,9.03,9.05,15101.34,2026-03-19 19:29
2026-03-19 19:30,9.06,9.07,9.01,9.03,53040.47,2026-03-19 19:44
2026-03-19 19:45,9.02,9.06,9.02,9.04,28805.12,2026-03-19 19:59
2026-03-19 20:00,9.05,9.08,9.04,9.08,33405.83,2026-03-19 20:14
2026-03-19 20:15,9.08,9.1,9.05,9.07,40055.0,2026-03-19 20:29
2026-03-19 20:30,9.07,9.08,9.06,9.07,32134.59,2026-03-19 20:44
2026-03-19 20:45,9.07,9.09,9.07,9.08,26178.88,2026-03-19 20:59
2026-03-19 21:00,9.08,9.13,9.08,9.12,53866.99,2026-03-19 21:14
2026-03-19 21:15,9.12,9.13,9.1,9.11,41627.04,2026-03-19 21:29
2026-03-19 21:30,9.11,9.16,9.11,9.15,19625.05,2026-03-19 21:44
2026-03-19 21:45,9.15,9.16,9.12,9.12,30209.7,2026-03-19 21:59
2026-03-19 22:00,9.13,9.13,9.09,9.09,25267.65,2026-03-19 22:14
2026-03-19 22:15,9.09,9.09,9.06,9.07,17809.9,2026-03-19 22:29
2026-03-19 22:30,9.07,9.1,9.04,9.09,28438.28,2026-03-19 22:44
2026-03-19 22:45,9.09,9.11,9.07,9.09,45803.26,2026-03-19 22:59
2026-03-19 23:00,9.09,9.1,9.08,9.09,8968.97,2026-03-19 23:14
2026-03-19 23:15,9.09,9.12,9.09,9.12,26384.64,2026-03-19 23:29
2026-03-19 23:30,9.13,9.14,9.1,9.1,17852.4,2026-03-19 23:44
2026-03-19 23:45,9.1,9.13,9.1,9.12,23694.21,2026-03-19 23:59
2026-03-20 00:00,9.12,9.15,9.11,9.14,26870.83,2026-03-20 00:14
2026-03-20 00:15,9.15,9.15,9.12,9.13,17737.51,2026-03-20 00:29
2026-03-20 00:30,9.14,9.14,9.07,9.09,21106.26,2026-03-20 00:44
2026-03-20 00:45,9.08,9.14,9.08,9.13,25455.2,2026-03-20 00:59
2026-03-20 01:00,9.12,9.15,9.11,9.15,40129.36,2026-03-20 01:14
2026-03-20 01:15,9.15,9.16,9.11,9.12,29375.34,2026-03-20 01:29
2026-03-20 01:30,9.11,9.14,9.09,9.13,21485.08,2026-03-20 01:44
2026-03-20 01:45,9.14,9.14,9.11,9.12,10158.1,2026-03-20 01:59
2026-03-20 02:00,9.11,9.12,9.09,9.11,29333.78,2026-03-20 02:14
2026-03-20 02:15,9.11,9.11,9.09,9.1,20897.13,2026-03-20 02:29
2026-03-20 02:30,9.1,9.11,9.07,9.08,25034.48,2026-03-20 02:44
2026-03-20 02:45,9.09,9.1,9.07,9.07,27257.88,2026-03-20 02:59
2026-03-20 03:00,9.08,9.08,9.02,9.04,41730.56,2026-03-20 03:14
2026-03-20 03:15,9.03,9.09,9.03,9.07,27633.47,2026-03-20 03:29
2026-03-20 03:30,9.07,9.13,9.07,9.13,32391.13,2026-03-20 03:44
2026-03-20 03:45,9.13,9.14,9.11,9.12,15638.43,2026-03-20 03:59
2026-03-20 04:00,9.12,9.21,9.1,9.18,81601.16,2026-03-20 04:14
2026-03-20 04:15,9.19,9.19,9.15,9.15,23975.65,2026-03-20 04:29
2026-03-20 04:30,9.16,9.16,9.13,9.15,15693.2,2026-03-20 04:44
2026-03-20 04:45,9.15,9.16,9.14,9.15,7850.4,2026-03-20 04:59
2026-03-20 05:00,9.15,9.15,9.11,9.11,27341.82,2026-03-20 05:14
2026-03-20 05:15,9.11,9.11,9.06,9.09,23197.18,2026-03-20 05:29
2026-03-20 05:30,9.08,9.12,9.08,9.11,24930.85,2026-03-20 05:44
2026-03-20 05:45,9.11,9.11,9.08,9.1,20528.14,2026-03-20 05:59
2026-03-20 06:00,9.1,9.1,9.06,9.08,22834.83,2026-03-20 06:14
2026-03-20 06:15,9.08,9.09,9.06,9.08,10257.13,2026-03-20 06:29
2026-03-20 06:30,9.07,9.13,9.06,9.11,20370.73,2026-03-20 06:44
2026-03-20 06:45,9.11,9.12,9.1,9.11,32268.58,2026-03-20 06:59
2026-03-20 07:00,9.1,9.16,9.1,9.16,26547.62,2026-03-20 07:14
2026-03-20 07:15,9.15,9.15,9.1,9.11,12788.16,2026-03-20 07:29
2026-03-20 07:30,9.11,9.11,9.05,9.08,17400.48,2026-03-20 07:44
2026-03-20 07:45,9.08,9.09,9.06,9.08,11616.75,2026-03-20 07:59
2026-03-20 08:00,9.08,9.13,9.08,9.1,32000.01,2026-03-20 08:14
2026-03-20 08:15,9.11,9.11,9.08,9.09,16523.37,2026-03-20 08:29
2026-03-20 08:30,9.09,9.09,9.06,9.06,23355.51,2026-03-20 08:44
2026-03-20 08:45,9.07,9.08,9.05,9.08,22247.76,2026-03-20 08:59
2026-03-20 09:00,9.08,9.1,9.06,9.07,37149.74,2026-03-20 09:14
2026-03-20 09:15,9.08,9.12,9.07,9.1,43527.77,2026-03-20 09:29
2026-03-20 09:30,9.09,9.1,9.02,9.08,101050.78,2026-03-20 09:44
2026-03-20 09:45,9.07,9.08,9.0,9.01,61070.7,2026-03-20 09:59
2026-03-20 10:00,9.01,9.07,8.99,9.02,76670.45,2026-03-20 10:14
2026-03-20 10:15,9.02,9.05,8.99,9.03,92831.3,2026-03-20 10:29
2026-03-20 10:30,9.04,9.09,9.04,9.05,61094.99,2026-03-20 10:44
2026-03-20 10:45,9.05,9.06,8.99,9.0,34538.92,2026-03-20 10:59
2026-03-20 11:00,9.0,9.03,8.97,9.01,62209.68,2026-03-20 11:14
2026-03-20 11:15,9.01,9.04,8.97,9.01,48873.33,2026-03-20 11:29
2026-03-20 11:30,9.0,9.03,8.99,9.02,19802.07,2026-03-20 11:44
2026-03-20 11:45,9.01,9.04,9.01,9.03,16854.75,2026-03-20 11:59
2026-03-20 12:00,9.03,9.05,9.01,9.04,50870.26,2026-03-20 12:14
2026-03-20 12:15,9.03,9.07,9.02,9.05,60309.9,2026-03-20 12:29
2026-03-20 12:30,9.05,9.05,9.0,9.02,42819.02,2026-03-20 12:44
2026-03-20 12:45,9.02,9.05,9.0,9.03,55047.61,2026-03-20 12:59
2026-03-20 13:00,9.03,9.04,9.0,9.02,24025.81,2026-03-20 13:14
2026-03-20 13:15,9.02,9.02,9.0,9.01,14399.2,2026-03-20 13:29
2026-03-20 13:30,9.0,9.01,8.96,8.99,26506.4,2026-03-20 13:44
2026-03-20 13:45,8.99,9.05,8.98,9.04,6335.84,2026-03-20 13:59
2026-03-20 14:00,9.04,9.05,9.02,9.03,19577.55,2026-03-20 14:14
2026-03-20 14:15,9.03,9.03,8.99,8.99,15996.48,2026-03-20 14:29
2026-03-20 14:30,8.99,9.0,8.96,8.99,24242.58,2026-03-20 14:44
2026-03-20 14:45,8.98,9.01,8.98,9.0,21280.33,2026-03-20 14:59
2026-03-20 15:00,9.0,9.02,8.99,9.01,41449.47,2026-03-20 15:14
2026-03-20 15:15,9.01,9.02,8.98,9.0,34593.76,2026-03-20 15:29
2026-03-20 15:30,9.0,9.02,8.96,9.02,24417.77,2026-03-20 15:44
2026-03-20 15:45,9.02,9.06,9.01,9.04,29609.46,2026-03-20 15:59
2026-03-20 16:00,9.04,9.05,9.03,9.04,20278.0,2026-03-20 16:14
2026-03-20 16:15,9.04,9.04,9.0,9.01,22388.47,2026-03-20 16:29
2026-03-20 16:30,9.01,9.01,8.98,9.01,22432.28,2026-03-20 16:44
2026-03-20 16:45,9.0,9.04,9.0,9.03,15463.06,2026-03-20 16:59
2026-03-20 17:00,9.03,9.04,9.01,9.03,20340.83,2026-03-20 17:14
2026-03-20 17:15,9.03,9.11,9.03,9.09,44798.87,2026-03-20 17:29
2026-03-20 17:30,9.09,9.12,9.08,9.09,18442.44,2026-03-20 17:44
2026-03-20 17:45,9.09,9.11,9.08,9.1,15057.18,2026-03-20 17:59
2026-03-20 18:00,9.11,9.17,9.11,9.13,39150.29,2026-03-20 18:14
2026-03-20 18:15,9.14,9.15,9.12,9.13,27407.02,2026-03-20 18:29
2026-03-20 18:30,9.13,9.14,9.11,9.13,17800.14,2026-03-20 18:44
2026-03-20 18:45,9.12,9.15,9.12,9.13,26172.64,2026-03-20 18:59
2026-03-20 19:00,9.13,9.14,9.1,9.1,9373.76,2026-03-20 19:14
2026-03-20 19:15,9.1,9.12,9.09,9.11,5472.7,2026-03-20 19:29
2026-03-20 19:30,9.11,9.12,9.1,9.12,9991.31,2026-03-20 19:44
2026-03-20 19:45,9.11,9.12,9.1,9.12,7088.71,2026-03-20 19:59
2026-03-20 20:00,9.11,9.13,9.11,9.13,9921.15,2026-03-20 20:14
2026-03-20 20:15,9.12,9.16,9.12,9.15,34717.01,2026-03-20 20:29
2026-03-20 20:30,9.15,9.15,9.12,9.12,38798.55,2026-03-20 20:44
2026-03-20 20:45,9.12,9.14,9.11,9.13,9164.49,2026-03-20 20:59
2026-03-20 21:00,9.14,9.17,9.13,9.16,32900.12,2026-03-20 21:14
2026-03-20 21:15,9.16,9.17,9.14,9.16,7900.92,2026-03-20 21:29
2026-03-20 21:30,9.16,9.16,9.13,9.13,18968.55,2026-03-20 21:44
2026-03-20 21:45,9.13,9.15,9.12,9.12,10811.54,2026-03-20 21:59
2026-03-20 22:00,9.13,9.13,9.1,9.12,13326.43,2026-03-20 22:14
2026-03-20 22:15,9.12,9.15,9.12,9.14,3500.41,2026-03-20 22:29
2026-03-20 22:30,9.15,9.15,9.11,9.14,15840.3,2026-03-20 22:44
2026-03-20 22:45,9.14,9.17,9.14,9.16,15720.6,2026-03-20 22:59
2026-03-20 23:00,9.16,9.17,9.14,9.16,22016.36,2026-03-20 23:14
2026-03-20 23:15,9.15,9.16,9.13,9.14,39077.03,2026-03-20 23:29
2026-03-20 23:30,9.14,9.14,9.12,9.13,9028.25,2026-03-20 23:44
2026-03-20 23:45,9.12,9.14,9.12,9.13,3700.68,2026-03-20 23:59
2026-03-21 00:00,9.13,9.15,9.13,9.14,11634.16,2026-03-21 00:14
2026-03-21 00:15,9.14,9.15,9.13,9.14,18609.76,2026-03-21 00:29
2026-03-21 00:30,9.13,9.13,9.1,9.11,17998.82,2026-03-21 00:44
2026-03-21 00:45,9.11,9.11,9.1,9.1,1897.62,2026-03-21 00:59
2026-03-21 01:00,9.1,9.13,9.1,9.12,18101.7,2026-03-21 01:14
2026-03-21 01:15,9.12,9.14,9.12,9.14,9396.49,2026-03-21 01:29
2026-03-21 01:30,9.14,9.15,9.12,9.13,9097.05,2026-03-21 01:44
2026-03-21 01:45,9.13,9.13,9.11,9.12,817.93,2026-03-21 01:59
2026-03-21 02:00,9.11,9.12,9.11,9.12,5624.47,2026-03-21 02:14
2026-03-21 02:15,9.11,9.13,9.11,9.12,12851.4,2026-03-21 02:29
2026-03-21 02:30,9.12,9.14,9.12,9.13,13859.89,2026-03-21 02:44
2026-03-21 02:45,9.13,9.13,9.12,9.13,4473.44,2026-03-21 02:59
2026-03-21 03:00,9.13,9.14,9.12,9.13,10022.33,2026-03-21 03:14
2026-03-21 03:15,9.13,9.14,9.12,9.14,12446.7,2026-03-21 03:29
2026-03-21 03:30,9.14,9.16,9.12,9.13,69224.44,2026-03-21 03:44
2026-03-21 03:45,9.14,9.15,9.12,9.13,22169.29,2026-03-21 03:59
2026-03-21 04:00,9.12,9.14,9.12,9.13,7590.93,2026-03-21 04:14
2026-03-21 04:15,9.13,9.13,9.1,9.12,27081.08,2026-03-21 04:29
2026-03-21 04:30,9.12,9.13,9.11,9.12,13229.29,2026-03-21 04:44
2026-03-21 04:45,9.12,9.14,9.12,9.14,2447.12,2026-03-21 04:59
2026-03-21 05:00,9.14,9.17,9.13,9.15,14497.74,2026-03-21 05:14
2026-03-21 05:15,9.15,9.16,9.13,9.14,10499.46,2026-03-21 05:29
2026-03-21 05:30,9.13,9.14,9.13,9.14,8472.87,2026-03-21 05:44
2026-03-21 05:45,9.14,9.15,9.13,9.15,2445.7,2026-03-21 05:59
2026-03-21 06:00,9.14,9.15,9.12,9.13,15886.08,2026-03-21 06:14
2026-03-21 06:15,9.13,9.13,9.1,9.11,5978.11,2026-03-21 06:29
2026-03-21 06:30,9.1,9.12,9.1,9.1,5246.59,2026-03-21 06:44
2026-03-21 06:45,9.11,9.11,9.09,9.1,6027.92,2026-03-21 06:59
2026-03-21 07:00,9.1,9.11,9.09,9.09,4222.02,2026-03-21 07:14
2026-03-21 07:15,9.1,9.11,9.09,9.11,2922.35,2026-03-21 07:29
2026-03-21 07:30,9.1,9.11,9.09,9.11,3094.55,2026-03-21 07:44
2026-03-21 07:45,9.1,9.11,9.1,9.11,617.93,2026-03-21 07:59
2026-03-21 08:00,9.11,9.12,9.09,9.1,4838.68,2026-03-21 08:14
2026-03-21 08:15,9.1,9.12,9.1,9.12,743.76,2026-03-21 08:29
2026-03-21 08:30,9.12,9.12,9.11,9.11,11535.06,2026-03-21 08:44
2026-03-21 08:45,9.11,9.11,9.1,9.11,3031.46,2026-03-21 08:59
2026-03-21 09:00,9.11,9.11,9.1,9.1,1527.43,2026-03-21 09:14
2026-03-21 09:15,9.1,9.11,9.09,9.1,11748.01,2026-03-21 09:29
2026-03-21 09:30,9.1,9.11,9.08,9.09,7617.89,2026-03-21 09:44
2026-03-21 09:45,9.09,9.1,9.08,9.09,2960.14,2026-03-21 09:59
2026-03-21 10:00,9.09,9.15,9.09,9.14,16984.09,2026-03-21 10:14
2026-03-21 10:15,9.13,9.14,9.11,9.12,13918.71,2026-03-21 10:29
2026-03-21 10:30,9.11,9.13,9.1,9.11,12475.8,2026-03-21 10:44
2026-03-21 10:45,9.11,9.11,9.06,9.07,11178.44,2026-03-21 10:59
2026-03-21 11:00,9.07,9.08,9.06,9.08,4298.41,2026-03-21 11:14
2026-03-21 11:15,9.08,9.08,9.05,9.08,14913.25,2026-03-21 11:29
2026-03-21 11:30,9.08,9.11,9.08,9.09,6249.87,2026-03-21 11:44
2026-03-21 11:45,9.09,9.11,9.09,9.11,9988.95,2026-03-21 11:59
2026-03-21 12:00,9.11,9.11,9.08,9.09,10885.93,2026-03-21 12:14
2026-03-21 12:15,9.1,9.1,9.07,9.07,21144.34,2026-03-21 12:29
2026-03-21 12:30,9.08,9.09,9.06,9.07,11497.95,2026-03-21 12:44
2026-03-21 12:45,9.08,9.08,9.06,9.07,3980.3,2026-03-21 12:59
