Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-09-23 00:00,21.52,21.97,20.98,21.6,4170756.29,2025-09-24 19:59
2025-09-24 00:00,21.61,21.66,19.82,20.14,6221553.31,2025-09-25 19:59
2025-09-25 00:00,20.15,21.24,19.93,21.07,3841681.96,2025-09-26 19:59
2025-09-26 00:00,21.07,21.15,20.73,20.91,986010.15,2025-09-27 19:59
2025-09-27 00:00,20.92,21.71,20.43,21.68,1599640.6,2025-09-28 19:59
2025-09-28 00:00,21.68,21.9,20.9,21.74,2497335.67,2025-09-29 19:59
2025-09-29 00:00,21.73,21.87,20.96,21.3,2883237.53,2025-09-30 19:59
2025-09-30 00:00,21.31,22.63,21.05,22.58,3207385.07,2025-10-01 19:59
2025-10-01 00:00,22.57,23.13,21.93,22.77,3766228.87,2025-10-02 19:59
2025-10-02 00:00,22.78,23.09,22.09,22.5,4104599.03,2025-10-03 19:59
2025-10-03 00:00,22.5,22.62,21.76,22.01,2081829.77,2025-10-04 19:59
2025-10-04 00:00,22.02,22.94,21.88,22.0,2618277.27,2025-10-05 19:59
2025-10-05 00:00,22.0,23.6,21.47,23.37,5609599.65,2025-10-06 19:59
2025-10-06 00:00,23.37,23.73,21.75,21.79,5844902.56,2025-10-07 19:59
2025-10-07 00:00,21.8,22.67,21.62,22.63,2790526.23,2025-10-08 19:59
2025-10-08 00:00,22.63,22.67,21.32,21.99,3321045.72,2025-10-09 19:59
2025-10-09 00:00,22.0,22.78,7.9,17.31,23919723.86,2025-10-10 19:59
2025-10-10 00:00,17.31,19.0,16.6,17.2,11458227.87,2025-10-11 19:59
2025-10-11 00:00,17.2,19.42,16.68,19.0,7320321.66,2025-10-12 19:59
2025-10-12 00:00,19.0,20.19,18.73,19.84,8049413.89,2025-10-13 19:59
2025-10-13 00:00,19.84,20.07,18.07,19.1,7462448.83,2025-10-14 19:59
2025-10-14 00:00,19.1,19.26,17.73,18.06,4509983.09,2025-10-15 19:59
2025-10-15 00:00,18.05,18.63,17.1,17.43,5003348.51,2025-10-16 19:59
2025-10-16 00:00,17.42,17.69,15.69,16.61,7835846.23,2025-10-17 19:59
2025-10-17 00:00,16.61,17.01,16.57,16.82,1907438.23,2025-10-18 19:59
2025-10-18 00:00,16.81,17.66,16.53,17.29,3899283.36,2025-10-19 19:59
2025-10-19 00:00,17.29,19.19,16.93,18.66,7350769.65,2025-10-20 19:59
2025-10-20 00:00,18.66,18.97,17.53,17.61,7395919.32,2025-10-21 19:59
2025-10-21 00:00,17.6,17.84,16.71,17.2,4748622.1,2025-10-22 19:59
2025-10-22 00:00,17.2,17.79,17.09,17.44,3347662.36,2025-10-23 19:59
2025-10-23 00:00,17.44,18.1,17.29,17.89,3108106.38,2025-10-24 19:59
2025-10-24 00:00,17.89,18.25,17.79,18.02,1335088.7,2025-10-25 19:59
2025-10-25 00:00,18.02,18.69,17.69,18.55,3365251.69,2025-10-26 19:59
2025-10-26 00:00,18.54,19.06,18.08,18.22,3943961.89,2025-10-27 19:59
2025-10-27 00:00,18.21,18.83,17.43,17.83,4096933.57,2025-10-28 19:59
2025-10-28 00:00,17.83,18.67,17.54,18.13,5416675.72,2025-10-29 19:59
2025-10-29 00:00,18.14,18.43,16.32,16.8,6399161.49,2025-10-30 19:59
2025-10-30 00:00,16.8,17.46,16.73,17.24,3731444.08,2025-10-31 19:59
2025-10-31 00:00,17.24,17.44,17.04,17.14,1754292.31,2025-11-01 19:59
2025-11-01 00:00,17.15,17.64,16.99,17.58,2182107.95,2025-11-02 18:59
2025-11-02 00:00,17.59,17.66,14.51,15.25,8552762.39,2025-11-03 18:59
2025-11-03 00:00,15.25,15.51,13.69,14.68,10850755.72,2025-11-04 18:59
2025-11-04 00:00,14.69,15.4,13.98,15.09,5894032.13,2025-11-05 18:59
2025-11-05 00:00,15.08,15.24,14.24,14.74,3839934.18,2025-11-06 18:59
2025-11-06 00:00,14.74,16.23,14.31,15.79,5993232.84,2025-11-07 18:59
2025-11-07 00:00,15.79,16.03,15.12,15.51,4114455.99,2025-11-08 18:59
2025-11-08 00:00,15.52,16.13,15.02,15.93,3070400.01,2025-11-09 18:59
2025-11-09 00:00,15.92,16.67,15.79,16.36,4747415.9,2025-11-10 18:59
2025-11-10 00:00,16.36,16.8,15.25,15.28,4143466.43,2025-11-11 18:59
2025-11-11 00:00,15.28,16.25,14.92,15.15,4424573.31,2025-11-12 18:59
2025-11-12 00:00,15.15,16.02,14.14,14.54,5949252.14,2025-11-13 18:59
2025-11-13 00:00,14.55,14.61,13.58,13.81,6599254.26,2025-11-14 18:59
2025-11-14 00:00,13.81,14.34,13.79,14.14,2552274.78,2025-11-15 18:59
2025-11-15 00:00,14.14,14.54,13.4,13.73,5401879.85,2025-11-16 18:59
2025-11-16 00:00,13.73,14.29,13.08,13.33,5381203.2,2025-11-17 18:59
2025-11-17 00:00,13.34,14.0,13.06,13.79,4903240.7,2025-11-18 18:59
2025-11-18 00:00,13.8,13.83,12.77,13.53,5275849.25,2025-11-19 18:59
2025-11-19 00:00,13.53,14.0,12.77,12.93,7252067.4,2025-11-20 18:59
2025-11-20 00:00,12.94,13.22,11.61,12.11,10358430.4,2025-11-21 18:59
2025-11-21 00:00,12.12,12.31,11.74,12.17,3456903.63,2025-11-22 18:59
2025-11-22 00:00,12.17,12.75,12.11,12.53,4334135.56,2025-11-23 18:59
2025-11-23 00:00,12.52,13.21,12.3,12.97,4496999.27,2025-11-24 18:59
2025-11-24 00:00,12.97,13.22,12.55,13.09,4555186.5,2025-11-25 18:59
2025-11-25 00:00,13.08,13.51,12.75,13.46,3028988.41,2025-11-26 18:59
2025-11-26 00:00,13.45,13.57,13.23,13.34,1701459.82,2025-11-27 18:59
2025-11-27 00:00,13.33,13.55,13.04,13.13,2123209.77,2025-11-28 18:59
2025-11-28 00:00,13.12,13.22,12.91,12.99,1416097.99,2025-11-29 18:59
2025-11-29 00:00,12.99,13.42,12.93,12.95,1500368.36,2025-11-30 18:59
2025-11-30 00:00,12.95,12.99,11.74,12.07,5522451.03,2025-12-01 18:59
2025-12-01 00:00,12.07,13.59,11.98,13.47,4969655.99,2025-12-02 18:59
2025-12-02 00:00,13.47,14.75,13.43,14.64,7868526.73,2025-12-03 18:59
2025-12-03 00:00,14.64,14.93,13.97,14.25,3758770.08,2025-12-04 18:59
2025-12-04 00:00,14.25,14.4,13.36,13.59,3480586.8,2025-12-05 18:59
