Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-08 05:00,8.63,8.71,8.62,8.69,88903.42,2026-03-08 05:59
2026-03-08 06:00,8.69,8.78,8.69,8.74,51271.55,2026-03-08 06:59
2026-03-08 07:00,8.73,8.74,8.63,8.66,57305.66,2026-03-08 07:59
2026-03-08 08:00,8.66,8.68,8.55,8.66,111382.6,2026-03-08 08:59
2026-03-08 09:00,8.65,8.67,8.55,8.59,150220.48,2026-03-08 09:59
2026-03-08 10:00,8.6,8.63,8.55,8.59,56744.66,2026-03-08 10:59
2026-03-08 11:00,8.59,8.6,8.54,8.56,165664.83,2026-03-08 11:59
2026-03-08 12:00,8.56,8.58,8.5,8.52,62560.61,2026-03-08 12:59
2026-03-08 13:00,8.52,8.58,8.52,8.56,65385.72,2026-03-08 13:59
2026-03-08 14:00,8.57,8.57,8.51,8.54,48382.48,2026-03-08 14:59
2026-03-08 15:00,8.55,8.67,8.52,8.65,70418.43,2026-03-08 15:59
2026-03-08 16:00,8.65,8.7,8.61,8.64,86376.35,2026-03-08 16:59
2026-03-08 17:00,8.64,8.65,8.56,8.6,73850.26,2026-03-08 17:59
2026-03-08 18:00,8.6,8.6,8.4,8.56,396760.81,2026-03-08 18:59
2026-03-08 19:00,8.56,8.59,8.5,8.52,120210.66,2026-03-08 19:59
2026-03-08 20:00,8.51,8.66,8.51,8.57,262534.33,2026-03-08 20:59
2026-03-08 21:00,8.57,8.62,8.53,8.54,106750.75,2026-03-08 21:59
2026-03-08 22:00,8.53,8.64,8.51,8.62,98877.18,2026-03-08 22:59
2026-03-08 23:00,8.61,8.8,8.61,8.68,183917.56,2026-03-08 23:59
2026-03-09 00:00,8.68,8.77,8.68,8.69,74411.58,2026-03-09 00:59
2026-03-09 01:00,8.7,8.87,8.68,8.84,169199.95,2026-03-09 01:59
2026-03-09 02:00,8.84,8.85,8.73,8.73,69581.33,2026-03-09 02:59
2026-03-09 03:00,8.73,8.75,8.65,8.74,135225.97,2026-03-09 03:59
2026-03-09 04:00,8.75,8.8,8.72,8.75,89668.68,2026-03-09 04:59
2026-03-09 05:00,8.75,8.86,8.71,8.78,135964.77,2026-03-09 05:59
2026-03-09 06:00,8.77,8.8,8.75,8.77,102557.19,2026-03-09 06:59
2026-03-09 07:00,8.76,8.8,8.71,8.78,50755.1,2026-03-09 07:59
2026-03-09 08:00,8.78,8.85,8.77,8.82,93685.2,2026-03-09 08:59
2026-03-09 09:00,8.82,8.96,8.81,8.93,367482.1,2026-03-09 09:59
2026-03-09 10:00,8.92,8.97,8.83,8.92,293420.76,2026-03-09 10:59
2026-03-09 11:00,8.93,8.97,8.88,8.93,106708.0,2026-03-09 11:59
2026-03-09 12:00,8.93,8.98,8.9,8.94,134639.35,2026-03-09 12:59
2026-03-09 13:00,8.94,8.99,8.88,8.91,94701.93,2026-03-09 13:59
2026-03-09 14:00,8.91,8.96,8.86,8.9,97370.94,2026-03-09 14:59
2026-03-09 15:00,8.91,9.1,8.86,9.01,214537.75,2026-03-09 15:59
2026-03-09 16:00,9.01,9.04,8.94,8.98,113368.36,2026-03-09 16:59
2026-03-09 17:00,8.97,9.02,8.97,8.99,63051.93,2026-03-09 17:59
2026-03-09 18:00,8.99,9.0,8.88,8.92,104873.3,2026-03-09 18:59
2026-03-09 19:00,8.91,8.92,8.85,8.87,64695.59,2026-03-09 19:59
2026-03-09 20:00,8.87,8.97,8.85,8.92,152952.0,2026-03-09 20:59
2026-03-09 21:00,8.91,8.96,8.87,8.93,70001.46,2026-03-09 21:59
2026-03-09 22:00,8.93,9.08,8.9,9.04,204167.08,2026-03-09 22:59
2026-03-09 23:00,9.03,9.05,8.92,8.93,109698.31,2026-03-09 23:59
2026-03-10 00:00,8.94,9.04,8.93,9.02,75518.05,2026-03-10 00:59
2026-03-10 01:00,9.01,9.05,8.99,9.01,49122.56,2026-03-10 01:59
2026-03-10 02:00,9.01,9.03,8.97,9.01,42313.07,2026-03-10 02:59
2026-03-10 03:00,9.01,9.09,8.98,9.08,96170.88,2026-03-10 03:59
2026-03-10 04:00,9.08,9.17,9.07,9.08,294403.35,2026-03-10 04:59
2026-03-10 05:00,9.07,9.16,9.07,9.13,123478.71,2026-03-10 05:59
2026-03-10 06:00,9.12,9.13,9.06,9.11,103525.25,2026-03-10 06:59
2026-03-10 07:00,9.11,9.11,9.06,9.06,81106.74,2026-03-10 07:59
2026-03-10 08:00,9.07,9.08,9.02,9.04,61833.1,2026-03-10 08:59
2026-03-10 09:00,9.05,9.1,8.94,8.97,160680.68,2026-03-10 09:59
2026-03-10 10:00,8.96,9.15,8.85,9.15,280090.3,2026-03-10 10:59
2026-03-10 11:00,9.15,9.19,9.06,9.14,214506.02,2026-03-10 11:59
2026-03-10 12:00,9.13,9.18,9.08,9.15,173554.64,2026-03-10 12:59
2026-03-10 13:00,9.15,9.18,9.07,9.11,170560.81,2026-03-10 13:59
2026-03-10 14:00,9.1,9.11,8.95,8.97,210429.32,2026-03-10 14:59
2026-03-10 15:00,8.96,8.99,8.92,8.97,115125.86,2026-03-10 15:59
2026-03-10 16:00,8.97,9.01,8.97,8.99,47877.37,2026-03-10 16:59
2026-03-10 17:00,8.99,9.01,8.91,8.94,138630.14,2026-03-10 17:59
2026-03-10 18:00,8.94,8.98,8.9,8.96,131333.99,2026-03-10 18:59
2026-03-10 19:00,8.96,9.0,8.96,8.99,51558.44,2026-03-10 19:59
2026-03-10 20:00,8.98,9.0,8.92,8.98,126270.05,2026-03-10 20:59
2026-03-10 21:00,8.99,9.01,8.96,9.0,57897.96,2026-03-10 21:59
2026-03-10 22:00,8.99,9.0,8.91,8.97,121326.53,2026-03-10 22:59
2026-03-10 23:00,8.96,8.99,8.92,8.93,147452.86,2026-03-10 23:59
2026-03-11 00:00,8.92,9.03,8.91,9.02,129873.12,2026-03-11 00:59
2026-03-11 01:00,9.02,9.04,8.86,8.88,84804.69,2026-03-11 01:59
2026-03-11 02:00,8.88,8.97,8.87,8.95,69147.68,2026-03-11 02:59
2026-03-11 03:00,8.94,8.96,8.87,8.88,48473.86,2026-03-11 03:59
2026-03-11 04:00,8.89,8.94,8.87,8.92,121369.16,2026-03-11 04:59
2026-03-11 05:00,8.91,8.94,8.88,8.89,71475.63,2026-03-11 05:59
2026-03-11 06:00,8.89,8.97,8.88,8.95,63644.95,2026-03-11 06:59
2026-03-11 07:00,8.94,8.97,8.9,8.92,63009.23,2026-03-11 07:59
2026-03-11 08:00,8.92,9.04,8.88,8.97,117848.49,2026-03-11 08:59
2026-03-11 09:00,8.97,9.18,8.95,9.05,301090.8,2026-03-11 09:59
2026-03-11 10:00,9.05,9.14,9.03,9.06,201026.91,2026-03-11 10:59
2026-03-11 11:00,9.06,9.07,8.9,9.0,213498.81,2026-03-11 11:59
2026-03-11 12:00,9.0,9.09,8.97,9.06,187854.2,2026-03-11 12:59
2026-03-11 13:00,9.06,9.16,9.03,9.09,201871.32,2026-03-11 13:59
2026-03-11 14:00,9.08,9.12,9.06,9.09,153171.35,2026-03-11 14:59
2026-03-11 15:00,9.09,9.11,9.05,9.09,75513.77,2026-03-11 15:59
2026-03-11 16:00,9.09,9.09,9.03,9.06,57804.06,2026-03-11 16:59
2026-03-11 17:00,9.07,9.09,9.04,9.07,102836.65,2026-03-11 17:59
2026-03-11 18:00,9.07,9.11,9.01,9.04,76046.41,2026-03-11 18:59
2026-03-11 19:00,9.05,9.07,8.98,8.99,77674.49,2026-03-11 19:59
2026-03-11 20:00,8.99,9.02,8.98,9.01,61785.31,2026-03-11 20:59
2026-03-11 21:00,9.01,9.01,8.93,8.96,79137.44,2026-03-11 21:59
2026-03-11 22:00,8.95,8.97,8.86,8.87,124877.93,2026-03-11 22:59
2026-03-11 23:00,8.87,8.91,8.83,8.86,87223.42,2026-03-11 23:59
2026-03-12 00:00,8.86,8.9,8.85,8.86,52116.75,2026-03-12 00:59
2026-03-12 01:00,8.87,8.9,8.84,8.9,79294.55,2026-03-12 01:59
2026-03-12 02:00,8.89,8.92,8.87,8.92,72061.14,2026-03-12 02:59
2026-03-12 03:00,8.92,8.97,8.89,8.95,90456.31,2026-03-12 03:59
2026-03-12 04:00,8.95,9.01,8.94,8.97,45731.31,2026-03-12 04:59
2026-03-12 05:00,8.97,9.04,8.92,9.0,98915.11,2026-03-12 05:59
2026-03-12 06:00,8.99,9.11,8.98,9.08,265660.91,2026-03-12 06:59
2026-03-12 07:00,9.07,9.08,9.01,9.03,98199.06,2026-03-12 07:59
2026-03-12 08:00,9.03,9.07,9.0,9.03,99260.91,2026-03-12 08:59
2026-03-12 09:00,9.04,9.07,8.96,9.02,196673.28,2026-03-12 09:59
2026-03-12 10:00,9.02,9.1,8.89,8.95,222126.84,2026-03-12 10:59
2026-03-12 11:00,8.95,9.09,8.91,9.04,182731.7,2026-03-12 11:59
2026-03-12 12:00,9.03,9.09,8.96,9.05,121011.95,2026-03-12 12:59
2026-03-12 13:00,9.05,9.07,8.99,9.01,57887.95,2026-03-12 13:59
2026-03-12 14:00,9.01,9.03,8.97,8.98,101455.29,2026-03-12 14:59
2026-03-12 15:00,8.98,9.06,8.97,9.04,88231.61,2026-03-12 15:59
2026-03-12 16:00,9.03,9.04,8.97,8.97,126294.88,2026-03-12 16:59
2026-03-12 17:00,8.97,9.04,8.97,9.02,42074.03,2026-03-12 17:59
2026-03-12 18:00,9.02,9.03,8.97,9.01,71430.57,2026-03-12 18:59
2026-03-12 19:00,9.01,9.09,9.01,9.05,153866.45,2026-03-12 19:59
2026-03-12 20:00,9.06,9.4,9.03,9.25,546003.54,2026-03-12 20:59
2026-03-12 21:00,9.25,9.34,9.24,9.31,208673.54,2026-03-12 21:59
2026-03-12 22:00,9.32,9.33,9.2,9.22,209038.69,2026-03-12 22:59
2026-03-12 23:00,9.22,9.31,9.2,9.29,162797.64,2026-03-12 23:59
2026-03-13 00:00,9.28,9.3,9.23,9.25,81078.76,2026-03-13 00:59
2026-03-13 01:00,9.25,9.29,9.22,9.26,113062.25,2026-03-13 01:59
2026-03-13 02:00,9.27,9.28,9.17,9.19,147450.8,2026-03-13 02:59
2026-03-13 03:00,9.18,9.22,9.17,9.19,113411.29,2026-03-13 03:59
2026-03-13 04:00,9.19,9.3,9.16,9.22,126810.17,2026-03-13 04:59
2026-03-13 05:00,9.22,9.3,9.2,9.27,105675.67,2026-03-13 05:59
2026-03-13 06:00,9.28,9.33,9.27,9.3,137145.17,2026-03-13 06:59
2026-03-13 07:00,9.29,9.31,9.25,9.28,94604.1,2026-03-13 07:59
2026-03-13 08:00,9.27,9.44,9.27,9.39,179197.69,2026-03-13 08:59
2026-03-13 09:00,9.39,9.58,9.37,9.52,471213.0,2026-03-13 09:59
2026-03-13 10:00,9.52,9.6,9.33,9.37,486257.17,2026-03-13 10:59
2026-03-13 11:00,9.37,9.43,9.23,9.26,350138.13,2026-03-13 11:59
2026-03-13 12:00,9.26,9.33,9.2,9.28,266488.46,2026-03-13 12:59
2026-03-13 13:00,9.29,9.31,9.08,9.14,280748.91,2026-03-13 13:59
2026-03-13 14:00,9.14,9.19,9.11,9.12,129522.46,2026-03-13 14:59
2026-03-13 15:00,9.12,9.17,9.1,9.15,85230.06,2026-03-13 15:59
2026-03-13 16:00,9.15,9.18,9.13,9.18,46754.93,2026-03-13 16:59
2026-03-13 17:00,9.18,9.21,9.12,9.13,81170.74,2026-03-13 17:59
2026-03-13 18:00,9.13,9.14,9.02,9.07,174482.12,2026-03-13 18:59
2026-03-13 19:00,9.06,9.11,9.05,9.08,63287.59,2026-03-13 19:59
2026-03-13 20:00,9.08,9.12,9.05,9.06,73648.67,2026-03-13 20:59
2026-03-13 21:00,9.05,9.09,9.02,9.08,63777.87,2026-03-13 21:59
2026-03-13 22:00,9.09,9.1,9.06,9.08,79068.08,2026-03-13 22:59
2026-03-13 23:00,9.09,9.13,9.07,9.11,104839.05,2026-03-13 23:59
2026-03-14 00:00,9.12,9.14,9.08,9.08,82478.64,2026-03-14 00:59
2026-03-14 01:00,9.08,9.1,9.03,9.06,122775.95,2026-03-14 01:59
2026-03-14 02:00,9.06,9.06,8.96,9.0,160293.86,2026-03-14 02:59
2026-03-14 03:00,9.0,9.01,8.96,8.98,115260.33,2026-03-14 03:59
2026-03-14 04:00,8.97,8.99,8.96,8.98,99980.24,2026-03-14 04:59
2026-03-14 05:00,8.97,9.01,8.92,8.94,162312.36,2026-03-14 05:59
2026-03-14 06:00,8.94,8.95,8.92,8.95,60193.67,2026-03-14 06:59
2026-03-14 07:00,8.95,9.0,8.94,9.0,43494.75,2026-03-14 07:59
2026-03-14 08:00,8.99,9.01,8.97,8.99,46104.37,2026-03-14 08:59
2026-03-14 09:00,8.98,9.02,8.98,9.01,28333.56,2026-03-14 09:59
2026-03-14 10:00,9.01,9.02,8.96,8.97,74147.92,2026-03-14 10:59
