Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-15 11:00,9.18,9.18,9.14,9.15,34103.85,2026-03-15 11:59
2026-03-15 12:00,9.15,9.19,9.12,9.13,83887.64,2026-03-15 12:59
2026-03-15 13:00,9.14,9.24,9.13,9.21,61910.98,2026-03-15 13:59
2026-03-15 14:00,9.21,9.22,9.13,9.15,80478.26,2026-03-15 14:59
2026-03-15 15:00,9.16,9.21,9.14,9.19,64161.65,2026-03-15 15:59
2026-03-15 16:00,9.19,9.3,9.17,9.25,209964.11,2026-03-15 16:59
2026-03-15 17:00,9.25,9.34,9.23,9.31,156783.68,2026-03-15 17:59
2026-03-15 18:00,9.31,9.53,9.24,9.48,428638.54,2026-03-15 18:59
2026-03-15 19:00,9.49,9.56,9.4,9.5,402467.82,2026-03-15 19:59
2026-03-15 20:00,9.5,9.55,9.43,9.46,230095.44,2026-03-15 20:59
2026-03-15 21:00,9.46,9.54,9.41,9.51,207707.26,2026-03-15 21:59
2026-03-15 22:00,9.52,9.53,9.41,9.49,151629.88,2026-03-15 22:59
2026-03-15 23:00,9.48,9.81,9.46,9.7,761438.41,2026-03-15 23:59
2026-03-16 00:00,9.7,9.83,9.7,9.75,596833.25,2026-03-16 00:59
2026-03-16 01:00,9.76,9.79,9.67,9.76,683867.27,2026-03-16 01:59
2026-03-16 02:00,9.76,9.77,9.67,9.71,205816.44,2026-03-16 02:59
2026-03-16 03:00,9.71,9.76,9.67,9.69,217732.61,2026-03-16 03:59
2026-03-16 04:00,9.69,9.74,9.56,9.58,275077.51,2026-03-16 04:59
2026-03-16 05:00,9.59,9.66,9.58,9.64,148601.41,2026-03-16 05:59
2026-03-16 06:00,9.64,9.73,9.63,9.72,179589.42,2026-03-16 06:59
2026-03-16 07:00,9.73,9.74,9.64,9.66,131351.47,2026-03-16 07:59
2026-03-16 08:00,9.67,9.77,9.66,9.7,293341.03,2026-03-16 08:59
2026-03-16 09:00,9.71,9.83,9.67,9.75,308213.6,2026-03-16 09:59
2026-03-16 10:00,9.75,9.8,9.59,9.7,351880.2,2026-03-16 10:59
2026-03-16 11:00,9.71,9.78,9.68,9.72,202151.14,2026-03-16 11:59
2026-03-16 12:00,9.72,9.82,9.71,9.79,171454.98,2026-03-16 12:59
2026-03-16 13:00,9.79,9.86,9.77,9.82,217664.34,2026-03-16 13:59
2026-03-16 14:00,9.83,9.93,9.82,9.86,261095.14,2026-03-16 14:59
2026-03-16 15:00,9.87,9.98,9.83,9.93,285943.22,2026-03-16 15:59
2026-03-16 16:00,9.93,9.97,9.91,9.94,123353.66,2026-03-16 16:59
2026-03-16 17:00,9.94,10.05,9.92,9.99,250713.6,2026-03-16 17:59
2026-03-16 18:00,9.98,10.08,9.95,9.98,216547.21,2026-03-16 18:59
2026-03-16 19:00,9.97,9.98,9.86,9.92,201947.98,2026-03-16 19:59
2026-03-16 20:00,9.92,10.02,9.88,9.96,335880.88,2026-03-16 20:59
2026-03-16 21:00,9.96,10.03,9.91,9.96,290487.39,2026-03-16 21:59
2026-03-16 22:00,9.96,9.97,9.88,9.91,201291.05,2026-03-16 22:59
2026-03-16 23:00,9.91,9.92,9.78,9.83,218832.36,2026-03-16 23:59
2026-03-17 00:00,9.83,9.86,9.71,9.77,184990.07,2026-03-17 00:59
2026-03-17 01:00,9.77,9.79,9.68,9.73,109497.34,2026-03-17 01:59
2026-03-17 02:00,9.73,9.79,9.69,9.75,120564.38,2026-03-17 02:59
2026-03-17 03:00,9.75,9.85,9.75,9.79,68523.7,2026-03-17 03:59
2026-03-17 04:00,9.79,9.83,9.76,9.77,112917.7,2026-03-17 04:59
2026-03-17 05:00,9.78,9.81,9.74,9.76,133891.39,2026-03-17 05:59
2026-03-17 06:00,9.77,9.79,9.73,9.75,153637.63,2026-03-17 06:59
2026-03-17 07:00,9.75,9.81,9.74,9.77,115788.47,2026-03-17 07:59
2026-03-17 08:00,9.76,9.8,9.71,9.72,158056.18,2026-03-17 08:59
2026-03-17 09:00,9.73,9.83,9.72,9.79,251888.25,2026-03-17 09:59
2026-03-17 10:00,9.79,9.88,9.75,9.86,226777.99,2026-03-17 10:59
2026-03-17 11:00,9.87,9.95,9.74,9.81,221755.75,2026-03-17 11:59
2026-03-17 12:00,9.81,9.87,9.79,9.84,166284.04,2026-03-17 12:59
2026-03-17 13:00,9.84,9.89,9.82,9.89,88121.97,2026-03-17 13:59
2026-03-17 14:00,9.89,9.92,9.86,9.88,84492.1,2026-03-17 14:59
2026-03-17 15:00,9.89,9.9,9.79,9.8,132886.49,2026-03-17 15:59
2026-03-17 16:00,9.8,9.85,9.76,9.84,135393.72,2026-03-17 16:59
2026-03-17 17:00,9.85,9.91,9.83,9.89,122370.58,2026-03-17 17:59
2026-03-17 18:00,9.89,9.92,9.8,9.85,73493.03,2026-03-17 18:59
2026-03-17 19:00,9.86,9.87,9.77,9.79,113875.28,2026-03-17 19:59
2026-03-17 20:00,9.79,9.82,9.75,9.81,84709.54,2026-03-17 20:59
2026-03-17 21:00,9.82,9.86,9.8,9.8,74562.15,2026-03-17 21:59
2026-03-17 22:00,9.8,9.88,9.8,9.84,64364.37,2026-03-17 22:59
2026-03-17 23:00,9.85,9.93,9.84,9.89,75354.75,2026-03-17 23:59
2026-03-18 00:00,9.89,9.9,9.82,9.84,45857.36,2026-03-18 00:59
2026-03-18 01:00,9.84,9.88,9.78,9.79,98125.91,2026-03-18 01:59
2026-03-18 02:00,9.8,9.87,9.8,9.81,58759.81,2026-03-18 02:59
2026-03-18 03:00,9.82,9.82,9.77,9.82,83496.98,2026-03-18 03:59
2026-03-18 04:00,9.82,9.86,9.81,9.84,75296.37,2026-03-18 04:59
2026-03-18 05:00,9.85,9.9,9.81,9.83,165427.83,2026-03-18 05:59
