Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,8.51,8.58,8.47,8.58,191988.63,2026-02-19 16:00
2026-02-19 16:00,8.58,8.66,8.57,8.61,206756.78,2026-02-19 20:00
2026-02-19 20:00,8.6,8.68,8.52,8.66,176403.26,2026-02-20 00:00
2026-02-20 00:00,8.65,8.73,8.6,8.63,290180.89,2026-02-20 04:00
2026-02-20 04:00,8.62,8.84,8.45,8.83,1159952.94,2026-02-20 08:00
2026-02-20 08:00,8.83,8.97,8.69,8.91,940228.74,2026-02-20 12:00
2026-02-20 12:00,8.91,9.02,8.88,8.95,350921.42,2026-02-20 16:00
2026-02-20 16:00,8.95,8.99,8.85,8.89,408134.12,2026-02-20 20:00
2026-02-20 20:00,8.89,8.92,8.85,8.87,139805.78,2026-02-21 00:00
2026-02-21 00:00,8.86,8.98,8.86,8.95,486028.21,2026-02-21 04:00
2026-02-21 04:00,8.95,9.05,8.89,8.94,360024.2,2026-02-21 08:00
2026-02-21 08:00,8.94,9.0,8.85,8.94,321467.87,2026-02-21 12:00
2026-02-21 12:00,8.93,8.96,8.86,8.87,189104.9,2026-02-21 16:00
2026-02-21 16:00,8.87,8.9,8.79,8.85,244786.75,2026-02-21 20:00
2026-02-21 20:00,8.84,8.88,8.8,8.85,158577.23,2026-02-22 00:00
2026-02-22 00:00,8.86,8.87,8.79,8.84,138886.15,2026-02-22 04:00
2026-02-22 04:00,8.84,8.84,8.68,8.72,419857.07,2026-02-22 08:00
2026-02-22 08:00,8.72,8.72,8.6,8.65,178811.21,2026-02-22 12:00
2026-02-22 12:00,8.64,8.71,8.6,8.69,169380.92,2026-02-22 16:00
2026-02-22 16:00,8.69,8.7,8.17,8.25,1952057.33,2026-02-22 20:00
2026-02-22 20:00,8.25,8.38,8.18,8.35,367861.15,2026-02-23 00:00
2026-02-23 00:00,8.35,8.56,8.31,8.47,381025.43,2026-02-23 04:00
2026-02-23 04:00,8.47,8.58,8.4,8.41,504003.53,2026-02-23 08:00
2026-02-23 08:00,8.42,8.46,8.18,8.23,766677.45,2026-02-23 12:00
2026-02-23 12:00,8.23,8.35,8.2,8.26,335977.96,2026-02-23 16:00
2026-02-23 16:00,8.27,8.34,8.11,8.21,676739.09,2026-02-23 20:00
2026-02-23 20:00,8.21,8.24,8.12,8.16,476392.44,2026-02-24 00:00
2026-02-24 00:00,8.16,8.21,8.1,8.18,258752.1,2026-02-24 04:00
2026-02-24 04:00,8.17,8.23,8.05,8.22,443572.5,2026-02-24 08:00
2026-02-24 08:00,8.22,8.28,8.18,8.23,361695.75,2026-02-24 12:00
2026-02-24 12:00,8.24,8.26,8.16,8.19,372865.55,2026-02-24 16:00
2026-02-24 16:00,8.2,8.63,8.18,8.5,887804.41,2026-02-24 20:00
2026-02-24 20:00,8.5,8.56,8.35,8.47,409355.97,2026-02-25 00:00
2026-02-25 00:00,8.48,8.67,8.43,8.66,471406.32,2026-02-25 04:00
2026-02-25 04:00,8.66,9.33,8.64,9.27,1889006.55,2026-02-25 08:00
