Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-12-21 00:00,76.79,79.49,76.35,77.05,307831.718,2025-12-22 00:00
2025-12-22 00:00,77.05,77.96,75.53,77.01,260524.06,2025-12-23 00:00
2025-12-23 00:00,77.01,77.42,75.22,75.79,266137.657,2025-12-24 00:00
2025-12-24 00:00,75.79,77.57,75.36,75.71,204493.057,2025-12-25 00:00
2025-12-25 00:00,75.7,78.0,75.48,76.87,254509.443,2025-12-26 00:00
2025-12-26 00:00,76.87,80.58,76.76,80.33,211258.146,2025-12-27 00:00
2025-12-27 00:00,80.33,80.58,77.87,78.73,219808.346,2025-12-28 00:00
2025-12-28 00:00,78.73,80.25,76.92,78.32,309985.174,2025-12-29 00:00
2025-12-29 00:00,78.33,79.03,77.62,78.89,238627.692,2025-12-30 00:00
2025-12-30 00:00,78.88,78.89,76.08,76.85,233120.006,2025-12-31 00:00
2025-12-31 00:00,76.86,80.03,76.7,79.97,194402.742,2026-01-01 00:00
2026-01-01 00:00,79.97,82.25,79.04,81.93,285255.308,2026-01-02 00:00
2026-01-02 00:00,81.94,82.82,80.77,82.08,249457.667,2026-01-03 00:00
2026-01-03 00:00,82.09,83.17,81.65,82.26,254059.572,2026-01-04 00:00
2026-01-04 00:00,82.26,84.57,81.44,83.46,427913.448,2026-01-05 00:00
2026-01-05 00:00,83.46,84.89,81.16,83.96,356122.443,2026-01-06 00:00
2026-01-06 00:00,83.95,83.97,81.0,81.71,276546.003,2026-01-07 00:00
2026-01-07 00:00,81.71,82.3,80.0,81.31,252290.561,2026-01-08 00:00
2026-01-08 00:00,81.31,82.12,79.91,81.49,251572.162,2026-01-09 00:00
2026-01-09 00:00,81.48,82.42,80.8,81.19,149346.699,2026-01-10 00:00
2026-01-10 00:00,81.19,81.78,78.53,78.79,323460.486,2026-01-11 00:00
2026-01-11 00:00,78.79,80.75,75.6,76.12,766104.643,2026-01-12 00:00
2026-01-12 00:00,76.11,78.95,75.26,78.18,1092209.996,2026-01-13 00:00
2026-01-13 00:00,78.17,80.97,75.8,76.67,1728520.677,2026-01-14 00:00
2026-01-14 00:00,76.66,76.92,69.46,72.21,1503254.414,2026-01-15 00:00
2026-01-15 00:00,72.21,76.07,70.92,75.22,846767.044,2026-01-16 00:00
2026-01-16 00:00,75.21,75.99,73.84,74.92,327149.181,2026-01-17 00:00
2026-01-17 00:00,74.92,75.9,72.1,72.29,377184.548,2026-01-18 00:00
2026-01-18 00:00,72.28,72.28,65.58,70.8,993480.913,2026-01-19 00:00
2026-01-19 00:00,70.79,71.05,65.9,67.12,699879.344,2026-01-20 00:00
2026-01-20 00:00,67.12,69.71,66.03,68.48,677970.362,2026-01-21 00:00
2026-01-21 00:00,68.48,69.65,67.06,68.19,400973.972,2026-01-22 00:00
2026-01-22 00:00,68.2,69.6,66.98,68.07,391555.321,2026-01-23 00:00
2026-01-23 00:00,68.07,68.98,67.75,68.19,180394.712,2026-01-24 00:00
2026-01-24 00:00,68.2,70.36,65.23,67.3,627760.546,2026-01-25 00:00
2026-01-25 00:00,67.29,70.11,66.97,69.72,427828.099,2026-01-26 00:00
2026-01-26 00:00,69.73,70.49,68.64,70.03,325716.599,2026-01-27 00:00
2026-01-27 00:00,70.03,70.31,68.42,69.42,301017.18,2026-01-28 00:00
2026-01-28 00:00,69.41,69.55,64.43,66.24,474641.116,2026-01-29 00:00
2026-01-29 00:00,66.24,66.47,62.71,65.47,686027.282,2026-01-30 00:00
2026-01-30 00:00,65.47,65.5,55.0,59.53,1322363.304,2026-01-31 00:00
2026-01-31 00:00,59.53,59.92,57.16,58.49,614483.462,2026-02-01 00:00
2026-02-01 00:00,58.49,61.17,56.51,60.02,649668.505,2026-02-02 00:00
2026-02-02 00:00,60.02,61.38,56.87,59.48,607480.409,2026-02-03 00:00
2026-02-03 00:00,59.47,60.99,57.07,58.89,610711.727,2026-02-04 00:00
2026-02-04 00:00,58.89,59.49,50.18,50.79,1590945.035,2026-02-05 00:00
2026-02-05 00:00,50.79,56.47,45.07,55.02,1678612.362,2026-02-06 00:00
2026-02-06 00:00,55.01,56.0,52.86,55.19,807072.496,2026-02-07 00:00
