Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-01-21 04:00,68.03,69.29,67.23,69.14,114350.782,2026-01-21 10:59
2026-01-21 08:00,69.14,69.3,66.03,69.2,290040.597,2026-01-21 14:59
2026-01-21 12:00,69.2,69.71,68.28,68.48,86756.569,2026-01-21 18:59
2026-01-21 16:00,68.48,69.65,68.47,68.64,42720.206,2026-01-21 22:59
2026-01-21 20:00,68.63,68.97,68.0,68.42,57933.838,2026-01-22 02:59
2026-01-22 00:00,68.43,69.05,68.24,68.44,47460.379,2026-01-22 06:59
2026-01-22 04:00,68.43,68.79,67.06,68.04,118379.036,2026-01-22 10:59
2026-01-22 08:00,68.04,68.63,67.76,68.33,79466.049,2026-01-22 14:59
2026-01-22 12:00,68.33,68.45,67.72,68.19,55014.464,2026-01-22 18:59
2026-01-22 16:00,68.2,69.6,68.12,69.34,57895.835,2026-01-22 22:59
2026-01-22 20:00,69.34,69.49,68.59,68.83,65643.727,2026-01-23 02:59
2026-01-23 00:00,68.82,68.88,68.09,68.53,58653.112,2026-01-23 06:59
2026-01-23 04:00,68.52,68.61,66.98,68.24,90153.642,2026-01-23 10:59
2026-01-23 08:00,68.25,69.2,67.78,67.93,79840.525,2026-01-23 14:59
2026-01-23 12:00,67.93,68.15,67.03,68.07,39368.48,2026-01-23 18:59
2026-01-23 16:00,68.07,68.69,67.85,68.62,23811.813,2026-01-23 22:59
2026-01-23 20:00,68.62,68.87,68.46,68.52,35551.727,2026-01-24 02:59
2026-01-24 00:00,68.52,68.8,68.35,68.51,22673.033,2026-01-24 06:59
2026-01-24 04:00,68.51,68.98,68.25,68.32,39295.828,2026-01-24 10:59
2026-01-24 08:00,68.32,68.33,67.75,67.84,40492.529,2026-01-24 14:59
2026-01-24 12:00,67.84,68.27,67.84,68.19,18569.782,2026-01-24 18:59
2026-01-24 16:00,68.2,68.63,67.84,68.15,37508.599,2026-01-24 22:59
2026-01-24 20:00,68.14,68.82,68.06,68.67,33060.266,2026-01-25 02:59
2026-01-25 00:00,68.67,70.36,68.31,70.0,120614.317,2026-01-25 06:59
2026-01-25 04:00,69.99,70.3,68.67,69.51,104110.004,2026-01-25 10:59
2026-01-25 08:00,69.5,69.51,65.63,66.02,195671.743,2026-01-25 14:59
2026-01-25 12:00,66.01,67.39,65.23,67.3,136795.617,2026-01-25 18:59
2026-01-25 16:00,67.29,68.17,66.97,67.4,60599.646,2026-01-25 22:59
2026-01-25 20:00,67.41,68.5,67.41,68.39,52357.2,2026-01-26 02:59
2026-01-26 00:00,68.39,68.82,67.84,68.25,50501.511,2026-01-26 06:59
2026-01-26 04:00,68.24,70.0,68.24,69.05,128248.827,2026-01-26 10:59
2026-01-26 08:00,69.05,69.92,68.65,69.13,78709.755,2026-01-26 14:59
2026-01-26 12:00,69.13,70.11,68.8,69.72,57411.16,2026-01-26 18:59
2026-01-26 16:00,69.73,70.12,69.52,69.57,42315.678,2026-01-26 22:59
2026-01-26 20:00,69.57,69.88,69.07,69.13,29390.474,2026-01-27 02:59
2026-01-27 00:00,69.13,69.52,69.0,69.05,43010.367,2026-01-27 06:59
2026-01-27 04:00,69.04,69.99,68.64,69.93,59412.681,2026-01-27 10:59
2026-01-27 08:00,69.93,70.23,69.09,69.67,89761.858,2026-01-27 14:59
2026-01-27 12:00,69.66,70.49,69.65,70.03,61825.541,2026-01-27 18:59
2026-01-27 16:00,70.03,70.31,69.46,69.54,44474.404,2026-01-27 22:59
2026-01-27 20:00,69.55,70.01,69.19,69.65,39581.875,2026-01-28 02:59
2026-01-28 00:00,69.65,70.03,69.27,69.97,42594.097,2026-01-28 06:59
2026-01-28 04:00,69.97,70.07,68.42,69.01,77640.455,2026-01-28 10:59
2026-01-28 08:00,69.01,69.88,68.74,69.51,65718.488,2026-01-28 14:59
2026-01-28 12:00,69.5,69.89,68.91,69.42,31007.861,2026-01-28 18:59
2026-01-28 16:00,69.41,69.55,67.93,68.01,52310.994,2026-01-28 22:59
2026-01-28 20:00,68.01,68.43,67.72,68.18,33070.56,2026-01-29 02:59
2026-01-29 00:00,68.18,68.29,67.36,67.49,77566.229,2026-01-29 06:59
2026-01-29 04:00,67.49,67.62,64.74,65.46,137928.996,2026-01-29 10:59
2026-01-29 08:00,65.46,66.72,64.43,65.06,130183.23,2026-01-29 14:59
2026-01-29 12:00,65.06,66.25,64.92,66.24,43581.107,2026-01-29 18:59
2026-01-29 16:00,66.24,66.47,62.71,63.99,250913.74,2026-01-29 22:59
2026-01-29 20:00,63.99,64.77,63.1,64.3,91181.555,2026-01-30 02:59
2026-01-30 00:00,64.29,65.18,63.76,64.99,54093.816,2026-01-30 06:59
2026-01-30 04:00,65.0,65.25,63.88,64.82,91792.91,2026-01-30 10:59
2026-01-30 08:00,64.81,66.02,63.65,65.74,120049.414,2026-01-30 14:59
2026-01-30 12:00,65.73,65.74,64.74,65.47,77995.847,2026-01-30 18:59
2026-01-30 16:00,65.47,65.5,64.78,64.95,30634.776,2026-01-30 22:59
2026-01-30 20:00,64.94,65.15,63.58,63.92,53901.422,2026-01-31 02:59
2026-01-31 00:00,63.92,63.99,62.45,63.06,109543.301,2026-01-31 06:59
2026-01-31 04:00,63.06,63.09,59.42,60.18,317632.758,2026-01-31 10:59
2026-01-31 08:00,60.19,61.14,55.0,58.11,665935.884,2026-01-31 14:59
2026-01-31 12:00,58.1,59.84,57.52,59.53,144715.163,2026-01-31 18:59
2026-01-31 16:00,59.53,59.92,58.99,59.67,76428.897,2026-01-31 22:59
2026-01-31 20:00,59.68,59.9,58.94,59.38,61445.177,2026-02-01 02:59
2026-02-01 00:00,59.39,59.81,58.68,59.31,72199.51,2026-02-01 06:59
2026-02-01 04:00,59.31,59.72,57.63,58.43,136098.165,2026-02-01 10:59
2026-02-01 08:00,58.43,59.63,57.85,58.76,108735.534,2026-02-01 14:59
2026-02-01 12:00,58.76,59.37,57.16,58.49,159576.179,2026-02-01 18:59
2026-02-01 16:00,58.49,59.73,56.55,58.33,136735.401,2026-02-01 22:59
2026-02-01 20:00,58.33,58.86,56.51,58.25,159730.458,2026-02-02 02:59
2026-02-02 00:00,58.24,59.5,58.22,59.12,89896.176,2026-02-02 06:59
2026-02-02 04:00,59.13,61.14,59.13,61.06,127665.942,2026-02-02 10:59
2026-02-02 08:00,61.05,61.17,59.85,59.92,76271.767,2026-02-02 14:59
2026-02-02 12:00,59.91,60.17,59.46,60.02,59368.761,2026-02-02 18:59
2026-02-02 16:00,60.02,60.16,58.94,59.97,55230.61,2026-02-02 22:59
2026-02-02 20:00,59.98,60.47,59.5,60.27,50640.976,2026-02-03 02:59
2026-02-03 00:00,60.27,60.49,59.35,59.86,76523.104,2026-02-03 06:59
2026-02-03 04:00,59.86,60.46,59.1,60.38,101892.234,2026-02-03 10:59
2026-02-03 08:00,60.39,60.4,56.87,59.29,181739.6,2026-02-03 14:59
2026-02-03 12:00,59.29,61.38,58.82,59.48,141453.885,2026-02-03 18:59
2026-02-03 16:00,59.47,60.78,59.22,60.74,61532.532,2026-02-03 22:59
2026-02-03 20:00,60.74,60.99,60.06,60.8,53938.802,2026-02-04 02:59
2026-02-04 00:00,60.8,60.89,59.64,60.1,63151.734,2026-02-04 06:59
2026-02-04 04:00,60.1,60.2,57.62,58.17,135816.739,2026-02-04 10:59
2026-02-04 08:00,58.18,59.65,57.07,59.47,219781.857,2026-02-04 14:59
2026-02-04 12:00,59.48,59.56,57.8,58.89,76490.063,2026-02-04 18:59
2026-02-04 16:00,58.89,59.49,58.05,58.22,107478.187,2026-02-04 22:59
2026-02-04 20:00,58.22,58.66,57.41,57.63,114098.636,2026-02-05 02:59
2026-02-05 00:00,57.64,58.63,55.7,56.49,126791.127,2026-02-05 06:59
2026-02-05 04:00,56.49,57.24,52.67,53.93,383763.829,2026-02-05 10:59
2026-02-05 08:00,53.93,54.96,52.25,52.43,329625.992,2026-02-05 14:59
2026-02-05 12:00,52.44,52.87,50.18,50.79,529187.264,2026-02-05 18:59
2026-02-05 16:00,50.79,51.34,45.07,50.08,844096.085,2026-02-05 22:59
2026-02-05 20:00,50.07,52.51,49.85,50.98,139082.214,2026-02-06 02:59
2026-02-06 00:00,50.98,52.64,50.56,52.54,168022.152,2026-02-06 06:59
2026-02-06 04:00,52.53,54.66,52.11,54.38,215401.785,2026-02-06 10:59
2026-02-06 08:00,54.37,56.47,54.18,55.2,214780.028,2026-02-06 14:59
2026-02-06 12:00,55.19,55.8,54.67,55.02,97230.098,2026-02-06 18:59
2026-02-06 16:00,55.01,55.08,54.18,54.9,89227.057,2026-02-06 22:59
2026-02-06 20:00,54.89,55.35,52.86,53.63,118954.874,2026-02-07 02:59
2026-02-07 00:00,53.62,54.12,53.03,53.24,82877.264,2026-02-07 06:59
2026-02-07 04:00,53.24,54.62,53.16,54.4,100643.882,2026-02-07 10:59
2026-02-07 08:00,54.4,56.0,54.14,55.46,374071.57,2026-02-07 14:59
2026-02-07 12:00,55.46,55.93,54.98,55.19,41297.849,2026-02-07 18:59
2026-02-07 16:00,55.19,55.57,54.93,55.03,34430.106,2026-02-07 22:59
2026-02-07 20:00,55.03,55.41,54.76,55.02,42022.187,2026-02-08 02:59
2026-02-08 00:00,55.03,55.88,54.88,55.48,71826.918,2026-02-08 06:59
2026-02-08 04:00,55.49,55.56,54.72,54.9,87543.103,2026-02-08 10:59
2026-02-08 08:00,54.89,55.0,53.65,54.96,77182.757,2026-02-08 14:59
2026-02-08 12:00,54.95,55.49,53.97,54.53,61166.766,2026-02-08 18:59
2026-02-08 16:00,54.53,55.03,54.12,54.95,44852.458,2026-02-08 22:59
2026-02-08 20:00,54.95,55.0,54.04,54.07,32587.678,2026-02-09 02:59
2026-02-09 00:00,54.08,54.11,52.36,53.02,103430.869,2026-02-09 06:59
2026-02-09 04:00,53.02,54.41,52.96,54.4,75790.699,2026-02-09 10:59
