Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-09-23 00:00,2.919,3.119,2.866,3.023,16787194.0,2025-09-24 19:59
2025-09-24 00:00,3.022,3.038,2.705,2.728,24370347.1,2025-09-25 19:59
2025-09-25 00:00,2.728,2.798,2.624,2.778,16306592.0,2025-09-26 19:59
2025-09-26 00:00,2.777,2.777,2.685,2.728,5432660.9,2025-09-27 19:59
2025-09-27 00:00,2.729,2.816,2.648,2.8,7185220.7,2025-09-28 19:59
2025-09-28 00:00,2.8,2.835,2.689,2.775,13893789.9,2025-09-29 19:59
2025-09-29 00:00,2.775,2.789,2.563,2.629,14050848.5,2025-09-30 19:59
2025-09-30 00:00,2.629,2.877,2.615,2.833,18952060.3,2025-10-01 19:59
2025-10-01 00:00,2.833,3.01,2.821,2.968,19961035.4,2025-10-02 19:59
2025-10-02 00:00,2.969,3.084,2.889,3.032,19818244.1,2025-10-03 19:59
2025-10-03 00:00,3.032,3.043,2.878,2.961,11900786.0,2025-10-04 19:59
2025-10-04 00:00,2.961,3.181,2.933,2.957,20625298.9,2025-10-05 19:59
2025-10-05 00:00,2.957,3.088,2.933,3.049,16702710.3,2025-10-06 19:59
2025-10-06 00:00,3.049,3.072,2.903,2.949,21389957.3,2025-10-07 19:59
2025-10-07 00:00,2.949,3.023,2.897,2.964,16391045.0,2025-10-08 19:59
2025-10-08 00:00,2.964,2.967,2.809,2.88,17356845.6,2025-10-09 19:59
2025-10-09 00:00,2.88,3.228,1.55,2.382,79343242.8,2025-10-10 19:59
2025-10-10 00:00,2.381,2.58,2.184,2.3,41322360.1,2025-10-11 19:59
2025-10-11 00:00,2.3,2.519,2.218,2.456,31877780.4,2025-10-12 19:59
2025-10-12 00:00,2.457,2.682,2.414,2.619,27963610.2,2025-10-13 19:59
2025-10-13 00:00,2.619,2.636,2.338,2.46,26681981.8,2025-10-14 19:59
2025-10-14 00:00,2.46,2.523,2.292,2.325,17626417.6,2025-10-15 19:59
2025-10-15 00:00,2.326,2.38,2.182,2.198,17022706.5,2025-10-16 19:59
2025-10-16 00:00,2.198,2.235,2.057,2.149,21241586.2,2025-10-17 19:59
2025-10-17 00:00,2.149,2.187,2.113,2.167,7803199.2,2025-10-18 19:59
2025-10-18 00:00,2.167,2.302,2.133,2.258,12666075.9,2025-10-19 19:59
2025-10-19 00:00,2.258,2.339,2.213,2.26,12387944.1,2025-10-20 19:59
2025-10-20 00:00,2.259,2.365,2.163,2.217,16180056.5,2025-10-21 19:59
2025-10-21 00:00,2.217,2.246,2.076,2.164,15653834.5,2025-10-22 19:59
2025-10-22 00:00,2.164,2.244,2.144,2.202,12817928.2,2025-10-23 19:59
2025-10-23 00:00,2.202,2.304,2.192,2.273,9832856.4,2025-10-24 19:59
2025-10-24 00:00,2.272,2.298,2.224,2.279,5940613.2,2025-10-25 19:59
2025-10-25 00:00,2.28,2.394,2.253,2.369,9916958.8,2025-10-26 19:59
2025-10-26 00:00,2.369,2.419,2.311,2.332,12093121.2,2025-10-27 19:59
2025-10-27 00:00,2.332,2.384,2.202,2.234,12817187.0,2025-10-28 19:59
2025-10-28 00:00,2.235,2.349,2.224,2.276,12876079.2,2025-10-29 19:59
2025-10-29 00:00,2.276,2.307,2.029,2.1,15100675.5,2025-10-30 19:59
2025-10-30 00:00,2.1,2.159,2.069,2.099,9598215.8,2025-10-31 19:59
2025-10-31 00:00,2.099,2.184,2.087,2.174,8180299.3,2025-11-01 19:59
2025-11-01 00:00,2.173,2.202,2.103,2.19,6743999.2,2025-11-02 18:59
2025-11-02 00:00,2.189,2.204,1.83,1.912,23835015.6,2025-11-03 18:59
2025-11-03 00:00,1.912,1.95,1.72,1.831,33860081.0,2025-11-04 18:59
2025-11-04 00:00,1.831,1.972,1.736,1.951,18470318.0,2025-11-05 18:59
2025-11-05 00:00,1.951,2.104,1.888,2.097,34925808.2,2025-11-06 18:59
2025-11-06 00:00,2.097,2.973,2.078,2.768,112307310.9,2025-11-07 18:59
2025-11-07 00:00,2.768,3.185,2.598,2.937,85739350.5,2025-11-08 18:59
2025-11-08 00:00,2.937,3.084,2.667,3.075,64467008.8,2025-11-09 18:59
2025-11-09 00:00,3.075,3.15,2.75,2.787,47100615.1,2025-11-10 18:59
