Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,1.312,1.313,1.305,1.306,153354.1,2026-03-14 13:59
2026-03-14 14:00,1.306,1.308,1.303,1.306,164073.9,2026-03-14 14:59
2026-03-14 15:00,1.306,1.308,1.304,1.306,132708.4,2026-03-14 15:59
2026-03-14 16:00,1.305,1.308,1.303,1.306,122517.2,2026-03-14 16:59
2026-03-14 17:00,1.306,1.312,1.303,1.309,191055.4,2026-03-14 17:59
2026-03-14 18:00,1.309,1.316,1.307,1.314,235166.6,2026-03-14 18:59
2026-03-14 19:00,1.315,1.328,1.314,1.325,573389.6,2026-03-14 19:59
2026-03-14 20:00,1.325,1.327,1.317,1.321,341463.3,2026-03-14 20:59
2026-03-14 21:00,1.32,1.348,1.317,1.346,1006208.4,2026-03-14 21:59
2026-03-14 22:00,1.346,1.364,1.341,1.361,878257.7,2026-03-14 22:59
2026-03-14 23:00,1.361,1.378,1.354,1.356,821811.4,2026-03-14 23:59
2026-03-15 00:00,1.356,1.366,1.341,1.345,616848.8,2026-03-15 00:59
2026-03-15 01:00,1.345,1.355,1.341,1.346,367448.5,2026-03-15 01:59
2026-03-15 02:00,1.346,1.346,1.331,1.336,442552.8,2026-03-15 02:59
2026-03-15 03:00,1.336,1.343,1.332,1.338,467078.7,2026-03-15 03:59
2026-03-15 04:00,1.338,1.348,1.336,1.348,302636.2,2026-03-15 04:59
2026-03-15 05:00,1.348,1.358,1.343,1.349,588735.1,2026-03-15 05:59
2026-03-15 06:00,1.349,1.353,1.344,1.351,166639.7,2026-03-15 06:59
2026-03-15 07:00,1.351,1.355,1.347,1.352,369872.6,2026-03-15 07:59
2026-03-15 08:00,1.352,1.365,1.344,1.356,477130.4,2026-03-15 08:59
2026-03-15 09:00,1.356,1.357,1.339,1.347,666128.3,2026-03-15 09:59
2026-03-15 10:00,1.347,1.349,1.325,1.336,691090.1,2026-03-15 10:59
2026-03-15 11:00,1.337,1.34,1.333,1.338,335445.7,2026-03-15 11:59
2026-03-15 12:00,1.337,1.344,1.334,1.335,320104.6,2026-03-15 12:59
2026-03-15 13:00,1.335,1.353,1.335,1.346,460211.6,2026-03-15 13:59
2026-03-15 14:00,1.347,1.349,1.333,1.336,481176.1,2026-03-15 14:59
2026-03-15 15:00,1.336,1.343,1.335,1.341,154264.6,2026-03-15 15:59
