Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,1.001,1.008,0.995,1.007,1274036.8,2026-02-19 16:00
2026-02-19 16:00,1.007,1.015,1.004,1.011,1499518.2,2026-02-19 20:00
2026-02-19 20:00,1.01,1.02,1.002,1.016,1460420.0,2026-02-20 00:00
2026-02-20 00:00,1.016,1.024,1.008,1.015,1660601.4,2026-02-20 04:00
2026-02-20 04:00,1.014,1.056,1.003,1.041,4836545.1,2026-02-20 08:00
2026-02-20 08:00,1.041,1.046,1.017,1.041,3659471.5,2026-02-20 12:00
2026-02-20 12:00,1.04,1.055,1.038,1.054,1311703.2,2026-02-20 16:00
2026-02-20 16:00,1.054,1.066,1.042,1.058,1604105.9,2026-02-20 20:00
2026-02-20 20:00,1.057,1.075,1.056,1.067,1789777.8,2026-02-21 00:00
2026-02-21 00:00,1.066,1.109,1.066,1.092,5295470.3,2026-02-21 04:00
2026-02-21 04:00,1.092,1.095,1.059,1.06,2971543.0,2026-02-21 08:00
2026-02-21 08:00,1.06,1.06,1.049,1.055,999645.2,2026-02-21 12:00
2026-02-21 12:00,1.054,1.063,1.05,1.059,1117316.4,2026-02-21 16:00
2026-02-21 16:00,1.058,1.058,1.027,1.032,2563259.6,2026-02-21 20:00
2026-02-21 20:00,1.031,1.037,1.025,1.032,1567204.1,2026-02-22 00:00
2026-02-22 00:00,1.032,1.034,1.024,1.03,806324.4,2026-02-22 04:00
2026-02-22 04:00,1.029,1.029,1.006,1.016,1669263.3,2026-02-22 08:00
2026-02-22 08:00,1.015,1.022,1.009,1.012,616821.0,2026-02-22 12:00
2026-02-22 12:00,1.012,1.024,1.004,1.022,759936.8,2026-02-22 16:00
2026-02-22 16:00,1.023,1.03,0.972,0.986,4718322.9,2026-02-22 20:00
2026-02-22 20:00,0.987,1.02,0.98,1.003,1633105.1,2026-02-23 00:00
2026-02-23 00:00,1.002,1.017,0.994,1.01,1000235.8,2026-02-23 04:00
2026-02-23 04:00,1.009,1.021,0.985,0.987,2649693.4,2026-02-23 08:00
2026-02-23 08:00,0.987,0.991,0.967,0.972,1750826.4,2026-02-23 12:00
2026-02-23 12:00,0.972,0.988,0.964,0.981,1287750.1,2026-02-23 16:00
2026-02-23 16:00,0.981,0.993,0.966,0.977,2577856.3,2026-02-23 20:00
2026-02-23 20:00,0.978,0.98,0.967,0.973,930648.7,2026-02-24 00:00
2026-02-24 00:00,0.973,0.978,0.969,0.972,572459.7,2026-02-24 04:00
2026-02-24 04:00,0.971,0.98,0.953,0.974,3202732.0,2026-02-24 08:00
2026-02-24 08:00,0.973,0.991,0.972,0.976,1434300.5,2026-02-24 12:00
2026-02-24 12:00,0.976,0.979,0.961,0.967,637929.1,2026-02-24 16:00
2026-02-24 16:00,0.967,1.014,0.965,0.987,3164550.6,2026-02-24 20:00
2026-02-24 20:00,0.988,0.994,0.977,0.993,1432138.5,2026-02-25 00:00
2026-02-25 00:00,0.994,1.03,0.991,1.029,2311814.6,2026-02-25 04:00
2026-02-25 04:00,1.029,1.114,1.029,1.105,10959441.1,2026-02-25 08:00
2026-02-25 08:00,1.105,1.2,1.105,1.199,8831040.4,2026-02-25 12:00
2026-02-25 12:00,1.199,1.26,1.163,1.172,11263474.4,2026-02-25 16:00
2026-02-25 16:00,1.172,1.184,1.151,1.16,4480634.9,2026-02-25 20:00
2026-02-25 20:00,1.159,1.172,1.125,1.132,2512810.1,2026-02-26 00:00
2026-02-26 00:00,1.132,1.143,1.119,1.122,2032416.6,2026-02-26 04:00
2026-02-26 04:00,1.121,1.16,1.108,1.12,3997041.7,2026-02-26 08:00
2026-02-26 08:00,1.12,1.123,1.084,1.117,3641497.8,2026-02-26 12:00
2026-02-26 12:00,1.118,1.134,1.106,1.127,1542898.8,2026-02-26 16:00
2026-02-26 16:00,1.128,1.131,1.108,1.128,3932316.0,2026-02-26 20:00
2026-02-26 20:00,1.129,1.147,1.128,1.14,1999599.5,2026-02-27 00:00
2026-02-27 00:00,1.141,1.145,1.12,1.123,3393153.6,2026-02-27 04:00
2026-02-27 04:00,1.123,1.123,1.099,1.108,6208952.0,2026-02-27 08:00
2026-02-27 08:00,1.107,1.113,1.082,1.087,2112134.2,2026-02-27 12:00
2026-02-27 12:00,1.086,1.096,1.073,1.094,1648017.0,2026-02-27 16:00
2026-02-27 16:00,1.094,1.097,1.08,1.085,1049055.9,2026-02-27 20:00
2026-02-27 20:00,1.085,1.085,1.028,1.057,4120824.3,2026-02-28 00:00
2026-02-28 00:00,1.057,1.07,1.038,1.044,3760583.0,2026-02-28 04:00
2026-02-28 04:00,1.045,1.077,1.044,1.067,3068014.6,2026-02-28 08:00
2026-02-28 08:00,1.066,1.136,1.064,1.125,5441592.2,2026-02-28 12:00
2026-02-28 12:00,1.126,1.174,1.125,1.172,7458297.0,2026-02-28 16:00
2026-02-28 16:00,1.172,1.196,1.128,1.152,9901587.2,2026-02-28 20:00
2026-02-28 20:00,1.152,1.205,1.139,1.203,4345555.3,2026-03-01 00:00
2026-03-01 00:00,1.203,1.211,1.146,1.148,3418054.3,2026-03-01 04:00
2026-03-01 04:00,1.148,1.183,1.137,1.152,2764405.0,2026-03-01 08:00
2026-03-01 08:00,1.153,1.161,1.128,1.13,2262022.6,2026-03-01 12:00
2026-03-01 12:00,1.13,1.159,1.112,1.15,3192624.2,2026-03-01 16:00
2026-03-01 16:00,1.15,1.201,1.142,1.195,4241187.7,2026-03-01 20:00
2026-03-01 20:00,1.195,1.226,1.174,1.203,12097275.1,2026-03-02 00:00
2026-03-02 00:00,1.204,1.216,1.17,1.202,6193118.7,2026-03-02 04:00
2026-03-02 04:00,1.202,1.323,1.2,1.307,15047678.2,2026-03-02 08:00
2026-03-02 08:00,1.307,1.341,1.278,1.329,11646579.6,2026-03-02 12:00
2026-03-02 12:00,1.329,1.414,1.311,1.36,13436400.6,2026-03-02 16:00
2026-03-02 16:00,1.36,1.424,1.346,1.42,12501893.0,2026-03-02 20:00
2026-03-02 20:00,1.421,1.455,1.335,1.343,14242883.5,2026-03-03 00:00
2026-03-03 00:00,1.343,1.412,1.319,1.331,12487232.5,2026-03-03 04:00
2026-03-03 04:00,1.331,1.399,1.318,1.391,10595731.0,2026-03-03 08:00
2026-03-03 08:00,1.392,1.412,1.349,1.365,6986320.7,2026-03-03 12:00
2026-03-03 12:00,1.365,1.374,1.341,1.358,2833111.2,2026-03-03 16:00
2026-03-03 16:00,1.358,1.416,1.348,1.395,6363566.6,2026-03-03 20:00
2026-03-03 20:00,1.395,1.397,1.337,1.367,6004058.6,2026-03-04 00:00
2026-03-04 00:00,1.366,1.412,1.335,1.338,9247055.4,2026-03-04 04:00
2026-03-04 04:00,1.338,1.375,1.326,1.358,7157573.5,2026-03-04 08:00
2026-03-04 08:00,1.358,1.359,1.303,1.325,6429665.6,2026-03-04 12:00
2026-03-04 12:00,1.325,1.329,1.302,1.311,2806487.3,2026-03-04 16:00
2026-03-04 16:00,1.312,1.312,1.245,1.28,4316236.1,2026-03-04 20:00
2026-03-04 20:00,1.279,1.297,1.268,1.295,2865765.9,2026-03-05 00:00
2026-03-05 00:00,1.296,1.334,1.28,1.291,5462156.5,2026-03-05 04:00
2026-03-05 04:00,1.291,1.305,1.264,1.27,4328483.7,2026-03-05 08:00
2026-03-05 08:00,1.271,1.286,1.249,1.262,4448193.1,2026-03-05 12:00
2026-03-05 12:00,1.263,1.288,1.259,1.271,1969677.6,2026-03-05 16:00
2026-03-05 16:00,1.271,1.3,1.261,1.283,3281975.4,2026-03-05 20:00
2026-03-05 20:00,1.283,1.284,1.256,1.269,2126547.7,2026-03-06 00:00
2026-03-06 00:00,1.269,1.273,1.246,1.252,1985231.5,2026-03-06 04:00
2026-03-06 04:00,1.253,1.271,1.226,1.23,5396883.9,2026-03-06 08:00
2026-03-06 08:00,1.23,1.245,1.216,1.232,3369623.0,2026-03-06 12:00
2026-03-06 12:00,1.231,1.245,1.225,1.227,1118424.5,2026-03-06 16:00
2026-03-06 16:00,1.226,1.247,1.225,1.235,1370139.8,2026-03-06 20:00
2026-03-06 20:00,1.234,1.236,1.209,1.215,996973.3,2026-03-07 00:00
2026-03-07 00:00,1.215,1.23,1.214,1.222,967493.4,2026-03-07 04:00
2026-03-07 04:00,1.222,1.239,1.216,1.222,1772047.8,2026-03-07 08:00
2026-03-07 08:00,1.221,1.233,1.204,1.21,1193862.8,2026-03-07 12:00
2026-03-07 12:00,1.21,1.22,1.208,1.214,820834.0,2026-03-07 16:00
2026-03-07 16:00,1.215,1.219,1.2,1.216,1240859.1,2026-03-07 20:00
2026-03-07 20:00,1.216,1.219,1.194,1.202,1285400.8,2026-03-08 00:00
2026-03-08 04:00,1.202,1.256,1.198,1.245,3616882.0,2026-03-08 04:00
2026-03-08 08:00,1.244,1.256,1.21,1.216,4197746.6,2026-03-08 08:00
2026-03-08 12:00,1.216,1.24,1.204,1.232,1707337.9,2026-03-08 12:00
2026-03-08 16:00,1.232,1.239,1.189,1.212,3255185.8,2026-03-08 16:00
2026-03-08 20:00,1.212,1.269,1.204,1.241,4428724.0,2026-03-08 20:00
2026-03-09 00:00,1.24,1.257,1.219,1.242,3505245.9,2026-03-09 00:00
2026-03-09 04:00,1.242,1.259,1.219,1.231,2886792.6,2026-03-09 04:00
2026-03-09 08:00,1.231,1.269,1.226,1.254,4710744.0,2026-03-09 08:00
2026-03-09 12:00,1.254,1.282,1.233,1.254,3980535.6,2026-03-09 12:00
2026-03-09 16:00,1.254,1.258,1.217,1.235,2955460.1,2026-03-09 16:00
2026-03-09 20:00,1.234,1.264,1.225,1.245,3548126.0,2026-03-09 20:00
2026-03-10 00:00,1.245,1.289,1.245,1.281,3325941.6,2026-03-10 00:00
2026-03-10 04:00,1.281,1.318,1.28,1.307,4693860.0,2026-03-10 04:00
2026-03-10 08:00,1.306,1.333,1.28,1.306,5125669.4,2026-03-10 08:00
2026-03-10 12:00,1.305,1.319,1.276,1.278,4776537.3,2026-03-10 12:00
2026-03-10 16:00,1.278,1.293,1.267,1.284,1952537.8,2026-03-10 16:00
2026-03-10 20:00,1.283,1.303,1.272,1.283,3292114.6,2026-03-10 20:00
2026-03-11 00:00,1.282,1.292,1.268,1.276,2188482.6,2026-03-11 00:00
2026-03-11 04:00,1.277,1.289,1.269,1.285,2147382.0,2026-03-11 04:00
2026-03-11 08:00,1.286,1.323,1.283,1.296,5869985.6,2026-03-11 08:00
2026-03-11 12:00,1.296,1.306,1.286,1.295,3085921.1,2026-03-11 12:00
2026-03-11 16:00,1.295,1.305,1.288,1.299,1419286.5,2026-03-11 16:00
2026-03-11 20:00,1.298,1.307,1.283,1.287,2725268.2,2026-03-11 20:00
2026-03-12 00:00,1.286,1.326,1.278,1.325,3159574.7,2026-03-12 00:00
2026-03-12 04:00,1.325,1.342,1.312,1.324,4208688.1,2026-03-12 04:00
2026-03-12 08:00,1.324,1.335,1.304,1.323,3162871.6,2026-03-12 08:00
2026-03-12 12:00,1.323,1.353,1.314,1.34,4867839.2,2026-03-12 12:00
2026-03-12 16:00,1.339,1.372,1.323,1.368,3034912.6,2026-03-12 16:00
2026-03-12 20:00,1.368,1.422,1.364,1.388,8573162.7,2026-03-12 20:00
2026-03-13 00:00,1.387,1.388,1.343,1.345,2946269.0,2026-03-13 00:00
2026-03-13 04:00,1.345,1.356,1.319,1.35,8319641.1,2026-03-13 04:00
2026-03-13 08:00,1.35,1.368,1.342,1.352,6064466.3,2026-03-13 08:00
2026-03-13 12:00,1.353,1.376,1.34,1.345,2955319.5,2026-03-13 12:00
2026-03-13 16:00,1.345,1.357,1.326,1.336,2244987.5,2026-03-13 16:00
2026-03-13 20:00,1.335,1.342,1.315,1.333,2167945.2,2026-03-13 20:00
2026-03-14 00:00,1.333,1.335,1.311,1.317,1600166.2,2026-03-14 00:00
2026-03-14 04:00,1.316,1.32,1.303,1.306,1160084.5,2026-03-14 04:00
2026-03-14 08:00,1.306,1.314,1.297,1.31,1609952.9,2026-03-14 08:00
2026-03-14 12:00,1.31,1.316,1.303,1.306,673710.1,2026-03-14 12:00
2026-03-14 16:00,1.305,1.328,1.303,1.325,1122128.8,2026-03-14 16:00
2026-03-14 20:00,1.325,1.378,1.317,1.356,3047740.8,2026-03-14 20:00
2026-03-15 00:00,1.356,1.366,1.331,1.338,1893928.8,2026-03-15 00:00
2026-03-15 04:00,1.338,1.358,1.336,1.352,1427883.6,2026-03-15 04:00
2026-03-15 08:00,1.352,1.365,1.325,1.338,2169794.5,2026-03-15 08:00
2026-03-15 12:00,1.337,1.353,1.333,1.341,1415756.9,2026-03-15 12:00
2026-03-15 16:00,1.341,1.363,1.338,1.35,2822459.6,2026-03-15 16:00
2026-03-15 20:00,1.351,1.406,1.34,1.389,4513867.2,2026-03-15 20:00
2026-03-16 00:00,1.39,1.419,1.389,1.393,3569505.4,2026-03-16 00:00
2026-03-16 04:00,1.394,1.407,1.37,1.392,2744251.0,2026-03-16 04:00
2026-03-16 08:00,1.392,1.438,1.389,1.414,7014119.0,2026-03-16 08:00
2026-03-16 12:00,1.415,1.45,1.413,1.446,4760398.1,2026-03-16 12:00
2026-03-16 16:00,1.446,1.51,1.442,1.49,6955591.6,2026-03-16 16:00
2026-03-16 20:00,1.491,1.51,1.449,1.456,6122730.6,2026-03-16 20:00
2026-03-17 00:00,1.456,1.468,1.424,1.462,3286786.4,2026-03-17 00:00
2026-03-17 04:00,1.462,1.476,1.44,1.444,3395543.3,2026-03-17 04:00
2026-03-17 08:00,1.443,1.462,1.431,1.461,2853317.3,2026-03-17 08:00
2026-03-17 12:00,1.46,1.466,1.452,1.454,1537792.8,2026-03-17 12:00
2026-03-17 16:00,1.454,1.467,1.451,1.452,992096.2,2026-03-17 16:00
2026-03-17 20:00,1.452,1.471,1.449,1.459,2020311.2,2026-03-17 20:00
2026-03-18 00:00,1.459,1.468,1.431,1.439,1904864.9,2026-03-18 00:00
2026-03-18 04:00,1.439,1.458,1.424,1.434,2867961.0,2026-03-18 04:00
2026-03-18 08:00,1.433,1.438,1.38,1.386,6369593.8,2026-03-18 08:00
2026-03-18 12:00,1.386,1.406,1.373,1.392,5295331.9,2026-03-18 12:00
2026-03-18 16:00,1.391,1.404,1.38,1.386,2454270.3,2026-03-18 16:00
2026-03-18 20:00,1.387,1.397,1.371,1.385,1543774.3,2026-03-18 20:00
2026-03-19 00:00,1.386,1.386,1.343,1.354,2582245.7,2026-03-19 00:00
2026-03-19 04:00,1.354,1.364,1.347,1.355,1136430.6,2026-03-19 04:00
2026-03-19 08:00,1.355,1.356,1.322,1.336,5064793.4,2026-03-19 08:00
2026-03-19 12:00,1.336,1.35,1.322,1.343,1819627.3,2026-03-19 12:00
2026-03-19 16:00,1.343,1.346,1.323,1.335,1963050.4,2026-03-19 16:00
2026-03-19 20:00,1.335,1.359,1.333,1.346,1935558.1,2026-03-19 20:00
2026-03-20 00:00,1.346,1.365,1.339,1.352,2622507.6,2026-03-20 00:00
2026-03-20 04:00,1.352,1.36,1.33,1.334,1835664.3,2026-03-20 04:00
2026-03-20 08:00,1.334,1.345,1.315,1.332,2933099.1,2026-03-20 08:00
2026-03-20 12:00,1.333,1.339,1.309,1.322,2138719.1,2026-03-20 12:00
2026-03-20 16:00,1.323,1.337,1.311,1.316,1534951.7,2026-03-20 16:00
2026-03-20 20:00,1.316,1.323,1.312,1.315,863136.1,2026-03-20 20:00
2026-03-21 00:00,1.314,1.321,1.313,1.316,677430.2,2026-03-21 00:00
