Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,0.886,0.888,0.883,0.888,3074.63,2026-03-19 12:44
2026-03-19 12:45,0.886,0.886,0.882,0.885,2634.57,2026-03-19 12:59
2026-03-19 13:00,0.883,0.885,0.882,0.884,600.19,2026-03-19 13:14
2026-03-19 13:15,0.884,0.894,0.883,0.889,13438.1,2026-03-19 13:29
2026-03-19 13:30,0.891,0.893,0.889,0.893,14083.99,2026-03-19 13:44
2026-03-19 13:45,0.893,0.898,0.891,0.898,14083.77,2026-03-19 13:59
2026-03-19 14:00,0.898,0.903,0.896,0.899,39629.08,2026-03-19 14:14
2026-03-19 14:15,0.899,0.901,0.897,0.899,13585.28,2026-03-19 14:29
2026-03-19 14:30,0.899,0.9,0.896,0.9,15830.81,2026-03-19 14:44
2026-03-19 14:45,0.899,0.903,0.898,0.903,12551.72,2026-03-19 14:59
2026-03-19 15:00,0.903,0.907,0.901,0.905,19170.6,2026-03-19 15:14
2026-03-19 15:15,0.904,0.905,0.902,0.902,2867.22,2026-03-19 15:29
2026-03-19 15:30,0.902,0.904,0.901,0.904,1180.77,2026-03-19 15:44
2026-03-19 15:45,0.906,0.906,0.903,0.904,1741.42,2026-03-19 15:59
2026-03-19 16:00,0.903,0.905,0.902,0.902,3404.13,2026-03-19 16:14
2026-03-19 16:15,0.904,0.905,0.903,0.903,1925.61,2026-03-19 16:29
2026-03-19 16:30,0.903,0.905,0.903,0.905,3150.92,2026-03-19 16:44
2026-03-19 16:45,0.905,0.905,0.901,0.901,6716.98,2026-03-19 16:59
2026-03-19 17:00,0.902,0.906,0.902,0.903,8800.09,2026-03-19 17:14
2026-03-19 17:15,0.905,0.905,0.903,0.903,467.51,2026-03-19 17:29
2026-03-19 17:30,0.905,0.905,0.902,0.904,1115.66,2026-03-19 17:44
2026-03-19 17:45,0.902,0.903,0.9,0.9,2145.17,2026-03-19 17:59
2026-03-19 18:00,0.902,0.906,0.899,0.904,7393.17,2026-03-19 18:14
2026-03-19 18:15,0.904,0.906,0.903,0.904,3116.08,2026-03-19 18:29
2026-03-19 18:30,0.904,0.904,0.901,0.903,2121.94,2026-03-19 18:44
2026-03-19 18:45,0.903,0.903,0.9,0.902,2364.9,2026-03-19 18:59
2026-03-19 19:00,0.903,0.903,0.902,0.902,576.95,2026-03-19 19:14
2026-03-19 19:15,0.902,0.904,0.9,0.902,222.25,2026-03-19 19:29
2026-03-19 19:30,0.9,0.901,0.897,0.898,948.31,2026-03-19 19:44
2026-03-19 19:45,0.898,0.9,0.898,0.898,705.25,2026-03-19 19:59
2026-03-19 20:00,0.9,0.902,0.898,0.9,3327.2,2026-03-19 20:14
2026-03-19 20:15,0.902,0.903,0.9,0.902,1317.39,2026-03-19 20:29
2026-03-19 20:30,0.902,0.902,0.9,0.9,203.22,2026-03-19 20:44
2026-03-19 20:45,0.902,0.904,0.9,0.902,1653.29,2026-03-19 20:59
2026-03-19 21:00,0.904,0.906,0.904,0.905,906.78,2026-03-19 21:14
2026-03-19 21:15,0.905,0.906,0.904,0.906,205.65,2026-03-19 21:29
2026-03-19 21:30,0.904,0.905,0.903,0.903,1144.01,2026-03-19 21:44
2026-03-19 21:45,0.903,0.905,0.903,0.905,365.8,2026-03-19 21:59
2026-03-19 22:00,0.905,0.905,0.903,0.904,1252.34,2026-03-19 22:14
2026-03-19 22:15,0.904,0.904,0.901,0.901,638.83,2026-03-19 22:29
2026-03-19 22:30,0.903,0.904,0.9,0.902,1889.92,2026-03-19 22:44
2026-03-19 22:45,0.904,0.904,0.903,0.904,516.31,2026-03-19 22:59
2026-03-19 23:00,0.903,0.911,0.902,0.908,29061.47,2026-03-19 23:14
2026-03-19 23:15,0.91,0.914,0.909,0.911,19401.9,2026-03-19 23:29
2026-03-19 23:30,0.913,0.914,0.91,0.91,4333.46,2026-03-19 23:44
2026-03-19 23:45,0.91,0.911,0.908,0.911,2040.66,2026-03-19 23:59
2026-03-20 00:00,0.91,0.912,0.91,0.911,399.92,2026-03-20 00:14
2026-03-20 00:15,0.911,0.916,0.91,0.911,6765.83,2026-03-20 00:29
2026-03-20 00:30,0.911,0.913,0.908,0.909,17131.88,2026-03-20 00:44
2026-03-20 00:45,0.908,0.91,0.908,0.908,59.57,2026-03-20 00:59
2026-03-20 01:00,0.911,0.911,0.91,0.911,527.16,2026-03-20 01:14
2026-03-20 01:15,0.91,0.912,0.904,0.904,10489.3,2026-03-20 01:29
2026-03-20 01:30,0.906,0.906,0.904,0.904,344.13,2026-03-20 01:44
2026-03-20 01:45,0.904,0.904,0.903,0.903,712.54,2026-03-20 01:59
2026-03-20 02:00,0.902,0.903,0.901,0.903,3401.93,2026-03-20 02:14
2026-03-20 02:15,0.901,0.903,0.901,0.903,661.78,2026-03-20 02:29
2026-03-20 02:30,0.901,0.903,0.899,0.9,2125.18,2026-03-20 02:44
2026-03-20 02:45,0.9,0.902,0.898,0.9,5101.9,2026-03-20 02:59
2026-03-20 03:00,0.899,0.9,0.897,0.897,2660.72,2026-03-20 03:14
2026-03-20 03:15,0.9,0.901,0.897,0.898,4782.72,2026-03-20 03:29
2026-03-20 03:30,0.897,0.902,0.897,0.901,4277.29,2026-03-20 03:44
2026-03-20 03:45,0.903,0.903,0.901,0.901,1506.09,2026-03-20 03:59
2026-03-20 04:00,0.903,0.91,0.9,0.907,8574.63,2026-03-20 04:14
2026-03-20 04:15,0.907,0.912,0.905,0.911,13995.68,2026-03-20 04:29
2026-03-20 04:30,0.909,0.909,0.905,0.905,4671.49,2026-03-20 04:44
2026-03-20 04:45,0.905,0.907,0.905,0.907,426.88,2026-03-20 04:59
2026-03-20 05:00,0.905,0.907,0.902,0.902,2959.71,2026-03-20 05:14
2026-03-20 05:15,0.902,0.902,0.896,0.898,7858.77,2026-03-20 05:29
2026-03-20 05:30,0.899,0.9,0.897,0.899,1163.5,2026-03-20 05:44
2026-03-20 05:45,0.899,0.899,0.896,0.896,2233.9,2026-03-20 05:59
2026-03-20 06:00,0.898,0.9,0.896,0.898,8653.47,2026-03-20 06:14
2026-03-20 06:15,0.897,0.899,0.895,0.898,2728.47,2026-03-20 06:29
2026-03-20 06:30,0.898,0.899,0.895,0.895,14854.84,2026-03-20 06:44
2026-03-20 06:45,0.895,0.899,0.894,0.898,29229.4,2026-03-20 06:59
2026-03-20 07:00,0.898,0.902,0.898,0.902,5948.63,2026-03-20 07:14
2026-03-20 07:15,0.901,0.904,0.9,0.904,4040.41,2026-03-20 07:29
2026-03-20 07:30,0.902,0.904,0.9,0.902,14126.04,2026-03-20 07:44
2026-03-20 07:45,0.902,0.902,0.898,0.898,4331.66,2026-03-20 07:59
2026-03-20 08:00,0.9,0.905,0.898,0.905,5395.27,2026-03-20 08:14
2026-03-20 08:15,0.903,0.903,0.899,0.899,2375.41,2026-03-20 08:29
2026-03-20 08:30,0.899,0.9,0.895,0.895,1670.26,2026-03-20 08:44
2026-03-20 08:45,0.897,0.897,0.895,0.895,2784.55,2026-03-20 08:59
2026-03-20 09:00,0.895,0.899,0.894,0.897,4042.72,2026-03-20 09:14
2026-03-20 09:15,0.897,0.899,0.895,0.895,4625.32,2026-03-20 09:29
2026-03-20 09:30,0.897,0.898,0.892,0.898,5557.93,2026-03-20 09:44
2026-03-20 09:45,0.898,0.898,0.892,0.892,2411.7,2026-03-20 09:59
2026-03-20 10:00,0.894,0.895,0.89,0.89,14380.13,2026-03-20 10:14
2026-03-20 10:15,0.892,0.893,0.888,0.89,8990.62,2026-03-20 10:29
2026-03-20 10:30,0.89,0.894,0.89,0.894,1471.79,2026-03-20 10:44
2026-03-20 10:45,0.894,0.896,0.891,0.892,7801.37,2026-03-20 10:59
2026-03-20 11:00,0.892,0.894,0.887,0.891,11940.6,2026-03-20 11:14
2026-03-20 11:15,0.892,0.897,0.892,0.897,9427.25,2026-03-20 11:29
2026-03-20 11:30,0.895,0.899,0.894,0.899,7424.01,2026-03-20 11:44
2026-03-20 11:45,0.899,0.899,0.896,0.897,3966.89,2026-03-20 11:59
2026-03-20 12:00,0.899,0.901,0.898,0.901,2805.43,2026-03-20 12:14
2026-03-20 12:15,0.899,0.902,0.899,0.9,3866.52,2026-03-20 12:29
2026-03-20 12:30,0.9,0.9,0.896,0.898,1176.23,2026-03-20 12:44
2026-03-20 12:45,0.896,0.898,0.896,0.897,446.79,2026-03-20 12:59
2026-03-20 13:00,0.898,0.9,0.897,0.898,2284.89,2026-03-20 13:14
2026-03-20 13:15,0.898,0.9,0.894,0.898,24709.66,2026-03-20 13:29
