Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,0.899,0.9,0.897,0.897,2571.9,2026-03-14 13:59
2026-03-14 14:00,0.896,0.898,0.896,0.898,2207.02,2026-03-14 14:59
2026-03-14 15:00,0.896,0.899,0.896,0.897,2313.15,2026-03-14 15:59
2026-03-14 16:00,0.899,0.9,0.897,0.898,3847.0,2026-03-14 16:59
2026-03-14 17:00,0.9,0.904,0.897,0.901,12304.47,2026-03-14 17:59
2026-03-14 18:00,0.901,0.904,0.9,0.903,6537.32,2026-03-14 18:59
2026-03-14 19:00,0.901,0.906,0.901,0.904,6158.76,2026-03-14 19:59
2026-03-14 20:00,0.906,0.906,0.901,0.904,4693.07,2026-03-14 20:59
2026-03-14 21:00,0.904,0.904,0.9,0.9,2716.65,2026-03-14 21:59
2026-03-14 22:00,0.902,0.909,0.901,0.905,12159.57,2026-03-14 22:59
2026-03-14 23:00,0.906,0.907,0.902,0.903,5649.05,2026-03-14 23:59
2026-03-15 00:00,0.905,0.906,0.904,0.906,1881.07,2026-03-15 00:59
2026-03-15 01:00,0.904,0.909,0.903,0.903,9327.93,2026-03-15 01:59
2026-03-15 02:00,0.905,0.907,0.901,0.903,13784.8,2026-03-15 02:59
2026-03-15 03:00,0.904,0.906,0.899,0.901,10000.35,2026-03-15 03:59
2026-03-15 04:00,0.902,0.905,0.901,0.905,5710.71,2026-03-15 04:59
2026-03-15 05:00,0.906,0.909,0.898,0.901,33621.73,2026-03-15 05:59
2026-03-15 06:00,0.901,0.903,0.899,0.899,13446.39,2026-03-15 06:59
2026-03-15 07:00,0.901,0.903,0.898,0.901,10608.72,2026-03-15 07:59
2026-03-15 08:00,0.901,0.908,0.899,0.903,36604.9,2026-03-15 08:59
2026-03-15 09:00,0.905,0.905,0.898,0.899,20818.92,2026-03-15 09:59
2026-03-15 10:00,0.9,0.9,0.897,0.897,13067.89,2026-03-15 10:59
2026-03-15 11:00,0.897,0.904,0.896,0.902,23402.15,2026-03-15 11:59
2026-03-15 12:00,0.901,0.907,0.899,0.904,57866.97,2026-03-15 12:59
2026-03-15 13:00,0.904,0.909,0.898,0.902,37661.0,2026-03-15 13:59
2026-03-15 14:00,0.902,0.902,0.898,0.9,21552.59,2026-03-15 14:59
2026-03-15 15:00,0.9,0.901,0.897,0.898,15990.04,2026-03-15 15:59
2026-03-15 16:00,0.898,0.906,0.898,0.898,22086.94,2026-03-15 16:59
2026-03-15 17:00,0.9,0.907,0.9,0.904,6971.07,2026-03-15 17:59
2026-03-15 18:00,0.906,0.917,0.902,0.914,41205.4,2026-03-15 18:59
2026-03-15 19:00,0.916,0.924,0.913,0.917,39758.35,2026-03-15 19:59
2026-03-15 20:00,0.918,0.921,0.914,0.917,13009.3,2026-03-15 20:59
2026-03-15 21:00,0.917,0.919,0.914,0.916,10358.22,2026-03-15 21:59
2026-03-15 22:00,0.916,0.918,0.915,0.915,4484.16,2026-03-15 22:59
2026-03-15 23:00,0.917,0.933,0.915,0.927,108555.17,2026-03-15 23:59
2026-03-16 00:00,0.926,0.934,0.925,0.925,45728.91,2026-03-16 00:59
2026-03-16 01:00,0.927,0.933,0.92,0.931,81836.25,2026-03-16 01:59
2026-03-16 02:00,0.931,0.932,0.923,0.923,27081.38,2026-03-16 02:59
2026-03-16 03:00,0.925,0.928,0.915,0.916,31987.68,2026-03-16 03:59
2026-03-16 04:00,0.918,0.921,0.911,0.911,35406.67,2026-03-16 04:59
2026-03-16 05:00,0.913,0.914,0.907,0.911,55015.48,2026-03-16 05:59
2026-03-16 06:00,0.914,0.917,0.911,0.915,21211.64,2026-03-16 06:59
2026-03-16 07:00,0.915,0.922,0.908,0.909,53148.46,2026-03-16 07:59
2026-03-16 08:00,0.909,0.916,0.908,0.912,35851.31,2026-03-16 08:59
2026-03-16 09:00,0.912,0.92,0.91,0.914,40058.57,2026-03-16 09:59
2026-03-16 10:00,0.914,0.923,0.904,0.919,152169.06,2026-03-16 10:59
2026-03-16 11:00,0.919,0.932,0.917,0.923,105361.67,2026-03-16 11:59
2026-03-16 12:00,0.921,0.931,0.921,0.929,55234.86,2026-03-16 12:59
2026-03-16 13:00,0.927,0.931,0.924,0.929,17093.14,2026-03-16 13:59
2026-03-16 14:00,0.929,0.934,0.928,0.929,40514.94,2026-03-16 14:59
