Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,0.864,0.869,0.85,0.862,103791.59,2026-02-19 18:59
2026-02-19 16:00,0.864,0.87,0.86,0.865,73903.1,2026-02-19 22:59
2026-02-19 20:00,0.865,0.866,0.856,0.858,67199.63,2026-02-20 02:59
2026-02-20 00:00,0.859,0.873,0.857,0.867,160342.03,2026-02-20 06:59
2026-02-20 04:00,0.867,0.879,0.854,0.879,261141.56,2026-02-20 10:59
2026-02-20 08:00,0.879,0.886,0.867,0.877,158369.81,2026-02-20 14:59
2026-02-20 12:00,0.879,0.879,0.867,0.878,97620.21,2026-02-20 18:59
2026-02-20 16:00,0.878,0.9,0.875,0.89,206115.87,2026-02-20 22:59
2026-02-20 20:00,0.89,0.9,0.874,0.899,159025.07,2026-02-21 02:59
2026-02-21 00:00,0.899,0.912,0.89,0.901,179319.57,2026-02-21 06:59
2026-02-21 04:00,0.903,0.909,0.894,0.898,113866.64,2026-02-21 10:59
2026-02-21 08:00,0.898,0.907,0.89,0.9,95861.92,2026-02-21 14:59
2026-02-21 12:00,0.9,0.928,0.892,0.897,169347.38,2026-02-21 18:59
2026-02-21 16:00,0.897,0.907,0.893,0.902,45999.66,2026-02-21 22:59
2026-02-21 20:00,0.904,0.905,0.89,0.891,95138.65,2026-02-22 02:59
2026-02-22 00:00,0.893,0.899,0.878,0.89,170274.43,2026-02-22 06:59
2026-02-22 04:00,0.892,0.895,0.832,0.85,555991.33,2026-02-22 10:59
2026-02-22 08:00,0.852,0.862,0.847,0.856,53859.26,2026-02-22 14:59
2026-02-22 12:00,0.855,0.874,0.846,0.866,121311.28,2026-02-22 18:59
2026-02-22 16:00,0.867,0.872,0.83,0.835,191113.93,2026-02-22 22:59
2026-02-22 20:00,0.835,0.851,0.831,0.845,154166.98,2026-02-23 02:59
2026-02-23 00:00,0.845,0.858,0.825,0.845,156128.67,2026-02-23 06:59
2026-02-23 04:00,0.845,0.865,0.841,0.855,223693.01,2026-02-23 10:59
2026-02-23 08:00,0.856,0.86,0.831,0.835,248979.63,2026-02-23 14:59
2026-02-23 12:00,0.835,0.836,0.821,0.831,145812.72,2026-02-23 18:59
2026-02-23 16:00,0.829,0.834,0.816,0.82,122633.68,2026-02-23 22:59
2026-02-23 20:00,0.82,0.821,0.809,0.814,136922.87,2026-02-24 02:59
2026-02-24 00:00,0.812,0.83,0.81,0.818,253703.42,2026-02-24 06:59
2026-02-24 04:00,0.818,0.821,0.794,0.809,365728.46,2026-02-24 10:59
2026-02-24 08:00,0.809,0.833,0.809,0.825,207686.41,2026-02-24 14:59
2026-02-24 12:00,0.825,0.826,0.814,0.819,62611.3,2026-02-24 18:59
2026-02-24 16:00,0.819,0.849,0.814,0.834,64236.07,2026-02-24 22:59
2026-02-24 20:00,0.834,0.838,0.824,0.831,62395.22,2026-02-25 02:59
2026-02-25 00:00,0.831,0.842,0.829,0.839,110666.92,2026-02-25 06:59
2026-02-25 04:00,0.839,0.872,0.835,0.868,212601.48,2026-02-25 10:59
2026-02-25 08:00,0.866,0.888,0.864,0.887,283097.63,2026-02-25 14:59
2026-02-25 12:00,0.887,0.908,0.866,0.873,293874.47,2026-02-25 18:59
2026-02-25 16:00,0.873,0.877,0.858,0.858,105299.6,2026-02-25 22:59
2026-02-25 20:00,0.858,0.86,0.849,0.85,119990.85,2026-02-26 02:59
2026-02-26 00:00,0.852,0.863,0.846,0.857,124967.51,2026-02-26 06:59
2026-02-26 04:00,0.857,0.879,0.853,0.856,330906.08,2026-02-26 10:59
