Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-20 05:00,80.08,80.35,79.82,79.94,177.712,2026-03-20 05:14
2026-03-20 05:15,79.93,80.05,79.3,79.6,613.078,2026-03-20 05:29
2026-03-20 05:30,79.63,80.04,79.56,79.85,349.759,2026-03-20 05:44
2026-03-20 05:45,79.84,80.04,79.37,79.95,642.341,2026-03-20 05:59
2026-03-20 06:00,79.96,80.44,79.66,79.72,704.167,2026-03-20 06:14
2026-03-20 06:15,79.72,79.97,79.48,79.58,242.671,2026-03-20 06:29
2026-03-20 06:30,79.59,80.1,79.59,79.92,289.481,2026-03-20 06:44
2026-03-20 06:45,79.95,80.3,79.8,80.12,242.081,2026-03-20 06:59
2026-03-20 07:00,80.11,80.87,80.09,80.52,347.452,2026-03-20 07:14
2026-03-20 07:15,80.51,80.55,80.29,80.43,156.641,2026-03-20 07:29
2026-03-20 07:30,80.43,80.75,80.21,80.56,269.099,2026-03-20 07:44
2026-03-20 07:45,80.56,81.16,80.47,80.85,824.517,2026-03-20 07:59
2026-03-20 08:00,80.85,81.46,80.82,81.44,584.548,2026-03-20 08:14
2026-03-20 08:15,81.44,81.48,80.72,80.99,1302.251,2026-03-20 08:29
2026-03-20 08:30,81.0,81.59,80.98,81.45,771.313,2026-03-20 08:44
2026-03-20 08:45,81.45,81.58,81.03,81.46,506.265,2026-03-20 08:59
2026-03-20 09:00,81.47,81.66,80.88,80.99,594.546,2026-03-20 09:14
2026-03-20 09:15,80.98,81.41,80.9,81.2,241.737,2026-03-20 09:29
2026-03-20 09:30,81.21,81.21,79.46,79.77,1069.119,2026-03-20 09:44
2026-03-20 09:45,79.76,80.19,79.76,80.02,240.997,2026-03-20 09:59
2026-03-20 10:00,80.0,80.53,79.8,80.01,579.088,2026-03-20 10:14
2026-03-20 10:15,80.0,80.26,79.28,80.11,662.985,2026-03-20 10:29
2026-03-20 10:30,80.12,80.32,79.52,79.58,596.426,2026-03-20 10:44
2026-03-20 10:45,79.59,79.77,79.12,79.28,368.362,2026-03-20 10:59
2026-03-20 11:00,79.29,79.57,79.08,79.57,245.794,2026-03-20 11:14
2026-03-20 11:15,79.56,79.69,79.11,79.26,373.349,2026-03-20 11:29
2026-03-20 11:30,79.25,79.62,78.74,78.88,1018.118,2026-03-20 11:44
2026-03-20 11:45,78.87,79.38,78.67,79.35,458.724,2026-03-20 11:59
2026-03-20 12:00,79.34,79.48,79.3,79.35,99.634,2026-03-20 12:14
2026-03-20 12:15,79.34,79.34,78.87,78.95,136.388,2026-03-20 12:29
2026-03-20 12:30,78.93,79.16,78.75,79.0,119.137,2026-03-20 12:44
2026-03-20 12:45,78.99,79.1,78.67,78.9,148.119,2026-03-20 12:59
2026-03-20 13:00,78.9,78.94,78.28,78.36,307.351,2026-03-20 13:14
2026-03-20 13:15,78.35,78.35,77.21,77.21,1342.875,2026-03-20 13:29
2026-03-20 13:30,77.21,77.43,76.9,77.16,683.483,2026-03-20 13:44
2026-03-20 13:45,77.16,77.48,77.05,77.44,245.308,2026-03-20 13:59
