Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 14:00,66.5,67.25,66.4,66.68,2092.767,2026-03-14 14:59
2026-03-14 15:00,66.61,67.21,66.46,66.59,1322.787,2026-03-14 15:59
2026-03-14 16:00,66.61,66.73,66.26,66.46,189.523,2026-03-14 16:59
2026-03-14 17:00,66.46,66.93,66.35,66.68,411.42,2026-03-14 17:59
2026-03-14 18:00,66.7,67.17,66.7,67.0,717.142,2026-03-14 18:59
2026-03-14 19:00,67.02,67.26,66.95,67.04,1091.856,2026-03-14 19:59
2026-03-14 20:00,67.03,67.28,66.43,66.51,1047.75,2026-03-14 20:59
2026-03-14 21:00,66.52,66.87,66.4,66.83,684.802,2026-03-14 21:59
2026-03-14 22:00,66.84,67.43,66.83,67.23,756.87,2026-03-14 22:59
2026-03-14 23:00,67.24,67.47,66.67,66.84,248.483,2026-03-14 23:59
2026-03-15 00:00,66.8,66.87,66.41,66.46,310.454,2026-03-15 00:59
2026-03-15 01:00,66.47,66.78,66.27,66.29,300.089,2026-03-15 01:59
2026-03-15 02:00,66.3,66.51,66.15,66.41,234.471,2026-03-15 02:59
2026-03-15 03:00,66.41,66.99,66.34,66.97,422.017,2026-03-15 03:59
2026-03-15 04:00,66.98,67.26,66.8,67.16,514.18,2026-03-15 04:59
2026-03-15 05:00,67.17,67.25,66.84,66.86,165.887,2026-03-15 05:59
2026-03-15 06:00,66.85,67.09,66.65,66.74,394.34,2026-03-15 06:59
2026-03-15 07:00,66.72,66.89,66.29,66.42,802.882,2026-03-15 07:59
2026-03-15 08:00,66.47,66.66,66.3,66.3,569.121,2026-03-15 08:59
2026-03-15 09:00,66.3,66.67,65.53,66.38,1252.242,2026-03-15 09:59
2026-03-15 10:00,66.37,66.73,66.36,66.66,365.766,2026-03-15 10:59
2026-03-15 11:00,66.65,66.65,66.06,66.24,428.405,2026-03-15 11:59
2026-03-15 12:00,66.25,67.0,66.09,66.28,566.042,2026-03-15 12:59
2026-03-15 13:00,66.29,66.83,66.23,66.72,309.966,2026-03-15 13:59
2026-03-15 14:00,66.75,66.96,65.9,65.98,1054.78,2026-03-15 14:59
2026-03-15 15:00,66.01,66.35,65.97,66.35,184.359,2026-03-15 15:59
2026-03-15 16:00,66.3,66.51,66.11,66.42,408.698,2026-03-15 16:59
2026-03-15 17:00,66.41,67.31,66.3,67.13,662.536,2026-03-15 17:59
2026-03-15 18:00,67.15,67.35,66.59,66.99,1615.124,2026-03-15 18:59
2026-03-15 19:00,66.99,67.55,66.69,67.05,611.629,2026-03-15 19:59
2026-03-15 20:00,67.08,70.0,67.08,68.84,5288.079,2026-03-15 20:59
2026-03-15 21:00,68.79,69.42,67.95,68.31,2862.394,2026-03-15 21:59
2026-03-15 22:00,68.19,68.49,67.02,67.7,3547.219,2026-03-15 22:59
2026-03-15 23:00,67.56,68.64,67.56,68.35,662.564,2026-03-15 23:59
2026-03-16 00:00,68.35,68.51,68.17,68.25,565.255,2026-03-16 00:59
2026-03-16 01:00,68.22,68.46,68.01,68.35,434.793,2026-03-16 01:59
2026-03-16 02:00,68.34,68.4,67.84,68.29,374.153,2026-03-16 02:59
2026-03-16 03:00,68.25,68.25,67.87,68.06,132.651,2026-03-16 03:59
2026-03-16 04:00,68.04,68.22,67.54,67.79,490.644,2026-03-16 04:59
2026-03-16 05:00,67.8,68.44,67.8,68.32,178.597,2026-03-16 05:59
2026-03-16 06:00,68.31,68.49,67.8,68.43,1763.272,2026-03-16 06:59
2026-03-16 07:00,68.48,68.48,67.88,68.03,659.071,2026-03-16 07:59
2026-03-16 08:00,68.03,68.36,67.88,67.97,641.769,2026-03-16 08:59
2026-03-16 09:00,68.01,68.61,67.83,68.16,772.206,2026-03-16 09:59
2026-03-16 10:00,68.17,68.46,67.55,68.41,2189.652,2026-03-16 10:59
2026-03-16 11:00,68.41,68.61,67.96,68.05,2377.526,2026-03-16 11:59
