Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,1.64,1.64,1.633,1.639,19596.01,2026-03-19 12:44
2026-03-19 12:45,1.639,1.639,1.632,1.638,7465.24,2026-03-19 12:59
2026-03-19 13:00,1.638,1.64,1.631,1.633,17228.59,2026-03-19 13:14
2026-03-19 13:15,1.633,1.651,1.629,1.647,56534.65,2026-03-19 13:29
2026-03-19 13:30,1.648,1.649,1.64,1.642,13599.4,2026-03-19 13:44
2026-03-19 13:45,1.641,1.655,1.64,1.655,16585.49,2026-03-19 13:59
2026-03-19 14:00,1.654,1.657,1.652,1.654,28932.52,2026-03-19 14:14
2026-03-19 14:15,1.653,1.656,1.649,1.649,30243.76,2026-03-19 14:29
2026-03-19 14:30,1.649,1.65,1.644,1.646,18715.43,2026-03-19 14:44
2026-03-19 14:45,1.644,1.65,1.642,1.648,17935.26,2026-03-19 14:59
2026-03-19 15:00,1.648,1.68,1.648,1.674,131656.7,2026-03-19 15:14
2026-03-19 15:15,1.674,1.683,1.663,1.666,44497.55,2026-03-19 15:29
2026-03-19 15:30,1.665,1.672,1.66,1.671,32675.6,2026-03-19 15:44
2026-03-19 15:45,1.67,1.67,1.661,1.664,10468.78,2026-03-19 15:59
2026-03-19 16:00,1.664,1.667,1.66,1.664,10053.68,2026-03-19 16:14
2026-03-19 16:15,1.664,1.67,1.66,1.663,34890.37,2026-03-19 16:29
2026-03-19 16:30,1.663,1.668,1.661,1.665,9050.59,2026-03-19 16:44
2026-03-19 16:45,1.664,1.67,1.664,1.668,20623.29,2026-03-19 16:59
2026-03-19 17:00,1.668,1.682,1.668,1.678,40660.48,2026-03-19 17:14
2026-03-19 17:15,1.678,1.678,1.674,1.677,17510.34,2026-03-19 17:29
2026-03-19 17:30,1.678,1.68,1.674,1.675,16206.57,2026-03-19 17:44
2026-03-19 17:45,1.674,1.679,1.673,1.678,53401.46,2026-03-19 17:59
2026-03-19 18:00,1.677,1.691,1.675,1.689,78034.72,2026-03-19 18:14
2026-03-19 18:15,1.689,1.699,1.688,1.688,77969.3,2026-03-19 18:29
2026-03-19 18:30,1.688,1.688,1.668,1.672,75465.59,2026-03-19 18:44
2026-03-19 18:45,1.672,1.685,1.672,1.685,21381.2,2026-03-19 18:59
2026-03-19 19:00,1.686,1.694,1.686,1.687,53332.37,2026-03-19 19:14
2026-03-19 19:15,1.687,1.687,1.682,1.684,25049.47,2026-03-19 19:29
2026-03-19 19:30,1.685,1.686,1.67,1.672,46777.45,2026-03-19 19:44
2026-03-19 19:45,1.671,1.681,1.67,1.679,18697.53,2026-03-19 19:59
2026-03-19 20:00,1.678,1.7,1.677,1.698,73864.31,2026-03-19 20:14
2026-03-19 20:15,1.698,1.703,1.688,1.688,49102.67,2026-03-19 20:29
2026-03-19 20:30,1.688,1.69,1.679,1.685,48703.27,2026-03-19 20:44
2026-03-19 20:45,1.687,1.697,1.687,1.693,54145.06,2026-03-19 20:59
2026-03-19 21:00,1.693,1.708,1.693,1.701,87160.52,2026-03-19 21:14
2026-03-19 21:15,1.7,1.7,1.691,1.697,30037.31,2026-03-19 21:29
2026-03-19 21:30,1.698,1.714,1.698,1.71,58425.0,2026-03-19 21:44
2026-03-19 21:45,1.709,1.719,1.706,1.709,73789.45,2026-03-19 21:59
2026-03-19 22:00,1.708,1.72,1.706,1.717,46040.35,2026-03-19 22:14
2026-03-19 22:15,1.716,1.716,1.708,1.708,23018.03,2026-03-19 22:29
2026-03-19 22:30,1.708,1.719,1.702,1.718,32701.78,2026-03-19 22:44
2026-03-19 22:45,1.718,1.724,1.713,1.713,54668.43,2026-03-19 22:59
2026-03-19 23:00,1.712,1.728,1.71,1.724,30196.34,2026-03-19 23:14
2026-03-19 23:15,1.724,1.745,1.724,1.74,78011.69,2026-03-19 23:29
2026-03-19 23:30,1.739,1.748,1.733,1.733,81721.65,2026-03-19 23:44
2026-03-19 23:45,1.733,1.747,1.731,1.745,74340.96,2026-03-19 23:59
2026-03-20 00:00,1.745,1.77,1.741,1.769,79797.84,2026-03-20 00:14
2026-03-20 00:15,1.769,1.769,1.751,1.76,51369.17,2026-03-20 00:29
2026-03-20 00:30,1.761,1.764,1.747,1.747,62390.68,2026-03-20 00:44
2026-03-20 00:45,1.747,1.768,1.747,1.767,80216.49,2026-03-20 00:59
2026-03-20 01:00,1.767,1.792,1.767,1.789,162367.66,2026-03-20 01:14
2026-03-20 01:15,1.789,1.8,1.781,1.79,203115.02,2026-03-20 01:29
2026-03-20 01:30,1.79,1.809,1.785,1.806,201382.0,2026-03-20 01:44
2026-03-20 01:45,1.807,1.81,1.792,1.796,123198.26,2026-03-20 01:59
2026-03-20 02:00,1.794,1.808,1.784,1.807,108818.25,2026-03-20 02:14
2026-03-20 02:15,1.806,1.806,1.785,1.785,65527.6,2026-03-20 02:29
2026-03-20 02:30,1.786,1.789,1.761,1.764,137570.98,2026-03-20 02:44
2026-03-20 02:45,1.764,1.77,1.756,1.763,74241.43,2026-03-20 02:59
2026-03-20 03:00,1.761,1.761,1.737,1.739,97478.77,2026-03-20 03:14
2026-03-20 03:15,1.739,1.748,1.735,1.737,25064.04,2026-03-20 03:29
2026-03-20 03:30,1.737,1.754,1.737,1.752,31830.51,2026-03-20 03:44
2026-03-20 03:45,1.753,1.754,1.746,1.75,22152.98,2026-03-20 03:59
2026-03-20 04:00,1.75,1.782,1.745,1.772,101512.29,2026-03-20 04:14
2026-03-20 04:15,1.772,1.774,1.738,1.739,109536.06,2026-03-20 04:29
2026-03-20 04:30,1.738,1.747,1.732,1.746,30938.33,2026-03-20 04:44
2026-03-20 04:45,1.745,1.755,1.745,1.751,19636.69,2026-03-20 04:59
2026-03-20 05:00,1.751,1.752,1.739,1.741,36398.97,2026-03-20 05:14
2026-03-20 05:15,1.74,1.742,1.722,1.724,109705.5,2026-03-20 05:29
2026-03-20 05:30,1.724,1.738,1.724,1.736,24073.55,2026-03-20 05:44
2026-03-20 05:45,1.735,1.737,1.725,1.73,8824.47,2026-03-20 05:59
2026-03-20 06:00,1.73,1.731,1.713,1.716,37629.59,2026-03-20 06:14
2026-03-20 06:15,1.715,1.72,1.709,1.718,95471.29,2026-03-20 06:29
2026-03-20 06:30,1.717,1.727,1.717,1.719,39595.84,2026-03-20 06:44
2026-03-20 06:45,1.718,1.721,1.713,1.716,71816.32,2026-03-20 06:59
2026-03-20 07:00,1.715,1.722,1.715,1.721,25943.34,2026-03-20 07:14
2026-03-20 07:15,1.721,1.721,1.71,1.712,25292.22,2026-03-20 07:29
2026-03-20 07:30,1.711,1.714,1.702,1.707,72282.87,2026-03-20 07:44
2026-03-20 07:45,1.708,1.712,1.702,1.707,132606.54,2026-03-20 07:59
2026-03-20 08:00,1.707,1.719,1.707,1.711,46065.6,2026-03-20 08:14
2026-03-20 08:15,1.712,1.713,1.702,1.707,18550.36,2026-03-20 08:29
2026-03-20 08:30,1.707,1.713,1.705,1.71,24996.42,2026-03-20 08:44
2026-03-20 08:45,1.71,1.711,1.703,1.705,36998.11,2026-03-20 08:59
2026-03-20 09:00,1.705,1.713,1.702,1.712,24415.65,2026-03-20 09:14
2026-03-20 09:15,1.711,1.724,1.71,1.716,78306.47,2026-03-20 09:29
2026-03-20 09:30,1.716,1.718,1.697,1.714,66411.52,2026-03-20 09:44
2026-03-20 09:45,1.713,1.714,1.699,1.704,43501.89,2026-03-20 09:59
2026-03-20 10:00,1.702,1.718,1.695,1.705,48755.12,2026-03-20 10:14
2026-03-20 10:15,1.704,1.713,1.697,1.708,60072.62,2026-03-20 10:29
2026-03-20 10:30,1.708,1.718,1.708,1.711,51984.55,2026-03-20 10:44
2026-03-20 10:45,1.711,1.716,1.696,1.701,28448.29,2026-03-20 10:59
2026-03-20 11:00,1.701,1.713,1.696,1.711,47220.07,2026-03-20 11:14
2026-03-20 11:15,1.712,1.717,1.7,1.706,61079.01,2026-03-20 11:29
2026-03-20 11:30,1.706,1.71,1.703,1.705,15388.98,2026-03-20 11:44
2026-03-20 11:45,1.705,1.709,1.7,1.706,19811.95,2026-03-20 11:59
2026-03-20 12:00,1.706,1.715,1.705,1.71,27566.81,2026-03-20 12:14
2026-03-20 12:15,1.71,1.713,1.703,1.713,25844.99,2026-03-20 12:29
2026-03-20 12:30,1.711,1.712,1.699,1.704,18124.12,2026-03-20 12:44
