Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,1.79,1.803,1.786,1.786,129092.04,2026-03-14 13:59
2026-03-14 14:00,1.786,1.789,1.78,1.782,52248.16,2026-03-14 14:59
2026-03-14 15:00,1.781,1.786,1.775,1.781,44996.21,2026-03-14 15:59
2026-03-14 16:00,1.78,1.81,1.779,1.801,141641.42,2026-03-14 16:59
2026-03-14 17:00,1.8,1.817,1.786,1.814,204233.1,2026-03-14 17:59
2026-03-14 18:00,1.814,1.828,1.811,1.823,256054.81,2026-03-14 18:59
2026-03-14 19:00,1.825,1.903,1.825,1.879,895069.66,2026-03-14 19:59
2026-03-14 20:00,1.878,1.888,1.831,1.87,595978.55,2026-03-14 20:59
2026-03-14 21:00,1.868,1.945,1.868,1.918,1048788.18,2026-03-14 21:59
2026-03-14 22:00,1.917,1.95,1.912,1.919,562662.77,2026-03-14 22:59
2026-03-14 23:00,1.919,1.938,1.906,1.921,475685.59,2026-03-14 23:59
2026-03-15 00:00,1.921,1.93,1.871,1.882,426717.84,2026-03-15 00:59
2026-03-15 01:00,1.881,1.882,1.825,1.83,316878.1,2026-03-15 01:59
2026-03-15 02:00,1.83,1.831,1.811,1.829,273004.36,2026-03-15 02:59
2026-03-15 03:00,1.828,1.838,1.806,1.814,231227.61,2026-03-15 03:59
2026-03-15 04:00,1.815,1.827,1.815,1.823,269719.74,2026-03-15 04:59
2026-03-15 05:00,1.822,1.839,1.821,1.826,342489.24,2026-03-15 05:59
2026-03-15 06:00,1.826,1.847,1.823,1.84,165523.65,2026-03-15 06:59
2026-03-15 07:00,1.84,1.865,1.835,1.863,290601.62,2026-03-15 07:59
2026-03-15 08:00,1.863,1.875,1.847,1.872,350851.15,2026-03-15 08:59
2026-03-15 09:00,1.873,1.883,1.831,1.848,374270.03,2026-03-15 09:59
2026-03-15 10:00,1.846,1.86,1.82,1.844,318630.47,2026-03-15 10:59
2026-03-15 11:00,1.844,1.856,1.826,1.848,247390.99,2026-03-15 11:59
2026-03-15 12:00,1.847,1.868,1.839,1.85,184395.72,2026-03-15 12:59
2026-03-15 13:00,1.85,1.876,1.844,1.868,157091.71,2026-03-15 13:59
2026-03-15 14:00,1.868,1.904,1.858,1.883,370098.6,2026-03-15 14:59
2026-03-15 15:00,1.884,1.889,1.857,1.861,281235.49,2026-03-15 15:59
2026-03-15 16:00,1.86,1.893,1.86,1.877,269185.14,2026-03-15 16:59
2026-03-15 17:00,1.878,1.914,1.873,1.9,249693.23,2026-03-15 17:59
2026-03-15 18:00,1.899,1.908,1.866,1.907,351637.0,2026-03-15 18:59
2026-03-15 19:00,1.908,1.914,1.874,1.897,442283.67,2026-03-15 19:59
2026-03-15 20:00,1.896,1.909,1.88,1.883,243031.87,2026-03-15 20:59
2026-03-15 21:00,1.883,1.889,1.87,1.878,153496.54,2026-03-15 21:59
2026-03-15 22:00,1.878,1.888,1.861,1.863,135941.82,2026-03-15 22:59
2026-03-15 23:00,1.863,1.889,1.848,1.877,471804.9,2026-03-15 23:59
