Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,1.398,1.406,1.386,1.401,240280.16,2026-02-19 18:59
2026-02-19 16:00,1.401,1.442,1.398,1.43,424161.2,2026-02-19 22:59
2026-02-19 20:00,1.43,1.477,1.418,1.475,592275.07,2026-02-20 02:59
2026-02-20 00:00,1.474,1.51,1.447,1.455,1141498.89,2026-02-20 06:59
2026-02-20 04:00,1.454,1.51,1.415,1.503,1249641.08,2026-02-20 10:59
2026-02-20 08:00,1.503,1.529,1.474,1.488,1701686.39,2026-02-20 14:59
2026-02-20 12:00,1.487,1.51,1.472,1.506,721046.9,2026-02-20 18:59
2026-02-20 16:00,1.505,1.546,1.48,1.494,871188.62,2026-02-20 22:59
2026-02-20 20:00,1.494,1.508,1.481,1.487,360710.65,2026-02-21 02:59
2026-02-21 00:00,1.487,1.509,1.483,1.488,256343.69,2026-02-21 06:59
2026-02-21 04:00,1.489,1.507,1.473,1.484,422094.89,2026-02-21 10:59
2026-02-21 08:00,1.484,1.491,1.475,1.479,239695.92,2026-02-21 14:59
2026-02-21 12:00,1.478,1.482,1.457,1.461,208258.39,2026-02-21 18:59
2026-02-21 16:00,1.46,1.46,1.417,1.437,793344.67,2026-02-21 22:59
2026-02-21 20:00,1.436,1.452,1.432,1.44,248302.69,2026-02-22 02:59
2026-02-22 00:00,1.439,1.442,1.422,1.434,158728.46,2026-02-22 06:59
2026-02-22 04:00,1.433,1.433,1.396,1.409,342592.92,2026-02-22 10:59
2026-02-22 08:00,1.409,1.41,1.39,1.395,254504.36,2026-02-22 14:59
2026-02-22 12:00,1.395,1.419,1.387,1.417,299316.22,2026-02-22 18:59
2026-02-22 16:00,1.417,1.422,1.35,1.364,833284.76,2026-02-22 22:59
2026-02-22 20:00,1.364,1.4,1.358,1.383,337730.13,2026-02-23 02:59
2026-02-23 00:00,1.383,1.421,1.378,1.407,322632.49,2026-02-23 06:59
2026-02-23 04:00,1.407,1.431,1.376,1.378,587155.13,2026-02-23 10:59
2026-02-23 08:00,1.378,1.391,1.353,1.364,433479.81,2026-02-23 14:59
2026-02-23 12:00,1.363,1.395,1.358,1.377,272536.17,2026-02-23 18:59
2026-02-23 16:00,1.376,1.393,1.347,1.366,418331.23,2026-02-23 22:59
2026-02-23 20:00,1.366,1.369,1.34,1.349,328417.29,2026-02-24 02:59
2026-02-24 00:00,1.349,1.361,1.335,1.348,349179.16,2026-02-24 06:59
