Open_Time_NY,Open,High,Low,Close
2026-02-19 15:00:00,80.46,81.99,80.32,81.71
2026-02-19 19:00:00,81.82,82.33,81.82,82.33
2026-02-19 23:00:00,82.38,83.27,82.38,83.03
2026-02-20 03:00:00,83.0,83.78,82.56,83.58
2026-02-20 07:00:00,83.48,84.58,83.37,83.51
2026-02-20 11:00:00,83.56,84.07,81.88,83.7
2026-02-20 15:00:00,84.06,85.14,83.05,84.67
2026-02-20 19:00:00,84.72,85.04,84.23,84.48
2026-02-20 23:00:00,84.59,84.93,84.28,84.28
2026-02-21 03:00:00,84.28,84.66,84.05,84.16
2026-02-21 07:00:00,84.16,85.49,84.16,85.36
2026-02-21 11:00:00,85.34,86.6,85.09,86.6
2026-02-21 15:00:00,86.59,86.59,85.96,86.33
2026-02-21 19:00:00,86.22,86.22,85.23,85.23
2026-02-21 23:00:00,85.2,85.41,84.8,85.03
2026-02-22 03:00:00,85.02,85.45,84.86,85.42
2026-02-22 07:00:00,85.3,85.38,84.92,85.22
2026-02-22 11:00:00,85.23,85.23,83.2,83.56
2026-02-22 15:00:00,83.52,83.52,82.88,83.3
2026-02-22 19:00:00,83.27,83.54,82.56,82.62
2026-02-22 23:00:00,82.74,82.74,77.54,77.78
2026-02-23 03:00:00,77.75,79.44,77.32,79.41
2026-02-23 07:00:00,79.4,80.44,78.65,80.04
2026-02-23 11:00:00,80.01,80.9,79.57,79.57
2026-02-23 15:00:00,79.48,79.5,77.65,78.16
2026-02-23 19:00:00,78.2,78.85,77.74,77.74
2026-02-23 23:00:00,77.76,78.42,76.74,76.74
2026-02-24 03:00:00,76.77,77.11,76.38,76.68
2026-02-24 07:00:00,76.75,77.07,76.37,76.7
2026-02-24 11:00:00,76.7,77.28,76.1,77.17
2026-02-24 15:00:00,77.21,78.32,77.21,78.29
2026-02-24 19:00:00,78.3,79.51,78.3,79.16
2026-02-24 23:00:00,79.08,82.51,78.84,81.79
2026-02-25 03:00:00,81.72,82.3,81.17,82.08
2026-02-25 07:00:00,82.1,83.03,82.01,83.03
2026-02-25 11:00:00,83.14,86.12,83.03,86.12
2026-02-25 15:00:00,86.05,89.42,86.05,89.42
2026-02-25 19:00:00,89.49,90.65,87.32,87.55
2026-02-25 23:00:00,87.79,89.09,87.74,88.07
2026-02-26 03:00:00,87.96,88.88,87.35,87.35
2026-02-26 07:00:00,87.36,88.49,86.72,86.78
2026-02-26 11:00:00,86.8,87.9,85.72,86.48
2026-02-26 15:00:00,86.42,86.66,84.54,86.22
2026-02-26 19:00:00,86.39,86.75,85.83,85.92
2026-02-26 23:00:00,85.89,87.36,85.4,87.36
2026-02-27 03:00:00,87.65,88.1,86.99,87.24
2026-02-27 07:00:00,87.3,87.74,83.55,83.6
2026-02-27 11:00:00,83.63,83.63,82.27,82.87
2026-02-27 15:00:00,82.71,82.71,81.34,81.49
2026-02-27 19:00:00,81.54,81.97,81.1,81.97
2026-02-27 23:00:00,81.87,82.16,81.66,81.73
2026-02-28 03:00:00,81.72,81.83,77.47,78.81
2026-02-28 07:00:00,78.74,79.41,78.0,79.06
2026-02-28 11:00:00,78.77,81.2,78.77,80.75
2026-02-28 15:00:00,80.88,82.57,80.7,82.4
2026-02-28 19:00:00,82.27,85.1,82.17,84.43
2026-02-28 23:00:00,84.4,88.43,84.4,87.82
2026-03-01 03:00:00,88.05,88.12,86.32,86.6
2026-03-01 07:00:00,86.6,86.72,84.95,85.15
2026-03-01 11:00:00,85.19,86.53,84.68,86.28
2026-03-01 15:00:00,86.04,86.04,83.17,83.17
2026-03-01 19:00:00,83.27,83.68,81.86,83.6
2026-03-01 23:00:00,83.58,85.81,83.58,84.95
2026-03-02 03:00:00,84.75,84.75,82.63,83.03
2026-03-02 07:00:00,82.94,84.07,82.63,84.05
2026-03-02 11:00:00,83.92,88.57,83.0,88.5
2026-03-02 15:00:00,88.52,89.58,86.98,87.58
2026-03-02 19:00:00,87.63,88.08,86.63,86.69
