Open_Time_NY,Open,High,Low,Close
2025-12-21 19:00:00,1.49,1.5,1.45,1.46
2025-12-25 19:00:00,1.46,1.57,1.44,1.5
2025-12-29 19:00:00,1.5,1.69,1.5,1.57
2026-01-02 19:00:00,1.57,1.9,1.55,1.8
2026-01-06 19:00:00,1.8,1.94,1.78,1.9
2026-01-10 19:00:00,1.9,1.91,1.72,1.74
2026-01-14 19:00:00,1.74,1.81,1.71,1.76
2026-01-18 19:00:00,1.76,1.8,1.67,1.67
2026-01-22 19:00:00,1.67,1.67,1.52,1.54
2026-01-26 19:00:00,1.54,1.55,1.49,1.52
2026-01-30 19:00:00,1.52,1.54,1.41,1.46
2026-02-03 19:00:00,1.46,1.46,1.3,1.39
2026-02-07 19:00:00,1.4,1.45,1.16,1.42
2026-02-11 19:00:00,1.42,1.43,1.29,1.32
2026-02-15 19:00:00,1.31,1.51,1.31,1.47
2026-02-19 19:00:00,1.47,1.47,1.36,1.36
2026-02-23 19:00:00,1.36,1.38,1.31,1.34
2026-02-27 19:00:00,1.34,1.36,1.27,1.3
2026-03-03 19:00:00,1.3,1.3,1.19,1.25
2026-03-07 19:00:00,1.25,1.39,1.24,1.32
2026-03-11 20:00:00,1.32,1.36,1.29,1.33
2026-03-15 20:00:00,1.33,1.34,1.29,1.3
2026-03-19 20:00:00,1.31,1.36,1.22,1.22
