Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,3.365,3.379,3.36,3.367,27614.149,2026-03-19 12:44
2026-03-19 12:45,3.366,3.366,3.346,3.347,36811.122,2026-03-19 12:59
2026-03-19 13:00,3.347,3.356,3.336,3.339,26369.226,2026-03-19 13:14
2026-03-19 13:15,3.338,3.355,3.323,3.351,80633.632,2026-03-19 13:29
2026-03-19 13:30,3.351,3.352,3.342,3.351,9269.225,2026-03-19 13:44
2026-03-19 13:45,3.352,3.369,3.348,3.359,7988.892,2026-03-19 13:59
2026-03-19 14:00,3.358,3.364,3.355,3.359,3740.126,2026-03-19 14:14
2026-03-19 14:15,3.359,3.36,3.339,3.339,10826.521,2026-03-19 14:29
2026-03-19 14:30,3.339,3.34,3.307,3.315,63892.506,2026-03-19 14:44
2026-03-19 14:45,3.315,3.324,3.302,3.321,58658.689,2026-03-19 14:59
2026-03-19 15:00,3.321,3.347,3.318,3.345,26674.496,2026-03-19 15:14
2026-03-19 15:15,3.345,3.356,3.334,3.34,47599.234,2026-03-19 15:29
2026-03-19 15:30,3.339,3.349,3.335,3.347,9991.666,2026-03-19 15:44
2026-03-19 15:45,3.346,3.356,3.334,3.337,32123.569,2026-03-19 15:59
2026-03-19 16:00,3.337,3.339,3.318,3.337,34219.67,2026-03-19 16:14
2026-03-19 16:15,3.336,3.354,3.336,3.343,50371.527,2026-03-19 16:29
2026-03-19 16:30,3.343,3.36,3.343,3.351,47918.353,2026-03-19 16:44
2026-03-19 16:45,3.35,3.358,3.35,3.356,10120.648,2026-03-19 16:59
2026-03-19 17:00,3.356,3.379,3.354,3.375,63233.379,2026-03-19 17:14
2026-03-19 17:15,3.375,3.375,3.36,3.363,14212.237,2026-03-19 17:29
2026-03-19 17:30,3.363,3.375,3.358,3.369,20504.921,2026-03-19 17:44
2026-03-19 17:45,3.369,3.376,3.365,3.368,13981.582,2026-03-19 17:59
2026-03-19 18:00,3.368,3.384,3.368,3.377,27191.953,2026-03-19 18:14
2026-03-19 18:15,3.376,3.381,3.372,3.376,26012.984,2026-03-19 18:29
2026-03-19 18:30,3.376,3.377,3.354,3.361,42897.076,2026-03-19 18:44
2026-03-19 18:45,3.36,3.367,3.355,3.364,20244.558,2026-03-19 18:59
2026-03-19 19:00,3.365,3.371,3.354,3.358,42526.224,2026-03-19 19:14
2026-03-19 19:15,3.357,3.357,3.337,3.352,27497.931,2026-03-19 19:29
2026-03-19 19:30,3.351,3.355,3.334,3.337,18160.617,2026-03-19 19:44
2026-03-19 19:45,3.338,3.349,3.331,3.349,39047.083,2026-03-19 19:59
2026-03-19 20:00,3.35,3.369,3.35,3.366,28081.25,2026-03-19 20:14
2026-03-19 20:15,3.365,3.376,3.355,3.372,27493.832,2026-03-19 20:29
2026-03-19 20:30,3.372,3.375,3.359,3.359,38863.228,2026-03-19 20:44
2026-03-19 20:45,3.36,3.362,3.353,3.357,16940.168,2026-03-19 20:59
2026-03-19 21:00,3.356,3.36,3.349,3.359,18039.64,2026-03-19 21:14
2026-03-19 21:15,3.358,3.358,3.344,3.354,21235.57,2026-03-19 21:29
2026-03-19 21:30,3.355,3.375,3.355,3.373,18256.549,2026-03-19 21:44
2026-03-19 21:45,3.373,3.376,3.362,3.363,17021.108,2026-03-19 21:59
2026-03-19 22:00,3.363,3.372,3.357,3.369,4634.355,2026-03-19 22:14
2026-03-19 22:15,3.369,3.377,3.362,3.376,18508.97,2026-03-19 22:29
2026-03-19 22:30,3.376,3.394,3.366,3.393,13202.332,2026-03-19 22:44
2026-03-19 22:45,3.393,3.44,3.391,3.418,99141.711,2026-03-19 22:59
2026-03-19 23:00,3.418,3.436,3.408,3.423,63189.117,2026-03-19 23:14
2026-03-19 23:15,3.422,3.446,3.416,3.44,63769.927,2026-03-19 23:29
2026-03-19 23:30,3.439,3.446,3.4,3.401,41815.252,2026-03-19 23:44
2026-03-19 23:45,3.401,3.408,3.391,3.402,37650.483,2026-03-19 23:59
2026-03-20 00:00,3.403,3.407,3.396,3.407,10097.091,2026-03-20 00:14
2026-03-20 00:15,3.406,3.406,3.389,3.401,16852.361,2026-03-20 00:29
2026-03-20 00:30,3.4,3.4,3.369,3.369,27711.794,2026-03-20 00:44
2026-03-20 00:45,3.369,3.385,3.367,3.384,13271.669,2026-03-20 00:59
2026-03-20 01:00,3.383,3.39,3.379,3.39,41949.929,2026-03-20 01:14
