Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-12-21 00:00,5.072,5.128,4.938,4.982,1831659.854,2025-12-22 18:59
2025-12-22 00:00,4.982,4.998,4.893,4.949,1272777.301,2025-12-23 18:59
2025-12-23 00:00,4.949,4.963,4.747,4.917,2225831.039,2025-12-24 18:59
2025-12-24 00:00,4.917,4.986,4.86,4.876,797958.394,2025-12-25 18:59
2025-12-25 00:00,4.875,4.978,4.854,4.9,1184198.064,2025-12-26 18:59
2025-12-26 00:00,4.9,4.98,4.877,4.964,991131.338,2025-12-27 18:59
2025-12-27 00:00,4.965,5.012,4.88,4.929,783024.844,2025-12-28 18:59
2025-12-28 00:00,4.93,5.046,4.9,4.914,1675214.782,2025-12-29 18:59
2025-12-29 00:00,4.914,4.97,4.878,4.908,714096.052,2025-12-30 18:59
2025-12-30 00:00,4.908,4.971,4.786,4.801,1712186.254,2025-12-31 18:59
2025-12-31 00:00,4.802,4.92,4.681,4.891,2546955.725,2026-01-01 18:59
2026-01-01 00:00,4.891,5.073,4.833,5.051,3137820.967,2026-01-02 18:59
2026-01-02 00:00,5.05,5.64,4.949,5.262,8675671.373,2026-01-03 18:59
2026-01-03 00:00,5.261,5.514,5.226,5.419,7700758.495,2026-01-04 18:59
2026-01-04 00:00,5.419,5.683,5.362,5.619,7326637.38,2026-01-05 18:59
2026-01-05 00:00,5.619,5.655,5.297,5.481,4723473.25,2026-01-06 18:59
2026-01-06 00:00,5.481,5.544,5.312,5.365,3823690.389,2026-01-07 18:59
2026-01-07 00:00,5.364,5.437,5.245,5.359,3069967.436,2026-01-08 18:59
2026-01-08 00:00,5.36,5.504,5.286,5.436,2633022.335,2026-01-09 18:59
2026-01-09 00:00,5.437,5.49,5.367,5.405,1223803.795,2026-01-10 18:59
2026-01-10 00:00,5.405,5.694,5.382,5.449,2732970.782,2026-01-11 18:59
2026-01-11 00:00,5.45,5.531,5.304,5.347,1988852.73,2026-01-12 18:59
2026-01-12 00:00,5.347,5.684,5.345,5.666,2668672.376,2026-01-13 18:59
2026-01-13 00:00,5.666,5.784,5.545,5.559,3073560.821,2026-01-14 18:59
2026-01-14 00:00,5.559,5.567,5.316,5.364,2442122.838,2026-01-15 18:59
2026-01-15 00:00,5.363,5.434,5.294,5.386,1527159.173,2026-01-16 18:59
2026-01-16 00:00,5.387,5.468,5.268,5.318,1409723.877,2026-01-17 18:59
2026-01-17 00:00,5.318,5.34,5.055,5.088,2857246.548,2026-01-18 18:59
2026-01-18 00:00,5.088,5.088,4.618,5.013,3961054.041,2026-01-19 18:59
2026-01-19 00:00,5.014,5.019,4.781,4.834,1638918.921,2026-01-20 18:59
2026-01-20 00:00,4.835,4.997,4.805,4.939,2184205.79,2026-01-21 18:59
2026-01-21 00:00,4.939,4.979,4.829,4.845,1238584.812,2026-01-22 18:59
2026-01-22 00:00,4.846,4.921,4.813,4.855,1048812.839,2026-01-23 18:59
2026-01-23 00:00,4.856,5.005,4.845,4.939,1357606.881,2026-01-24 18:59
2026-01-24 00:00,4.938,4.948,4.689,4.765,2043148.655,2026-01-25 18:59
