Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,4.039,4.15,4.018,4.052,799082.51,2026-03-14 13:59
2026-03-14 14:00,4.051,4.074,4.008,4.028,372749.954,2026-03-14 14:59
2026-03-14 15:00,4.027,4.037,3.972,4.026,433772.551,2026-03-14 15:59
2026-03-14 16:00,4.025,4.027,3.963,3.976,362435.079,2026-03-14 16:59
2026-03-14 17:00,3.977,4.049,3.961,4.03,358894.268,2026-03-14 17:59
2026-03-14 18:00,4.031,4.069,3.987,4.032,733539.789,2026-03-14 18:59
2026-03-14 19:00,4.031,4.038,3.997,4.012,371474.78,2026-03-14 19:59
2026-03-14 20:00,4.011,4.123,3.975,4.056,837327.383,2026-03-14 20:59
2026-03-14 21:00,4.056,4.14,4.013,4.067,723039.354,2026-03-14 21:59
2026-03-14 22:00,4.067,4.082,4.039,4.046,495221.23,2026-03-14 22:59
2026-03-14 23:00,4.046,4.068,3.984,3.996,515815.209,2026-03-14 23:59
2026-03-15 00:00,3.996,3.996,3.885,3.964,782071.283,2026-03-15 00:59
2026-03-15 01:00,3.963,3.994,3.857,3.927,1186177.381,2026-03-15 01:59
2026-03-15 02:00,3.928,3.967,3.914,3.965,332103.883,2026-03-15 02:59
2026-03-15 03:00,3.965,4.06,3.954,4.037,444953.631,2026-03-15 03:59
2026-03-15 04:00,4.038,4.095,3.997,4.006,520564.303,2026-03-15 04:59
2026-03-15 05:00,4.006,4.054,3.999,4.043,343489.994,2026-03-15 05:59
2026-03-15 06:00,4.043,4.091,4.006,4.012,661932.031,2026-03-15 06:59
2026-03-15 07:00,4.012,4.022,3.972,4.005,266341.289,2026-03-15 07:59
2026-03-15 08:00,4.004,4.055,3.991,3.998,424083.455,2026-03-15 08:59
2026-03-15 09:00,3.997,4.004,3.921,3.976,514700.763,2026-03-15 09:59
2026-03-15 10:00,3.977,3.998,3.933,3.976,342596.838,2026-03-15 10:59
2026-03-15 11:00,3.976,3.986,3.931,3.958,317023.574,2026-03-15 11:59
2026-03-15 12:00,3.958,4.066,3.932,4.058,625348.849,2026-03-15 12:59
2026-03-15 13:00,4.058,4.099,4.0,4.038,663453.238,2026-03-15 13:59
2026-03-15 14:00,4.038,4.083,3.963,3.993,503684.472,2026-03-15 14:59
2026-03-15 15:00,3.993,4.15,3.991,4.099,796394.492,2026-03-15 15:59
2026-03-15 16:00,4.099,4.135,4.051,4.054,376006.823,2026-03-15 16:59
2026-03-15 17:00,4.055,4.118,4.043,4.053,319964.582,2026-03-15 17:59
2026-03-15 18:00,4.053,4.073,4.0,4.017,384052.475,2026-03-15 18:59
