Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-02-19 12:00,3.412,3.426,3.389,3.42,106718.143,2026-02-19 18:59
2026-02-19 16:00,3.42,3.548,3.418,3.526,346668.493,2026-02-19 22:59
2026-02-19 20:00,3.526,3.553,3.49,3.525,458304.314,2026-02-20 02:59
2026-02-20 00:00,3.525,3.805,3.515,3.712,3220033.034,2026-02-20 06:59
2026-02-20 04:00,3.712,3.712,3.459,3.567,1681069.042,2026-02-20 10:59
2026-02-20 08:00,3.568,3.586,3.481,3.567,702938.227,2026-02-20 14:59
2026-02-20 12:00,3.566,3.592,3.539,3.572,376547.795,2026-02-20 18:59
2026-02-20 16:00,3.571,3.572,3.507,3.536,355173.729,2026-02-20 22:59
2026-02-20 20:00,3.537,3.537,3.504,3.519,245631.921,2026-02-21 02:59
2026-02-21 00:00,3.52,3.542,3.51,3.523,317031.767,2026-02-21 06:59
2026-02-21 04:00,3.523,3.545,3.505,3.523,196259.049,2026-02-21 10:59
2026-02-21 08:00,3.522,3.522,3.477,3.497,311009.826,2026-02-21 14:59
2026-02-21 12:00,3.497,3.499,3.459,3.469,180068.573,2026-02-21 18:59
2026-02-21 16:00,3.468,3.468,3.389,3.401,340585.639,2026-02-21 22:59
2026-02-21 20:00,3.401,3.469,3.38,3.429,537352.792,2026-02-22 02:59
2026-02-22 00:00,3.43,3.435,3.411,3.425,173816.023,2026-02-22 06:59
2026-02-22 04:00,3.426,3.429,3.352,3.397,377374.514,2026-02-22 10:59
2026-02-22 08:00,3.398,3.4,3.373,3.376,177472.582,2026-02-22 14:59
2026-02-22 12:00,3.376,3.397,3.359,3.394,147758.115,2026-02-22 18:59
2026-02-22 16:00,3.393,3.395,3.19,3.225,2178181.863,2026-02-22 22:59
2026-02-22 20:00,3.226,3.3,3.207,3.282,415830.078,2026-02-23 02:59
2026-02-23 00:00,3.282,3.365,3.253,3.344,455436.169,2026-02-23 06:59
2026-02-23 04:00,3.344,3.432,3.343,3.377,583451.677,2026-02-23 10:59
2026-02-23 08:00,3.376,3.385,3.296,3.314,700062.597,2026-02-23 14:59
2026-02-23 12:00,3.313,3.345,3.284,3.308,459612.249,2026-02-23 18:59
2026-02-23 16:00,3.308,3.337,3.265,3.299,573541.405,2026-02-23 22:59
2026-02-23 20:00,3.3,3.307,3.231,3.257,688848.188,2026-02-24 02:59
2026-02-24 00:00,3.257,3.282,3.238,3.271,606345.225,2026-02-24 06:59
2026-02-24 04:00,3.271,3.411,3.244,3.37,685856.944,2026-02-24 10:59
2026-02-24 08:00,3.37,3.456,3.346,3.453,520797.902,2026-02-24 14:59
2026-02-24 12:00,3.453,3.494,3.348,3.364,653847.293,2026-02-24 18:59
2026-02-24 16:00,3.363,3.489,3.346,3.401,629142.63,2026-02-24 22:59
2026-02-24 20:00,3.4,3.415,3.371,3.402,343070.341,2026-02-25 02:59
2026-02-25 00:00,3.402,3.446,3.392,3.438,242772.427,2026-02-25 06:59
2026-02-25 04:00,3.438,3.57,3.432,3.54,649759.37,2026-02-25 10:59
2026-02-25 08:00,3.54,3.613,3.536,3.605,817294.093,2026-02-25 14:59
2026-02-25 12:00,3.605,3.634,3.483,3.529,621484.276,2026-02-25 18:59
2026-02-25 16:00,3.529,3.543,3.474,3.517,444452.201,2026-02-25 22:59
2026-02-25 20:00,3.516,3.532,3.48,3.495,285775.234,2026-02-26 02:59
2026-02-26 00:00,3.496,3.562,3.49,3.502,308122.887,2026-02-26 06:59
2026-02-26 04:00,3.502,3.539,3.475,3.498,437006.643,2026-02-26 10:59
2026-02-26 08:00,3.499,3.501,3.403,3.466,618434.17,2026-02-26 14:59
2026-02-26 12:00,3.465,3.486,3.443,3.468,190595.289,2026-02-26 18:59
2026-02-26 16:00,3.468,3.476,3.386,3.42,520384.678,2026-02-26 22:59
2026-02-26 20:00,3.419,3.459,3.391,3.424,382621.858,2026-02-27 02:59
2026-02-27 00:00,3.424,3.427,3.349,3.37,403988.289,2026-02-27 06:59
2026-02-27 04:00,3.37,3.39,3.337,3.37,381657.499,2026-02-27 10:59
2026-02-27 08:00,3.369,3.408,3.341,3.37,352773.203,2026-02-27 14:59
2026-02-27 12:00,3.37,3.403,3.319,3.401,312107.719,2026-02-27 18:59
2026-02-27 16:00,3.401,3.416,3.372,3.375,125084.067,2026-02-27 22:59
2026-02-27 20:00,3.376,3.38,3.222,3.298,630047.748,2026-02-28 02:59
2026-02-28 00:00,3.298,3.299,3.231,3.245,422637.425,2026-02-28 06:59
2026-02-28 04:00,3.245,3.345,3.231,3.292,495845.976,2026-02-28 10:59
2026-02-28 08:00,3.293,3.371,3.259,3.357,241902.254,2026-02-28 14:59
2026-02-28 12:00,3.357,3.495,3.346,3.477,539579.301,2026-02-28 18:59
2026-02-28 16:00,3.478,3.692,3.426,3.583,1695073.07,2026-02-28 22:59
2026-02-28 20:00,3.583,3.592,3.505,3.56,663869.198,2026-03-01 02:59
2026-03-01 00:00,3.56,3.56,3.46,3.478,255146.28,2026-03-01 06:59
2026-03-01 04:00,3.478,3.534,3.427,3.49,363845.539,2026-03-01 10:59
2026-03-01 08:00,3.491,3.516,3.398,3.401,420441.838,2026-03-01 14:59
2026-03-01 12:00,3.401,3.452,3.343,3.421,452087.58,2026-03-01 18:59
2026-03-01 16:00,3.422,3.492,3.419,3.458,320150.802,2026-03-01 22:59
2026-03-01 20:00,3.458,3.458,3.387,3.415,172846.737,2026-03-02 02:59
2026-03-02 00:00,3.414,3.45,3.402,3.431,195213.992,2026-03-02 06:59
2026-03-02 04:00,3.43,3.557,3.414,3.536,370819.779,2026-03-02 10:59
2026-03-02 08:00,3.536,3.569,3.47,3.503,414222.976,2026-03-02 14:59
2026-03-02 12:00,3.502,3.559,3.464,3.483,615713.532,2026-03-02 18:59
2026-03-02 16:00,3.484,3.496,3.454,3.477,363996.302,2026-03-02 22:59
2026-03-02 20:00,3.477,3.487,3.441,3.477,317744.384,2026-03-03 02:59
2026-03-03 00:00,3.477,3.48,3.386,3.411,383621.427,2026-03-03 06:59
2026-03-03 04:00,3.41,3.438,3.358,3.41,390552.672,2026-03-03 10:59
2026-03-03 08:00,3.409,3.468,3.396,3.415,329874.726,2026-03-03 14:59
2026-03-03 12:00,3.415,3.418,3.379,3.392,246509.394,2026-03-03 18:59
2026-03-03 16:00,3.391,3.409,3.323,3.352,315972.46,2026-03-03 22:59
2026-03-03 20:00,3.352,3.359,3.326,3.35,332138.12,2026-03-04 02:59
2026-03-04 00:00,3.352,3.47,3.343,3.381,627634.347,2026-03-04 06:59
2026-03-04 04:00,3.38,3.476,3.355,3.475,843400.098,2026-03-04 10:59
2026-03-04 08:00,3.476,3.49,3.417,3.478,591575.971,2026-03-04 14:59
2026-03-04 12:00,3.478,3.481,3.406,3.429,448298.644,2026-03-04 18:59
2026-03-04 16:00,3.429,3.45,3.395,3.447,338095.556,2026-03-04 22:59
2026-03-04 20:00,3.447,3.463,3.378,3.382,431318.794,2026-03-05 02:59
2026-03-05 00:00,3.383,3.417,3.354,3.363,386187.881,2026-03-05 06:59
2026-03-05 04:00,3.362,3.385,3.276,3.286,571768.381,2026-03-05 10:59
2026-03-05 08:00,3.287,3.287,3.209,3.222,551486.139,2026-03-05 14:59
2026-03-05 12:00,3.222,3.244,3.19,3.233,425484.894,2026-03-05 18:59
2026-03-05 16:00,3.233,3.28,3.2,3.279,434294.632,2026-03-05 22:59
2026-03-05 20:00,3.279,3.28,3.208,3.243,348750.179,2026-03-06 02:59
2026-03-06 00:00,3.243,3.244,3.172,3.18,367133.02,2026-03-06 06:59
2026-03-06 04:00,3.18,3.199,3.1,3.13,650374.959,2026-03-06 10:59
2026-03-06 08:00,3.129,3.155,3.11,3.131,249171.026,2026-03-06 14:59
2026-03-06 12:00,3.132,3.154,3.119,3.134,208457.421,2026-03-06 18:59
2026-03-06 16:00,3.135,3.146,3.106,3.111,295518.13,2026-03-06 22:59
2026-03-06 20:00,3.111,3.123,3.088,3.094,321526.947,2026-03-07 02:59
2026-03-07 00:00,3.094,3.107,3.072,3.073,424377.405,2026-03-07 06:59
2026-03-07 04:00,3.073,3.076,3.013,3.033,416904.01,2026-03-07 10:59
2026-03-07 08:00,3.032,3.06,3.02,3.027,271802.124,2026-03-07 14:59
2026-03-07 12:00,3.028,3.042,2.971,3.003,288951.069,2026-03-07 18:59
