Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-20 05:00,0.3052,0.3053,0.305,0.3052,290640.4,2026-03-20 05:14
2026-03-20 05:15,0.3051,0.3054,0.305,0.3052,977483.0,2026-03-20 05:29
2026-03-20 05:30,0.3052,0.3053,0.305,0.3052,604264.2,2026-03-20 05:44
2026-03-20 05:45,0.3053,0.3057,0.3052,0.3057,923172.9,2026-03-20 05:59
2026-03-20 06:00,0.3057,0.3062,0.3056,0.3062,2170851.8,2026-03-20 06:14
2026-03-20 06:15,0.3062,0.3069,0.3059,0.3068,3538599.2,2026-03-20 06:29
2026-03-20 06:30,0.3068,0.3077,0.3067,0.3075,3381994.8,2026-03-20 06:44
2026-03-20 06:45,0.3076,0.3076,0.3059,0.3072,3961493.8,2026-03-20 06:59
2026-03-20 07:00,0.3072,0.3075,0.3067,0.3068,1310399.9,2026-03-20 07:14
2026-03-20 07:15,0.3068,0.3068,0.306,0.3062,1912066.6,2026-03-20 07:29
2026-03-20 07:30,0.3063,0.3064,0.306,0.3063,935635.0,2026-03-20 07:44
2026-03-20 07:45,0.3064,0.3067,0.306,0.3063,1292522.3,2026-03-20 07:59
2026-03-20 08:00,0.3064,0.3066,0.3063,0.3065,470659.9,2026-03-20 08:14
2026-03-20 08:15,0.3064,0.3073,0.3062,0.3064,2133378.1,2026-03-20 08:29
2026-03-20 08:30,0.3063,0.3064,0.3053,0.3054,2176332.7,2026-03-20 08:44
2026-03-20 08:45,0.3055,0.3061,0.3053,0.306,880745.5,2026-03-20 08:59
2026-03-20 09:00,0.306,0.3062,0.3057,0.3062,1064427.2,2026-03-20 09:14
2026-03-20 09:15,0.3062,0.3072,0.3061,0.3068,2351097.2,2026-03-20 09:29
2026-03-20 09:30,0.3069,0.307,0.3061,0.3065,2638651.0,2026-03-20 09:44
2026-03-20 09:45,0.3066,0.3069,0.3063,0.3064,1667134.6,2026-03-20 09:59
2026-03-20 10:00,0.3064,0.3069,0.3058,0.3067,2107673.5,2026-03-20 10:14
2026-03-20 10:15,0.3068,0.3069,0.3058,0.3062,1159311.4,2026-03-20 10:29
2026-03-20 10:30,0.3062,0.3068,0.3061,0.3065,2182382.3,2026-03-20 10:44
2026-03-20 10:45,0.3065,0.3065,0.306,0.3063,861787.1,2026-03-20 10:59
2026-03-20 11:00,0.3063,0.3067,0.3056,0.3066,2903435.4,2026-03-20 11:14
2026-03-20 11:15,0.3066,0.3078,0.3064,0.3078,764603.0,2026-03-20 11:29
2026-03-20 11:30,0.3077,0.3083,0.3074,0.3079,2520168.4,2026-03-20 11:44
2026-03-20 11:45,0.308,0.3083,0.3075,0.3081,1460973.1,2026-03-20 11:59
2026-03-20 12:00,0.3081,0.3082,0.3072,0.3077,1570703.0,2026-03-20 12:14
2026-03-20 12:15,0.3078,0.3079,0.3076,0.3078,284384.0,2026-03-20 12:29
2026-03-20 12:30,0.3077,0.3078,0.3073,0.3076,567617.6,2026-03-20 12:44
2026-03-20 12:45,0.3076,0.3081,0.307,0.3079,1204139.2,2026-03-20 12:59
2026-03-20 13:00,0.3078,0.3083,0.3078,0.3083,520449.2,2026-03-20 13:14
2026-03-20 13:15,0.3083,0.3084,0.3075,0.3077,951382.8,2026-03-20 13:29
2026-03-20 13:30,0.3076,0.3082,0.3076,0.3079,3075660.5,2026-03-20 13:44
2026-03-20 13:45,0.3079,0.3091,0.3076,0.3089,1714664.7,2026-03-20 13:59
2026-03-20 14:00,0.3089,0.3093,0.3085,0.3087,1045352.1,2026-03-20 14:14
2026-03-20 14:15,0.3086,0.3089,0.3081,0.3088,1804788.6,2026-03-20 14:29
2026-03-20 14:30,0.3089,0.309,0.3086,0.3089,1163307.1,2026-03-20 14:44
2026-03-20 14:45,0.3089,0.3096,0.3087,0.3089,1219992.0,2026-03-20 14:59
2026-03-20 15:00,0.3089,0.3095,0.3088,0.3095,614008.2,2026-03-20 15:14
2026-03-20 15:15,0.3095,0.3099,0.3089,0.3094,1637206.6,2026-03-20 15:29
2026-03-20 15:30,0.3095,0.3099,0.3093,0.3099,673751.6,2026-03-20 15:44
2026-03-20 15:45,0.3099,0.3101,0.3091,0.3099,1807486.1,2026-03-20 15:59
2026-03-20 16:00,0.3099,0.3107,0.3099,0.3101,1178181.1,2026-03-20 16:14
2026-03-20 16:15,0.3102,0.3104,0.3094,0.3097,1212062.9,2026-03-20 16:29
2026-03-20 16:30,0.3097,0.31,0.3093,0.3097,596198.7,2026-03-20 16:44
2026-03-20 16:45,0.3098,0.31,0.3095,0.31,640613.2,2026-03-20 16:59
2026-03-20 17:00,0.31,0.3107,0.3099,0.3107,765124.6,2026-03-20 17:14
2026-03-20 17:15,0.3107,0.3107,0.3094,0.3095,2250727.0,2026-03-20 17:29
2026-03-20 17:30,0.3096,0.3098,0.3094,0.3094,596626.1,2026-03-20 17:44
2026-03-20 17:45,0.3095,0.3097,0.3094,0.3096,308522.8,2026-03-20 17:59
2026-03-20 18:00,0.3096,0.3103,0.3095,0.3101,1154947.7,2026-03-20 18:14
2026-03-20 18:15,0.3101,0.3105,0.3101,0.3102,507568.6,2026-03-20 18:29
2026-03-20 18:30,0.3102,0.3104,0.3101,0.3104,322933.1,2026-03-20 18:44
2026-03-20 18:45,0.3103,0.3107,0.3103,0.3106,453309.7,2026-03-20 18:59
2026-03-20 19:00,0.3106,0.3109,0.3099,0.3101,1439441.3,2026-03-20 19:14
2026-03-20 19:15,0.3101,0.3102,0.3098,0.3099,439375.5,2026-03-20 19:29
2026-03-20 19:30,0.3099,0.31,0.3097,0.3098,271643.8,2026-03-20 19:44
2026-03-20 19:45,0.3099,0.3101,0.3095,0.3097,856479.1,2026-03-20 19:59
2026-03-20 20:00,0.3096,0.31,0.3094,0.3095,679985.3,2026-03-20 20:14
2026-03-20 20:15,0.3095,0.3095,0.3086,0.3088,2646284.7,2026-03-20 20:29
2026-03-20 20:30,0.3089,0.3093,0.3084,0.3085,1163361.3,2026-03-20 20:44
2026-03-20 20:45,0.3084,0.3089,0.3081,0.3088,682399.9,2026-03-20 20:59
2026-03-20 21:00,0.3088,0.3088,0.3081,0.3082,447174.8,2026-03-20 21:14
2026-03-20 21:15,0.3083,0.3084,0.308,0.3082,770234.9,2026-03-20 21:29
2026-03-20 21:30,0.3081,0.3083,0.308,0.3081,474691.5,2026-03-20 21:44
2026-03-20 21:45,0.3082,0.3084,0.308,0.3084,298588.4,2026-03-20 21:59
2026-03-20 22:00,0.3085,0.3085,0.308,0.308,255316.4,2026-03-20 22:14
2026-03-20 22:15,0.3081,0.3082,0.3078,0.308,465279.7,2026-03-20 22:29
2026-03-20 22:30,0.308,0.3081,0.3077,0.308,541895.8,2026-03-20 22:44
2026-03-20 22:45,0.3081,0.3083,0.308,0.3082,359917.9,2026-03-20 22:59
2026-03-20 23:00,0.3081,0.3082,0.3077,0.3079,750462.0,2026-03-20 23:14
2026-03-20 23:15,0.3078,0.308,0.3077,0.3079,563426.2,2026-03-20 23:29
2026-03-20 23:30,0.308,0.3087,0.3078,0.3087,723005.8,2026-03-20 23:44
2026-03-20 23:45,0.3086,0.3089,0.3085,0.3088,554316.6,2026-03-20 23:59
2026-03-21 00:00,0.3089,0.3096,0.3088,0.3094,2175682.1,2026-03-21 00:14
2026-03-21 00:15,0.3095,0.3098,0.3095,0.3097,807686.7,2026-03-21 00:29
