Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-09-23 00:00,8.058,8.196,7.831,7.899,3021192.89,2025-09-24 19:59
2025-09-24 00:00,7.899,7.944,7.273,7.455,6247975.77,2025-09-25 19:59
2025-09-25 00:00,7.456,7.639,7.323,7.619,5081595.19,2025-09-26 19:59
2025-09-26 00:00,7.62,7.659,7.464,7.617,2602245.62,2025-09-27 19:59
2025-09-27 00:00,7.618,7.772,7.408,7.751,1808318.45,2025-09-28 19:59
2025-09-28 00:00,7.752,7.839,7.568,7.744,2218098.74,2025-09-29 19:59
2025-09-29 00:00,7.744,7.777,7.421,7.641,2881874.69,2025-09-30 19:59
2025-09-30 00:00,7.641,8.1,7.538,8.072,3412587.34,2025-10-01 19:59
2025-10-01 00:00,8.073,8.394,7.985,8.353,4598011.77,2025-10-02 19:59
2025-10-02 00:00,8.352,8.494,8.132,8.176,3669173.13,2025-10-03 19:59
2025-10-03 00:00,8.176,8.202,7.908,8.025,1882125.85,2025-10-04 19:59
2025-10-04 00:00,8.025,8.429,7.967,8.059,3034926.59,2025-10-05 19:59
2025-10-05 00:00,8.06,8.448,8.0,8.342,2910094.89,2025-10-06 19:59
2025-10-06 00:00,8.342,8.396,7.716,7.765,6387776.73,2025-10-07 19:59
2025-10-07 00:00,7.766,8.13,7.696,8.072,2712725.91,2025-10-08 19:59
2025-10-08 00:00,8.073,8.093,7.643,7.855,3265101.44,2025-10-09 19:59
2025-10-09 00:00,7.856,8.6,2.0,5.792,28262007.27,2025-10-10 19:59
2025-10-10 00:00,5.791,6.128,5.543,5.855,18650942.79,2025-10-11 19:59
2025-10-11 00:00,5.855,6.705,5.791,6.619,8575568.94,2025-10-12 19:59
2025-10-12 00:00,6.619,7.12,6.491,7.051,7365492.36,2025-10-13 19:59
2025-10-13 00:00,7.051,7.081,6.384,6.822,7158919.91,2025-10-14 19:59
2025-10-14 00:00,6.822,6.987,6.443,6.569,5097036.25,2025-10-15 19:59
2025-10-15 00:00,6.569,6.734,6.221,6.279,4771001.55,2025-10-16 19:59
2025-10-16 00:00,6.279,6.409,5.844,6.132,7557565.45,2025-10-17 19:59
2025-10-17 00:00,6.133,6.209,5.904,6.024,3511282.08,2025-10-18 19:59
2025-10-18 00:00,6.023,6.362,5.951,6.259,3339950.03,2025-10-19 19:59
2025-10-19 00:00,6.259,6.545,6.137,6.336,2902503.31,2025-10-20 19:59
2025-10-20 00:00,6.337,6.653,6.108,6.253,6021138.25,2025-10-21 19:59
2025-10-21 00:00,6.253,6.302,5.861,6.037,4341943.25,2025-10-22 19:59
2025-10-22 00:00,6.037,6.365,6.026,6.313,2937580.38,2025-10-23 19:59
2025-10-23 00:00,6.314,6.47,6.163,6.243,2907945.61,2025-10-24 19:59
2025-10-24 00:00,6.243,6.299,6.16,6.245,3053819.27,2025-10-25 19:59
2025-10-25 00:00,6.246,6.734,6.148,6.665,3573741.68,2025-10-26 19:59
2025-10-26 00:00,6.665,6.888,6.463,6.514,3662864.47,2025-10-27 19:59
2025-10-27 00:00,6.513,6.635,6.25,6.339,2383200.85,2025-10-28 19:59
2025-10-28 00:00,6.339,6.448,6.142,6.295,3860839.42,2025-10-29 19:59
2025-10-29 00:00,6.294,6.387,5.666,5.846,14581931.12,2025-10-30 19:59
2025-10-30 00:00,5.847,5.954,5.612,5.744,5271574.29,2025-10-31 19:59
2025-10-31 00:00,5.744,5.897,5.717,5.863,2461294.41,2025-11-01 19:59
2025-11-01 00:00,5.864,5.927,5.712,5.859,2227553.85,2025-11-02 18:59
2025-11-02 00:00,5.859,5.888,4.947,5.198,9608158.02,2025-11-03 18:59
2025-11-03 00:00,5.198,5.282,4.736,5.073,9624747.25,2025-11-04 18:59
2025-11-04 00:00,5.073,5.493,4.871,5.346,5632733.66,2025-11-05 18:59
2025-11-05 00:00,5.345,5.373,5.106,5.255,3790676.16,2025-11-06 18:59
2025-11-06 00:00,5.256,6.003,5.243,5.875,8522495.12,2025-11-07 18:59
2025-11-07 00:00,5.875,6.141,5.805,6.011,7011480.4,2025-11-08 18:59
2025-11-08 00:00,6.011,6.78,5.795,6.574,9508041.91,2025-11-09 18:59
2025-11-09 00:00,6.575,10.03,6.547,9.347,33184232.36,2025-11-10 18:59
2025-11-10 00:00,9.35,10.3,8.1,8.249,65925229.87,2025-11-11 18:59
2025-11-11 00:00,8.25,8.863,7.474,7.568,19335335.61,2025-11-12 18:59
2025-11-12 00:00,7.568,8.206,7.463,7.753,16978928.09,2025-11-13 18:59
2025-11-13 00:00,7.752,7.802,6.927,6.992,12725078.81,2025-11-14 18:59
2025-11-14 00:00,6.991,7.643,6.975,7.357,8242280.08,2025-11-15 18:59
2025-11-15 00:00,7.358,7.923,6.978,7.178,11331659.37,2025-11-16 18:59
2025-11-16 00:00,7.177,8.156,7.086,7.421,19389578.11,2025-11-17 18:59
2025-11-17 00:00,7.422,7.766,7.181,7.5,10788799.38,2025-11-18 18:59
2025-11-18 00:00,7.499,7.519,6.816,7.225,8368311.93,2025-11-19 18:59
2025-11-19 00:00,7.224,7.384,6.476,6.57,8523390.84,2025-11-20 18:59
2025-11-20 00:00,6.569,6.742,5.913,6.426,12318913.52,2025-11-21 18:59
2025-11-21 00:00,6.425,6.545,5.86,6.161,6173324.55,2025-11-22 18:59
2025-11-22 00:00,6.161,6.356,6.058,6.136,4011818.02,2025-11-23 18:59
2025-11-23 00:00,6.136,6.429,6.055,6.295,6833348.28,2025-11-24 18:59
2025-11-24 00:00,6.294,6.376,5.881,6.233,5663713.93,2025-11-25 18:59
2025-11-25 00:00,6.232,6.387,5.998,6.303,3813992.58,2025-11-26 18:59
2025-11-26 00:00,6.303,6.435,6.099,6.141,4322521.69,2025-11-27 18:59
2025-11-27 00:00,6.142,6.356,6.05,6.129,3408527.5,2025-11-28 18:59
2025-11-28 00:00,6.128,6.216,5.978,6.057,1918849.09,2025-11-29 18:59
2025-11-29 00:00,6.057,6.278,6.007,6.042,2900376.46,2025-11-30 18:59
2025-11-30 00:00,6.042,6.058,5.441,5.599,8050608.69,2025-12-01 18:59
2025-12-01 00:00,5.601,6.039,5.368,5.92,6884300.63,2025-12-02 18:59
2025-12-02 00:00,5.919,6.197,5.894,6.107,4713358.81,2025-12-03 18:59
2025-12-03 00:00,6.108,6.2,5.829,5.961,3772271.77,2025-12-04 18:59
2025-12-04 00:00,5.961,6.036,5.426,5.474,4749718.35,2025-12-05 18:59
2025-12-05 00:00,5.473,5.624,5.415,5.563,2086447.43,2025-12-06 18:59
2025-12-06 00:00,5.564,5.672,5.316,5.461,3768927.93,2025-12-07 18:59
2025-12-07 00:00,5.462,5.772,5.431,5.616,3020468.04,2025-12-08 18:59
2025-12-08 00:00,5.615,5.976,5.427,5.747,3948767.27,2025-12-09 18:59
2025-12-09 00:00,5.746,5.946,5.527,5.602,4399936.14,2025-12-10 18:59
2025-12-10 00:00,5.601,5.607,5.293,5.548,4030550.9,2025-12-11 18:59
2025-12-11 00:00,5.548,5.651,5.21,5.422,3722510.24,2025-12-12 18:59
2025-12-12 00:00,5.423,5.529,5.373,5.5,1368190.97,2025-12-13 18:59
2025-12-13 00:00,5.501,5.565,5.247,5.31,2282268.25,2025-12-14 18:59
2025-12-14 00:00,5.311,5.466,4.971,5.079,4469739.55,2025-12-15 18:59
2025-12-15 00:00,5.08,5.279,4.935,5.198,3949507.64,2025-12-16 18:59
2025-12-16 00:00,5.197,5.324,4.883,4.966,4372912.12,2025-12-17 18:59
2025-12-17 00:00,4.967,5.435,4.849,4.96,10753995.99,2025-12-18 18:59
2025-12-18 00:00,4.96,5.336,4.9,5.319,6271083.7,2025-12-19 18:59
2025-12-19 00:00,5.318,6.378,5.253,6.262,13425520.88,2025-12-20 18:59
2025-12-20 00:00,6.262,6.5,6.054,6.117,9824156.96,2025-12-21 18:59
2025-12-21 00:00,6.117,6.416,5.914,6.018,7894519.12,2025-12-22 18:59
2025-12-22 00:00,6.019,6.121,5.654,5.81,6700700.28,2025-12-23 18:59
2025-12-23 00:00,5.811,5.888,5.593,5.778,4783714.28,2025-12-24 18:59
