Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-15 11:00,3.967,3.968,3.95,3.956,28283.73,2026-03-15 11:59
2026-03-15 12:00,3.955,3.971,3.947,3.953,70940.72,2026-03-15 12:59
2026-03-15 13:00,3.954,4.005,3.953,3.994,46603.34,2026-03-15 13:59
2026-03-15 14:00,3.995,4.01,3.97,3.977,47352.38,2026-03-15 14:59
2026-03-15 15:00,3.977,4.006,3.976,4.005,32653.26,2026-03-15 15:59
2026-03-15 16:00,4.003,4.033,3.992,4.017,47538.96,2026-03-15 16:59
2026-03-15 17:00,4.018,4.051,4.003,4.043,56598.18,2026-03-15 17:59
2026-03-15 18:00,4.043,4.11,4.011,4.096,201960.03,2026-03-15 18:59
2026-03-15 19:00,4.096,4.114,4.035,4.069,193466.49,2026-03-15 19:59
2026-03-15 20:00,4.069,4.096,4.052,4.073,142261.0,2026-03-15 20:59
2026-03-15 21:00,4.074,4.101,4.045,4.097,107897.01,2026-03-15 21:59
2026-03-15 22:00,4.097,4.105,4.059,4.073,93158.46,2026-03-15 22:59
2026-03-15 23:00,4.073,4.176,4.064,4.1,550128.22,2026-03-15 23:59
2026-03-16 00:00,4.1,4.127,3.971,4.015,1539237.98,2026-03-16 00:59
2026-03-16 01:00,4.014,4.073,4.008,4.068,320580.65,2026-03-16 01:59
2026-03-16 02:00,4.069,4.073,4.028,4.066,209965.77,2026-03-16 02:59
2026-03-16 03:00,4.066,4.1,4.065,4.079,199451.43,2026-03-16 03:59
2026-03-16 04:00,4.079,4.108,4.035,4.054,316836.54,2026-03-16 04:59
2026-03-16 05:00,4.054,4.097,4.051,4.083,126085.46,2026-03-16 05:59
2026-03-16 06:00,4.083,4.093,4.042,4.069,200928.61,2026-03-16 06:59
2026-03-16 07:00,4.069,4.078,4.05,4.057,122662.01,2026-03-16 07:59
2026-03-16 08:00,4.057,4.089,4.048,4.071,169953.13,2026-03-16 08:59
2026-03-16 09:00,4.07,4.149,4.068,4.123,539477.44,2026-03-16 09:59
2026-03-16 10:00,4.124,4.142,4.058,4.12,311990.27,2026-03-16 10:59
2026-03-16 11:00,4.121,4.127,4.076,4.082,166725.69,2026-03-16 11:59
2026-03-16 12:00,4.082,4.146,4.081,4.141,129500.61,2026-03-16 12:59
