Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-01-21 04:00,4.849,5.0,4.788,4.973,1187685.76,2026-01-21 10:59
2026-01-21 08:00,4.974,5.066,4.761,5.063,963489.56,2026-01-21 14:59
2026-01-21 12:00,5.062,5.067,4.924,4.94,490833.31,2026-01-21 18:59
2026-01-21 16:00,4.94,4.995,4.94,4.948,341880.0,2026-01-21 22:59
2026-01-21 20:00,4.947,4.966,4.921,4.928,138603.1,2026-01-22 02:59
2026-01-22 00:00,4.93,4.968,4.916,4.916,181376.19,2026-01-22 06:59
2026-01-22 04:00,4.916,4.952,4.772,4.819,812079.95,2026-01-22 10:59
2026-01-22 08:00,4.818,4.882,4.81,4.853,317628.42,2026-01-22 14:59
2026-01-22 12:00,4.852,4.864,4.813,4.836,233179.68,2026-01-22 18:59
2026-01-22 16:00,4.837,4.894,4.82,4.88,316453.94,2026-01-22 22:59
2026-01-22 20:00,4.878,4.909,4.84,4.872,239164.9,2026-01-23 02:59
2026-01-23 00:00,4.872,4.885,4.83,4.871,195137.86,2026-01-23 06:59
2026-01-23 04:00,4.87,4.907,4.769,4.895,445799.47,2026-01-23 10:59
2026-01-23 08:00,4.895,4.984,4.851,4.872,533508.62,2026-01-23 14:59
2026-01-23 12:00,4.871,4.891,4.819,4.873,164722.62,2026-01-23 18:59
2026-01-23 16:00,4.872,4.891,4.842,4.885,179029.68,2026-01-23 22:59
2026-01-23 20:00,4.886,4.908,4.874,4.887,117314.47,2026-01-24 02:59
2026-01-24 00:00,4.887,4.915,4.88,4.894,156971.76,2026-01-24 06:59
2026-01-24 04:00,4.893,4.912,4.841,4.842,239603.08,2026-01-24 10:59
2026-01-24 08:00,4.843,4.868,4.828,4.847,86813.66,2026-01-24 14:59
2026-01-24 12:00,4.846,4.873,4.845,4.855,55585.01,2026-01-24 18:59
2026-01-24 16:00,4.854,4.878,4.825,4.837,160027.51,2026-01-24 22:59
2026-01-24 20:00,4.836,4.857,4.802,4.827,357939.2,2026-01-25 02:59
2026-01-25 00:00,4.827,4.895,4.802,4.857,312731.43,2026-01-25 06:59
2026-01-25 04:00,4.857,4.878,4.808,4.817,276019.05,2026-01-25 10:59
2026-01-25 08:00,4.816,4.816,4.562,4.582,1640366.38,2026-01-25 14:59
2026-01-25 12:00,4.582,4.654,4.572,4.637,584562.95,2026-01-25 18:59
2026-01-25 16:00,4.636,4.695,4.487,4.597,1847727.0,2026-01-25 22:59
2026-01-25 20:00,4.597,4.634,4.551,4.618,1198499.25,2026-01-26 02:59
2026-01-26 00:00,4.619,4.69,4.616,4.631,431799.06,2026-01-26 06:59
2026-01-26 04:00,4.632,4.76,4.617,4.689,774875.64,2026-01-26 10:59
2026-01-26 08:00,4.689,4.745,4.661,4.704,586758.74,2026-01-26 14:59
2026-01-26 12:00,4.704,4.759,4.673,4.711,432476.06,2026-01-26 18:59
2026-01-26 16:00,4.712,4.737,4.686,4.723,383637.36,2026-01-26 22:59
2026-01-26 20:00,4.724,4.752,4.68,4.69,536327.34,2026-01-27 02:59
2026-01-27 00:00,4.691,4.706,4.642,4.663,334072.32,2026-01-27 06:59
2026-01-27 04:00,4.662,4.719,4.634,4.712,277414.37,2026-01-27 10:59
2026-01-27 08:00,4.711,4.77,4.631,4.742,580777.44,2026-01-27 14:59
2026-01-27 12:00,4.742,4.816,4.734,4.8,437615.78,2026-01-27 18:59
2026-01-27 16:00,4.801,4.815,4.77,4.78,217656.37,2026-01-27 22:59
2026-01-27 20:00,4.78,4.809,4.753,4.798,166775.84,2026-01-28 02:59
2026-01-28 00:00,4.798,4.875,4.785,4.872,531466.2,2026-01-28 06:59
2026-01-28 04:00,4.872,4.878,4.778,4.815,358465.65,2026-01-28 10:59
2026-01-28 08:00,4.816,4.858,4.775,4.826,395622.28,2026-01-28 14:59
2026-01-28 12:00,4.825,4.872,4.791,4.82,298370.8,2026-01-28 18:59
2026-01-28 16:00,4.821,4.834,4.689,4.714,372014.4,2026-01-28 22:59
2026-01-28 20:00,4.713,4.751,4.686,4.728,195983.35,2026-01-29 02:59
2026-01-29 00:00,4.729,4.74,4.647,4.653,494850.42,2026-01-29 06:59
2026-01-29 04:00,4.652,4.694,4.413,4.455,1303473.41,2026-01-29 10:59
2026-01-29 08:00,4.455,4.504,4.286,4.345,1704277.76,2026-01-29 14:59
2026-01-29 12:00,4.345,4.404,4.319,4.396,570951.64,2026-01-29 18:59
2026-01-29 16:00,4.395,4.418,4.2,4.251,2139534.34,2026-01-29 22:59
2026-01-29 20:00,4.251,4.314,4.17,4.257,777775.36,2026-01-30 02:59
2026-01-30 00:00,4.257,4.331,4.187,4.313,642329.35,2026-01-30 06:59
2026-01-30 04:00,4.313,4.318,4.207,4.262,988332.66,2026-01-30 10:59
2026-01-30 08:00,4.261,4.347,4.141,4.308,1168198.23,2026-01-30 14:59
2026-01-30 12:00,4.308,4.308,4.223,4.276,701947.4,2026-01-30 18:59
2026-01-30 16:00,4.277,4.307,4.261,4.267,271639.44,2026-01-30 22:59
2026-01-30 20:00,4.266,4.288,4.209,4.227,255116.13,2026-01-31 02:59
2026-01-31 00:00,4.228,4.236,4.119,4.142,823265.67,2026-01-31 06:59
2026-01-31 04:00,4.142,4.15,3.891,3.995,2255259.76,2026-01-31 10:59
2026-01-31 08:00,3.995,4.071,3.6,3.825,4512145.31,2026-01-31 14:59
2026-01-31 12:00,3.825,3.974,3.778,3.96,1070318.43,2026-01-31 18:59
2026-01-31 16:00,3.961,4.029,3.941,3.991,734088.94,2026-01-31 22:59
2026-01-31 20:00,3.992,4.016,3.931,3.957,654046.24,2026-02-01 02:59
2026-02-01 00:00,3.958,3.99,3.901,3.942,645279.86,2026-02-01 06:59
2026-02-01 04:00,3.942,3.942,3.764,3.829,1332967.04,2026-02-01 10:59
2026-02-01 08:00,3.829,3.932,3.795,3.863,1453424.88,2026-02-01 14:59
2026-02-01 12:00,3.863,3.907,3.752,3.837,1436755.24,2026-02-01 18:59
2026-02-01 16:00,3.838,3.963,3.715,3.848,1784807.13,2026-02-01 22:59
2026-02-01 20:00,3.85,3.887,3.704,3.851,1417065.07,2026-02-02 02:59
2026-02-02 00:00,3.852,3.933,3.852,3.912,893465.72,2026-02-02 06:59
2026-02-02 04:00,3.913,3.999,3.897,3.968,978933.31,2026-02-02 10:59
2026-02-02 08:00,3.968,3.989,3.919,3.921,405735.83,2026-02-02 14:59
2026-02-02 12:00,3.921,3.943,3.901,3.925,194622.33,2026-02-02 18:59
2026-02-02 16:00,3.926,3.934,3.835,3.924,569547.78,2026-02-02 22:59
2026-02-02 20:00,3.924,3.956,3.882,3.907,596255.48,2026-02-03 02:59
2026-02-03 00:00,3.907,3.935,3.848,3.897,916887.41,2026-02-03 06:59
2026-02-03 04:00,3.897,3.971,3.859,3.965,812599.37,2026-02-03 10:59
