Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,0.3558,0.3564,0.3537,0.3543,776342.5,2026-03-14 13:59
2026-03-14 14:00,0.3542,0.3543,0.353,0.3537,225443.4,2026-03-14 14:59
2026-03-14 15:00,0.3537,0.3543,0.3517,0.352,372470.4,2026-03-14 15:59
2026-03-14 16:00,0.3521,0.3525,0.3511,0.3518,353009.7,2026-03-14 16:59
2026-03-14 17:00,0.3518,0.3536,0.3513,0.353,325021.0,2026-03-14 17:59
2026-03-14 18:00,0.353,0.3545,0.3528,0.3535,231062.7,2026-03-14 18:59
2026-03-14 19:00,0.3535,0.3568,0.3535,0.356,413117.5,2026-03-14 19:59
2026-03-14 20:00,0.3561,0.3561,0.3537,0.3547,576876.5,2026-03-14 20:59
2026-03-14 21:00,0.3547,0.3573,0.3541,0.357,387102.8,2026-03-14 21:59
2026-03-14 22:00,0.3572,0.3636,0.3571,0.3621,1570925.6,2026-03-14 22:59
2026-03-14 23:00,0.3621,0.364,0.3584,0.3599,1175511.8,2026-03-14 23:59
2026-03-15 00:00,0.3599,0.3617,0.3571,0.3591,442373.0,2026-03-15 00:59
2026-03-15 01:00,0.3591,0.3607,0.3581,0.3583,817796.2,2026-03-15 01:59
2026-03-15 02:00,0.3584,0.3587,0.3568,0.3578,441850.2,2026-03-15 02:59
2026-03-15 03:00,0.3578,0.3596,0.3572,0.3596,395892.7,2026-03-15 03:59
2026-03-15 04:00,0.3597,0.3599,0.3587,0.3597,497749.3,2026-03-15 04:59
2026-03-15 05:00,0.3597,0.3621,0.3582,0.3589,688668.3,2026-03-15 05:59
2026-03-15 06:00,0.3589,0.3609,0.3586,0.3591,271097.7,2026-03-15 06:59
2026-03-15 07:00,0.3591,0.3594,0.3581,0.3588,426544.1,2026-03-15 07:59
2026-03-15 08:00,0.3589,0.3616,0.3584,0.36,841588.1,2026-03-15 08:59
2026-03-15 09:00,0.36,0.3603,0.3557,0.3584,1389923.3,2026-03-15 09:59
2026-03-15 10:00,0.3585,0.3592,0.3569,0.3588,448298.9,2026-03-15 10:59
2026-03-15 11:00,0.3587,0.3591,0.3571,0.3585,354454.6,2026-03-15 11:59
2026-03-15 12:00,0.3585,0.3609,0.3576,0.3584,1138809.9,2026-03-15 12:59
2026-03-15 13:00,0.3584,0.3634,0.3584,0.3615,1388918.2,2026-03-15 13:59
2026-03-15 14:00,0.3615,0.363,0.3591,0.3597,601897.4,2026-03-15 14:59
2026-03-15 15:00,0.3598,0.3616,0.3593,0.3612,240560.3,2026-03-15 15:59
2026-03-15 16:00,0.3611,0.3634,0.36,0.3619,675271.4,2026-03-15 16:59
2026-03-15 17:00,0.3619,0.3648,0.3602,0.364,1485779.1,2026-03-15 17:59
2026-03-15 18:00,0.3641,0.3664,0.3603,0.3651,1688552.8,2026-03-15 18:59
