Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-20 05:15,0.167,0.167,0.1662,0.1665,222819.0,2026-03-20 05:29
2026-03-20 05:30,0.1665,0.167,0.1664,0.1668,538162.0,2026-03-20 05:44
2026-03-20 05:45,0.1668,0.1671,0.1665,0.1669,230098.0,2026-03-20 05:59
2026-03-20 06:00,0.167,0.167,0.1665,0.1666,728279.0,2026-03-20 06:14
2026-03-20 06:15,0.1665,0.1669,0.1665,0.1668,131134.0,2026-03-20 06:29
2026-03-20 06:30,0.1667,0.1677,0.1667,0.1673,160661.0,2026-03-20 06:44
2026-03-20 06:45,0.1674,0.1675,0.1672,0.1674,80379.0,2026-03-20 06:59
2026-03-20 07:00,0.1673,0.1679,0.1672,0.1679,197839.0,2026-03-20 07:14
2026-03-20 07:15,0.1679,0.1679,0.1673,0.1674,262691.0,2026-03-20 07:29
2026-03-20 07:30,0.1673,0.1675,0.1666,0.1667,481490.0,2026-03-20 07:44
2026-03-20 07:45,0.1668,0.1674,0.1666,0.1674,101643.0,2026-03-20 07:59
2026-03-20 08:00,0.1674,0.1679,0.1674,0.1674,299123.0,2026-03-20 08:14
2026-03-20 08:15,0.1675,0.1675,0.1671,0.1674,113244.0,2026-03-20 08:29
2026-03-20 08:30,0.1673,0.1673,0.1669,0.1671,173936.0,2026-03-20 08:44
2026-03-20 08:45,0.1671,0.1671,0.1668,0.167,143394.0,2026-03-20 08:59
2026-03-20 09:00,0.1671,0.1674,0.1665,0.1667,189268.0,2026-03-20 09:14
2026-03-20 09:15,0.1667,0.1673,0.1666,0.167,375406.0,2026-03-20 09:29
2026-03-20 09:30,0.1669,0.1671,0.1657,0.1668,622276.0,2026-03-20 09:44
2026-03-20 09:45,0.1668,0.1668,0.1658,0.166,670339.0,2026-03-20 09:59
2026-03-20 10:00,0.166,0.1666,0.1655,0.166,620329.0,2026-03-20 10:14
2026-03-20 10:15,0.1659,0.1666,0.1657,0.1663,322894.0,2026-03-20 10:29
2026-03-20 10:30,0.1664,0.1672,0.1664,0.1667,300932.0,2026-03-20 10:44
2026-03-20 10:45,0.1667,0.1668,0.1659,0.1659,191990.0,2026-03-20 10:59
2026-03-20 11:00,0.166,0.1664,0.1653,0.1661,211900.0,2026-03-20 11:14
2026-03-20 11:15,0.1661,0.1668,0.1656,0.1662,396635.0,2026-03-20 11:29
2026-03-20 11:30,0.1661,0.1665,0.166,0.166,93492.0,2026-03-20 11:44
2026-03-20 11:45,0.166,0.1664,0.1658,0.1662,202759.0,2026-03-20 11:59
2026-03-20 12:00,0.1662,0.1664,0.1656,0.1656,217144.0,2026-03-20 12:14
2026-03-20 12:15,0.1656,0.166,0.1653,0.166,101311.0,2026-03-20 12:29
2026-03-20 12:30,0.1659,0.1659,0.1653,0.1655,261639.0,2026-03-20 12:44
2026-03-20 12:45,0.1656,0.166,0.1652,0.1658,369678.0,2026-03-20 12:59
2026-03-20 13:00,0.1658,0.1659,0.1654,0.1656,192267.0,2026-03-20 13:14
2026-03-20 13:15,0.1656,0.1659,0.1654,0.1654,117442.0,2026-03-20 13:29
2026-03-20 13:30,0.1654,0.1656,0.1649,0.1651,543671.0,2026-03-20 13:44
2026-03-20 13:45,0.1651,0.1661,0.1649,0.166,163992.0,2026-03-20 13:59
2026-03-20 14:00,0.166,0.1662,0.1658,0.166,108521.0,2026-03-20 14:14
2026-03-20 14:15,0.1659,0.166,0.165,0.165,292436.0,2026-03-20 14:29
2026-03-20 14:30,0.165,0.165,0.1644,0.1646,227345.0,2026-03-20 14:44
2026-03-20 14:45,0.1646,0.1648,0.164,0.1641,311233.0,2026-03-20 14:59
2026-03-20 15:00,0.1642,0.1645,0.1639,0.1642,376915.0,2026-03-20 15:14
2026-03-20 15:15,0.1641,0.1643,0.1636,0.1641,208471.0,2026-03-20 15:29
2026-03-20 15:30,0.1641,0.1643,0.1633,0.1643,261212.0,2026-03-20 15:44
2026-03-20 15:45,0.1644,0.1648,0.1642,0.1647,141618.0,2026-03-20 15:59
2026-03-20 16:00,0.1647,0.1648,0.1644,0.1645,183908.0,2026-03-20 16:14
2026-03-20 16:15,0.1645,0.1646,0.1639,0.164,191684.0,2026-03-20 16:29
2026-03-20 16:30,0.164,0.1642,0.1636,0.1639,186928.0,2026-03-20 16:44
2026-03-20 16:45,0.164,0.1644,0.1639,0.1641,182655.0,2026-03-20 16:59
2026-03-20 17:00,0.1642,0.1643,0.1639,0.1643,362196.0,2026-03-20 17:14
2026-03-20 17:15,0.1642,0.1656,0.1642,0.1652,309543.0,2026-03-20 17:29
2026-03-20 17:30,0.1652,0.1659,0.1649,0.165,406899.0,2026-03-20 17:44
2026-03-20 17:45,0.1651,0.1653,0.165,0.1652,100233.0,2026-03-20 17:59
2026-03-20 18:00,0.1651,0.1663,0.1651,0.1661,405688.0,2026-03-20 18:14
2026-03-20 18:15,0.1661,0.1661,0.1657,0.1658,128416.0,2026-03-20 18:29
2026-03-20 18:30,0.1658,0.1659,0.1655,0.1658,241097.0,2026-03-20 18:44
2026-03-20 18:45,0.1658,0.1661,0.1657,0.1657,331787.0,2026-03-20 18:59
2026-03-20 19:00,0.1657,0.1657,0.1649,0.1651,127017.0,2026-03-20 19:14
2026-03-20 19:15,0.1652,0.1653,0.1649,0.1652,114865.0,2026-03-20 19:29
2026-03-20 19:30,0.1652,0.1657,0.1651,0.1656,131229.0,2026-03-20 19:44
2026-03-20 19:45,0.1657,0.1658,0.1654,0.1654,150370.0,2026-03-20 19:59
2026-03-20 20:00,0.1655,0.1656,0.1653,0.1655,104473.0,2026-03-20 20:14
2026-03-20 20:15,0.1656,0.166,0.1655,0.1657,346724.0,2026-03-20 20:29
2026-03-20 20:30,0.1657,0.1659,0.1654,0.1656,152654.0,2026-03-20 20:44
2026-03-20 20:45,0.1655,0.1658,0.1654,0.1656,98660.0,2026-03-20 20:59
2026-03-20 21:00,0.1657,0.166,0.1656,0.1657,161903.0,2026-03-20 21:14
2026-03-20 21:15,0.1656,0.1656,0.1653,0.1654,170237.0,2026-03-20 21:29
2026-03-20 21:30,0.1653,0.1654,0.1651,0.1652,102069.0,2026-03-20 21:44
2026-03-20 21:45,0.1652,0.1652,0.165,0.1651,143850.0,2026-03-20 21:59
2026-03-20 22:00,0.1652,0.1652,0.1649,0.165,133675.0,2026-03-20 22:14
2026-03-20 22:15,0.1651,0.1657,0.1651,0.1657,103348.0,2026-03-20 22:29
2026-03-20 22:30,0.1658,0.1658,0.1655,0.1657,512204.0,2026-03-20 22:44
2026-03-20 22:45,0.1657,0.1659,0.1655,0.1655,559474.0,2026-03-20 22:59
2026-03-20 23:00,0.1655,0.1659,0.1653,0.1657,256416.0,2026-03-20 23:14
2026-03-20 23:15,0.1656,0.1659,0.1654,0.1657,145971.0,2026-03-20 23:29
2026-03-20 23:30,0.1658,0.1658,0.1656,0.1658,30257.0,2026-03-20 23:44
2026-03-20 23:45,0.1658,0.1659,0.1656,0.1657,208354.0,2026-03-20 23:59
2026-03-21 00:00,0.1657,0.166,0.1657,0.1658,136175.0,2026-03-21 00:14
2026-03-21 00:15,0.1657,0.166,0.1657,0.1658,67910.0,2026-03-21 00:29
2026-03-21 00:30,0.1657,0.1657,0.1652,0.1653,85395.0,2026-03-21 00:44
2026-03-21 00:45,0.1653,0.1657,0.1653,0.1657,64184.0,2026-03-21 00:59
2026-03-21 01:00,0.1657,0.1663,0.1657,0.1662,364510.0,2026-03-21 01:14
2026-03-21 01:15,0.1663,0.1666,0.1662,0.1664,128792.0,2026-03-21 01:29
2026-03-21 01:30,0.1663,0.1667,0.1662,0.1664,244980.0,2026-03-21 01:44
2026-03-21 01:45,0.1664,0.1665,0.1661,0.1661,244358.0,2026-03-21 01:59
2026-03-21 02:00,0.1662,0.1663,0.166,0.1663,206374.0,2026-03-21 02:14
2026-03-21 02:15,0.1663,0.1667,0.1662,0.1667,172279.0,2026-03-21 02:29
