Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,210.09,210.27,209.09,209.35,4088.91,2026-03-14 13:00
2026-03-14 14:00,209.35,209.86,208.43,209.58,2034.98,2026-03-14 14:00
2026-03-14 15:00,209.54,211.0,209.07,210.4,2253.44,2026-03-14 15:00
2026-03-14 16:00,210.38,210.5,209.71,209.76,1044.31,2026-03-14 16:00
2026-03-14 17:00,209.75,211.82,209.38,211.66,3620.644,2026-03-14 17:00
2026-03-14 18:00,211.68,213.81,211.67,211.99,9020.41,2026-03-14 18:00
2026-03-14 19:00,211.98,213.72,211.7,213.18,5068.271,2026-03-14 19:00
2026-03-14 20:00,213.19,213.3,211.71,212.47,3900.876,2026-03-14 20:00
2026-03-14 21:00,212.47,214.98,211.42,214.58,3847.62,2026-03-14 21:00
2026-03-14 22:00,214.66,220.1,214.66,217.83,18835.389,2026-03-14 22:00
2026-03-14 23:00,217.84,219.58,216.03,217.73,9402.66,2026-03-14 23:00
2026-03-15 00:00,217.74,223.41,217.64,222.99,15503.965,2026-03-15 00:00
2026-03-15 01:00,222.99,228.56,222.16,227.23,21817.541,2026-03-15 01:00
2026-03-15 02:00,227.19,229.8,226.22,226.65,14352.207,2026-03-15 02:00
2026-03-15 03:00,226.65,227.48,224.21,225.35,13822.36,2026-03-15 03:00
2026-03-15 04:00,225.35,229.24,225.03,227.87,8589.186,2026-03-15 04:00
2026-03-15 05:00,227.83,229.99,223.35,224.34,26133.944,2026-03-15 05:00
2026-03-15 06:00,224.34,224.85,222.43,223.26,7475.107,2026-03-15 06:00
2026-03-15 07:00,223.27,227.73,222.64,226.81,6954.308,2026-03-15 07:00
2026-03-15 08:00,226.8,228.77,225.77,225.93,6155.88,2026-03-15 08:00
2026-03-15 09:00,225.88,226.77,223.51,225.65,6555.469,2026-03-15 09:00
2026-03-15 10:00,225.64,228.54,225.02,228.14,17987.321,2026-03-15 10:00
2026-03-15 11:00,228.18,228.94,226.74,227.5,4932.111,2026-03-15 11:00
2026-03-15 12:00,227.5,228.38,223.52,224.19,25045.526,2026-03-15 12:00
2026-03-15 13:00,224.19,227.29,223.82,226.52,5349.061,2026-03-15 13:00
2026-03-15 14:00,226.51,228.04,226.04,226.39,8146.33,2026-03-15 14:00
2026-03-15 15:00,226.4,227.2,225.38,226.73,2486.31,2026-03-15 15:00
2026-03-15 16:00,226.73,228.88,225.59,225.62,3906.123,2026-03-15 16:00
2026-03-15 17:00,225.61,239.39,224.98,233.01,22605.102,2026-03-15 17:00
2026-03-15 18:00,233.01,235.18,229.0,229.83,28576.571,2026-03-15 18:00
2026-03-15 19:00,229.83,232.01,226.58,229.66,16037.1,2026-03-15 19:00
2026-03-15 20:00,229.69,231.8,227.42,229.94,8430.928,2026-03-15 20:00
2026-03-15 21:00,229.98,231.81,228.48,230.95,6565.808,2026-03-15 21:00
2026-03-15 22:00,230.92,231.12,227.85,229.38,7241.116,2026-03-15 22:00
2026-03-15 23:00,229.39,237.0,228.49,234.91,28880.252,2026-03-15 23:00
2026-03-16 00:00,234.96,239.24,234.0,237.46,16765.61,2026-03-16 00:00
2026-03-16 01:00,237.46,238.82,235.21,236.45,11017.214,2026-03-16 01:00
2026-03-16 02:00,236.39,236.68,233.14,233.7,7284.7,2026-03-16 02:00
2026-03-16 03:00,233.7,235.16,232.27,234.16,6443.811,2026-03-16 03:00
2026-03-16 04:00,234.17,235.3,229.73,231.48,11432.332,2026-03-16 04:00
2026-03-16 05:00,231.42,233.18,231.24,232.0,4340.209,2026-03-16 05:00
2026-03-16 06:00,232.0,235.15,231.52,234.65,10494.624,2026-03-16 06:00
2026-03-16 07:00,234.65,234.87,229.26,231.75,7687.983,2026-03-16 07:00
2026-03-16 08:00,231.75,232.45,229.73,230.96,9991.588,2026-03-16 08:00
2026-03-16 09:00,230.94,234.59,230.57,231.44,11148.641,2026-03-16 09:00
2026-03-16 10:00,231.46,233.59,228.45,232.52,19248.734,2026-03-16 10:00
2026-03-16 11:00,232.49,235.66,231.22,234.92,9350.314,2026-03-16 11:00
2026-03-16 12:00,234.9,242.94,234.81,241.63,20450.452,2026-03-16 12:00
2026-03-16 13:00,241.64,257.29,241.52,256.78,53244.87,2026-03-16 13:00
2026-03-16 14:00,256.8,270.82,255.45,267.3,58140.304,2026-03-16 14:00
2026-03-16 15:00,267.28,275.91,265.25,266.36,43589.214,2026-03-16 15:00
2026-03-16 16:00,266.35,279.77,265.84,277.2,25521.364,2026-03-16 16:00
2026-03-16 17:00,277.16,284.0,275.12,282.41,27283.075,2026-03-16 17:00
2026-03-16 18:00,282.51,289.47,282.17,283.56,43132.933,2026-03-16 18:00
2026-03-16 19:00,283.54,290.31,276.66,276.87,49771.211,2026-03-16 19:00
2026-03-16 20:00,276.9,281.98,271.68,276.29,42454.401,2026-03-16 20:00
2026-03-16 21:00,276.23,277.55,273.44,276.44,17685.055,2026-03-16 21:00
2026-03-16 22:00,276.42,279.55,274.92,277.45,13017.993,2026-03-16 22:00
2026-03-16 23:00,277.44,279.5,270.29,272.5,20450.137,2026-03-16 23:00
2026-03-17 00:00,272.55,273.56,265.42,268.1,21750.935,2026-03-17 00:00
2026-03-17 01:00,268.05,270.7,263.81,269.98,14264.256,2026-03-17 01:00
2026-03-17 02:00,270.0,270.79,265.5,266.09,12398.22,2026-03-17 02:00
2026-03-17 03:00,266.04,270.84,264.67,268.49,14002.194,2026-03-17 03:00
2026-03-17 04:00,268.52,270.64,267.03,268.68,10349.861,2026-03-17 04:00
2026-03-17 05:00,268.63,272.0,267.36,270.23,12331.719,2026-03-17 05:00
2026-03-17 06:00,270.23,274.63,268.46,274.29,18297.118,2026-03-17 06:00
2026-03-17 07:00,274.25,276.84,272.43,272.43,18784.552,2026-03-17 07:00
2026-03-17 08:00,272.42,273.59,266.3,268.97,18119.877,2026-03-17 08:00
2026-03-17 09:00,268.96,270.0,264.68,267.21,12170.523,2026-03-17 09:00
2026-03-17 10:00,267.2,271.31,265.2,267.74,14313.374,2026-03-17 10:00
2026-03-17 11:00,267.74,269.95,266.01,268.96,13226.48,2026-03-17 11:00
2026-03-17 12:00,268.94,270.88,267.72,268.56,6817.995,2026-03-17 12:00
2026-03-17 13:00,268.56,279.77,267.66,278.76,27251.641,2026-03-17 13:00
2026-03-17 14:00,278.76,287.85,274.6,278.26,61504.53,2026-03-17 14:00
2026-03-17 15:00,278.27,279.72,271.67,272.34,20189.549,2026-03-17 15:00
2026-03-17 16:00,272.32,277.29,271.52,275.53,16507.554,2026-03-17 16:00
2026-03-17 17:00,275.52,277.01,273.95,275.34,4561.813,2026-03-17 17:00
2026-03-17 18:00,275.33,277.08,273.0,273.85,10402.131,2026-03-17 18:00
2026-03-17 19:00,273.9,274.11,270.3,272.64,8675.928,2026-03-17 19:00
2026-03-17 20:00,272.65,274.25,268.39,273.57,20931.282,2026-03-17 20:00
2026-03-17 21:00,273.53,276.46,272.5,274.22,9118.954,2026-03-17 21:00
2026-03-17 22:00,274.21,283.33,273.92,280.63,27549.688,2026-03-17 22:00
2026-03-17 23:00,280.64,282.97,278.09,281.03,10542.978,2026-03-17 23:00
2026-03-18 00:00,281.02,282.54,277.6,278.69,10182.469,2026-03-18 00:00
2026-03-18 01:00,278.71,282.29,276.25,277.05,13535.095,2026-03-18 01:00
2026-03-18 02:00,277.09,278.77,275.66,277.36,7185.161,2026-03-18 02:00
2026-03-18 03:00,277.43,278.32,274.79,276.95,6982.703,2026-03-18 03:00
2026-03-18 04:00,276.96,277.83,274.52,275.72,6565.058,2026-03-18 04:00
2026-03-18 05:00,275.73,282.76,275.19,281.68,12778.609,2026-03-18 05:00
2026-03-18 06:00,281.68,284.81,278.63,279.39,15196.761,2026-03-18 06:00
2026-03-18 07:00,279.39,282.3,266.96,268.53,44604.075,2026-03-18 07:00
2026-03-18 08:00,268.54,268.56,261.1,263.94,39850.763,2026-03-18 08:00
2026-03-18 09:00,263.94,266.15,258.54,259.58,30148.632,2026-03-18 09:00
2026-03-18 10:00,259.59,260.47,253.03,254.34,34224.698,2026-03-18 10:00
2026-03-18 11:00,254.3,257.75,252.42,256.33,19624.797,2026-03-18 11:00
2026-03-18 12:00,256.32,256.81,249.14,250.11,15217.372,2026-03-18 12:00
2026-03-18 13:00,250.1,250.37,244.71,246.03,26652.708,2026-03-18 13:00
2026-03-18 14:00,246.04,253.29,245.99,247.66,22274.764,2026-03-18 14:00
2026-03-18 15:00,247.64,250.2,246.52,246.78,7384.405,2026-03-18 15:00
2026-03-18 16:00,246.81,248.36,243.58,246.86,28385.849,2026-03-18 16:00
2026-03-18 17:00,246.87,251.32,246.8,250.35,9384.448,2026-03-18 17:00
2026-03-18 18:00,250.35,250.35,246.58,248.36,7658.149,2026-03-18 18:00
2026-03-18 19:00,248.39,249.33,247.11,248.71,10107.587,2026-03-18 19:00
2026-03-18 20:00,248.71,253.42,248.33,249.41,15501.31,2026-03-18 20:00
2026-03-18 21:00,249.4,253.51,248.97,253.12,7735.008,2026-03-18 21:00
2026-03-18 22:00,253.14,255.69,251.36,251.72,14997.927,2026-03-18 22:00
2026-03-18 23:00,251.71,254.9,250.43,252.8,8534.397,2026-03-18 23:00
2026-03-19 00:00,252.76,253.11,247.53,247.66,10524.438,2026-03-19 00:00
2026-03-19 01:00,247.65,248.33,245.01,246.05,9247.871,2026-03-19 01:00
2026-03-19 02:00,245.96,246.94,244.14,246.4,8000.621,2026-03-19 02:00
2026-03-19 03:00,246.36,246.58,241.79,244.44,21151.284,2026-03-19 03:00
2026-03-19 04:00,244.42,245.08,240.2,241.64,7259.935,2026-03-19 04:00
2026-03-19 05:00,241.64,246.2,241.64,244.28,5944.037,2026-03-19 05:00
2026-03-19 06:00,244.25,246.44,242.84,243.24,6539.83,2026-03-19 06:00
2026-03-19 07:00,243.23,246.21,243.14,244.14,5088.827,2026-03-19 07:00
2026-03-19 08:00,244.14,244.31,238.44,239.03,14269.604,2026-03-19 08:00
2026-03-19 09:00,239.04,240.63,236.56,240.28,24602.74,2026-03-19 09:00
2026-03-19 10:00,240.31,241.19,236.85,238.45,7731.642,2026-03-19 10:00
2026-03-19 11:00,238.41,239.42,233.08,235.47,18023.182,2026-03-19 11:00
2026-03-19 12:00,235.46,235.97,231.51,231.8,9427.846,2026-03-19 12:00
