Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-19 12:30,2.034,2.04,2.028,2.03,13191.84,2026-03-19 12:44
2026-03-19 12:45,2.031,2.043,2.024,2.035,22708.39,2026-03-19 12:59
2026-03-19 13:00,2.035,2.037,2.026,2.03,14493.76,2026-03-19 13:14
2026-03-19 13:15,2.03,2.077,2.03,2.073,224247.3,2026-03-19 13:29
2026-03-19 13:30,2.074,2.074,2.064,2.071,30526.43,2026-03-19 13:44
2026-03-19 13:45,2.071,2.09,2.067,2.079,55866.95,2026-03-19 13:59
2026-03-19 14:00,2.08,2.087,2.071,2.083,13539.85,2026-03-19 14:14
2026-03-19 14:15,2.084,2.088,2.075,2.08,13809.33,2026-03-19 14:29
2026-03-19 14:30,2.08,2.086,2.07,2.072,21488.08,2026-03-19 14:44
2026-03-19 14:45,2.072,2.079,2.07,2.079,8702.8,2026-03-19 14:59
2026-03-19 15:00,2.077,2.098,2.072,2.088,31029.62,2026-03-19 15:14
2026-03-19 15:15,2.087,2.101,2.083,2.094,29248.14,2026-03-19 15:29
2026-03-19 15:30,2.093,2.093,2.084,2.092,27058.62,2026-03-19 15:44
2026-03-19 15:45,2.091,2.091,2.081,2.086,9601.16,2026-03-19 15:59
2026-03-19 16:00,2.085,2.09,2.072,2.078,19127.88,2026-03-19 16:14
2026-03-19 16:15,2.077,2.087,2.076,2.078,13380.05,2026-03-19 16:29
2026-03-19 16:30,2.078,2.083,2.074,2.074,15732.46,2026-03-19 16:44
2026-03-19 16:45,2.074,2.074,2.068,2.069,16979.64,2026-03-19 16:59
2026-03-19 17:00,2.07,2.105,2.068,2.094,48042.09,2026-03-19 17:14
2026-03-19 17:15,2.095,2.097,2.092,2.095,11366.37,2026-03-19 17:29
2026-03-19 17:30,2.094,2.095,2.078,2.083,17378.65,2026-03-19 17:44
2026-03-19 17:45,2.083,2.088,2.076,2.087,10692.14,2026-03-19 17:59
2026-03-19 18:00,2.086,2.087,2.078,2.087,4932.06,2026-03-19 18:14
2026-03-19 18:15,2.085,2.094,2.084,2.09,15105.89,2026-03-19 18:29
2026-03-19 18:30,2.091,2.091,2.062,2.066,18715.86,2026-03-19 18:44
2026-03-19 18:45,2.067,2.073,2.066,2.07,2116.24,2026-03-19 18:59
2026-03-19 19:00,2.071,2.077,2.062,2.066,13728.56,2026-03-19 19:14
2026-03-19 19:15,2.065,2.073,2.061,2.072,3537.57,2026-03-19 19:29
2026-03-19 19:30,2.073,2.073,2.058,2.065,12151.16,2026-03-19 19:44
2026-03-19 19:45,2.065,2.067,2.059,2.061,23465.21,2026-03-19 19:59
2026-03-19 20:00,2.062,2.071,2.06,2.063,19628.06,2026-03-19 20:14
2026-03-19 20:15,2.063,2.066,2.056,2.065,15290.01,2026-03-19 20:29
2026-03-19 20:30,2.064,2.078,2.062,2.067,12950.44,2026-03-19 20:44
2026-03-19 20:45,2.067,2.069,2.049,2.05,13304.12,2026-03-19 20:59
2026-03-19 21:00,2.051,2.063,2.05,2.055,27727.73,2026-03-19 21:14
2026-03-19 21:15,2.054,2.062,2.042,2.053,49053.75,2026-03-19 21:29
2026-03-19 21:30,2.054,2.077,2.054,2.076,57310.16,2026-03-19 21:44
2026-03-19 21:45,2.076,2.076,2.046,2.049,22446.34,2026-03-19 21:59
2026-03-19 22:00,2.049,2.06,2.046,2.059,13732.53,2026-03-19 22:14
2026-03-19 22:15,2.057,2.058,2.044,2.047,22531.08,2026-03-19 22:29
2026-03-19 22:30,2.048,2.061,2.045,2.06,15379.29,2026-03-19 22:44
2026-03-19 22:45,2.062,2.062,2.052,2.053,13483.9,2026-03-19 22:59
2026-03-19 23:00,2.053,2.056,2.038,2.04,129413.75,2026-03-19 23:14
2026-03-19 23:15,2.04,2.044,2.033,2.042,33478.13,2026-03-19 23:29
2026-03-19 23:30,2.044,2.054,2.041,2.043,18684.42,2026-03-19 23:44
2026-03-19 23:45,2.043,2.047,2.038,2.04,11191.59,2026-03-19 23:59
2026-03-20 00:00,2.039,2.065,2.039,2.063,29275.38,2026-03-20 00:14
2026-03-20 00:15,2.063,2.064,2.05,2.052,9750.06,2026-03-20 00:29
2026-03-20 00:30,2.051,2.053,2.033,2.038,87714.3,2026-03-20 00:44
2026-03-20 00:45,2.038,2.053,2.038,2.05,53203.11,2026-03-20 00:59
2026-03-20 01:00,2.051,2.056,2.042,2.046,20668.52,2026-03-20 01:14
2026-03-20 01:15,2.046,2.046,2.027,2.028,29078.5,2026-03-20 01:29
2026-03-20 01:30,2.028,2.038,2.024,2.038,12398.14,2026-03-20 01:44
2026-03-20 01:45,2.037,2.041,2.036,2.037,13031.97,2026-03-20 01:59
2026-03-20 02:00,2.038,2.04,2.032,2.036,14174.6,2026-03-20 02:14
2026-03-20 02:15,2.035,2.036,2.027,2.033,8708.82,2026-03-20 02:29
2026-03-20 02:30,2.034,2.065,2.031,2.037,125691.2,2026-03-20 02:44
2026-03-20 02:45,2.036,2.038,2.032,2.032,3359.71,2026-03-20 02:59
2026-03-20 03:00,2.032,2.033,2.018,2.022,24497.61,2026-03-20 03:14
2026-03-20 03:15,2.021,2.034,2.021,2.029,8250.9,2026-03-20 03:29
2026-03-20 03:30,2.028,2.033,2.015,2.021,70503.77,2026-03-20 03:44
2026-03-20 03:45,2.02,2.022,2.01,2.022,11020.63,2026-03-20 03:59
2026-03-20 04:00,2.02,2.032,2.012,2.024,97693.51,2026-03-20 04:14
2026-03-20 04:15,2.023,2.049,2.023,2.045,82519.54,2026-03-20 04:29
2026-03-20 04:30,2.045,2.047,2.035,2.038,18828.58,2026-03-20 04:44
2026-03-20 04:45,2.038,2.049,2.038,2.042,13491.55,2026-03-20 04:59
2026-03-20 05:00,2.043,2.055,2.037,2.039,20294.78,2026-03-20 05:14
2026-03-20 05:15,2.039,2.051,2.038,2.049,10359.67,2026-03-20 05:29
2026-03-20 05:30,2.05,2.058,2.048,2.053,10182.62,2026-03-20 05:44
2026-03-20 05:45,2.053,2.055,2.036,2.041,16830.12,2026-03-20 05:59
2026-03-20 06:00,2.042,2.051,2.038,2.051,7471.57,2026-03-20 06:14
2026-03-20 06:15,2.051,2.055,2.044,2.053,8838.25,2026-03-20 06:29
2026-03-20 06:30,2.054,2.063,2.053,2.054,11948.09,2026-03-20 06:44
2026-03-20 06:45,2.055,2.062,2.054,2.06,9802.88,2026-03-20 06:59
2026-03-20 07:00,2.059,2.072,2.057,2.064,15629.93,2026-03-20 07:14
2026-03-20 07:15,2.064,2.064,2.054,2.056,5014.9,2026-03-20 07:29
2026-03-20 07:30,2.055,2.062,2.047,2.053,35578.0,2026-03-20 07:44
2026-03-20 07:45,2.052,2.063,2.051,2.063,11297.6,2026-03-20 07:59
2026-03-20 08:00,2.063,2.082,2.063,2.072,68852.08,2026-03-20 08:14
2026-03-20 08:15,2.073,2.083,2.069,2.075,25424.93,2026-03-20 08:29
2026-03-20 08:30,2.074,2.074,2.058,2.065,9144.43,2026-03-20 08:44
2026-03-20 08:45,2.065,2.073,2.058,2.073,6531.02,2026-03-20 08:59
2026-03-20 09:00,2.074,2.082,2.067,2.069,18630.44,2026-03-20 09:14
2026-03-20 09:15,2.069,2.085,2.068,2.071,18301.89,2026-03-20 09:29
2026-03-20 09:30,2.07,2.07,2.027,2.034,188575.49,2026-03-20 09:44
2026-03-20 09:45,2.034,2.034,1.993,2.004,326708.56,2026-03-20 09:59
2026-03-20 10:00,2.004,2.014,1.993,2.009,62569.61,2026-03-20 10:14
2026-03-20 10:15,2.008,2.015,2.005,2.011,20578.87,2026-03-20 10:29
2026-03-20 10:30,2.012,2.023,2.01,2.01,23537.73,2026-03-20 10:44
2026-03-20 10:45,2.01,2.011,1.966,1.97,75368.46,2026-03-20 10:59
2026-03-20 11:00,1.97,1.994,1.97,1.986,27859.61,2026-03-20 11:14
2026-03-20 11:15,1.986,2.008,1.985,2.008,27212.08,2026-03-20 11:29
2026-03-20 11:30,2.007,2.013,2.001,2.006,20305.39,2026-03-20 11:44
2026-03-20 11:45,2.005,2.012,2.003,2.012,5399.45,2026-03-20 11:59
2026-03-20 12:00,2.011,2.021,2.003,2.015,24654.1,2026-03-20 12:14
2026-03-20 12:15,2.016,2.026,1.975,1.989,130588.28,2026-03-20 12:29
2026-03-20 12:30,1.989,2.002,1.984,2.001,15579.83,2026-03-20 12:44
2026-03-20 12:45,2.001,2.029,1.998,2.018,53575.11,2026-03-20 12:59
2026-03-20 13:00,2.017,2.02,2.007,2.008,38901.66,2026-03-20 13:14
2026-03-20 13:15,2.009,2.013,2.003,2.004,21684.98,2026-03-20 13:29
2026-03-20 13:30,2.005,2.013,2.001,2.01,27273.84,2026-03-20 13:44
2026-03-20 13:45,2.009,2.018,2.009,2.016,12209.86,2026-03-20 13:59
2026-03-20 14:00,2.017,2.018,2.01,2.017,7688.68,2026-03-20 14:14
2026-03-20 14:15,2.016,2.016,2.001,2.006,9881.96,2026-03-20 14:29
2026-03-20 14:30,2.006,2.007,1.997,2.006,26464.66,2026-03-20 14:44
2026-03-20 14:45,2.004,2.006,1.997,2.002,17802.9,2026-03-20 14:59
2026-03-20 15:00,2.003,2.007,1.991,1.992,26692.76,2026-03-20 15:14
2026-03-20 15:15,1.992,1.993,1.982,1.986,21160.58,2026-03-20 15:29
2026-03-20 15:30,1.987,1.998,1.987,1.998,18476.09,2026-03-20 15:44
2026-03-20 15:45,1.999,2.005,1.995,2.004,19257.98,2026-03-20 15:59
2026-03-20 16:00,2.005,2.005,1.989,2.001,25633.62,2026-03-20 16:14
2026-03-20 16:15,2.001,2.001,1.99,1.996,5790.23,2026-03-20 16:29
2026-03-20 16:30,1.995,2.017,1.994,2.012,11630.93,2026-03-20 16:44
2026-03-20 16:45,2.013,2.018,2.011,2.013,1762.56,2026-03-20 16:59
2026-03-20 17:00,2.014,2.017,2.006,2.012,5900.04,2026-03-20 17:14
2026-03-20 17:15,2.012,2.045,2.012,2.039,40401.08,2026-03-20 17:29
2026-03-20 17:30,2.04,2.047,2.033,2.035,30479.71,2026-03-20 17:44
2026-03-20 17:45,2.035,2.046,2.035,2.041,7740.2,2026-03-20 17:59
2026-03-20 18:00,2.042,2.06,2.042,2.052,13624.47,2026-03-20 18:14
2026-03-20 18:15,2.052,2.058,2.04,2.041,16129.48,2026-03-20 18:29
2026-03-20 18:30,2.04,2.047,2.04,2.044,4718.98,2026-03-20 18:44
2026-03-20 18:45,2.042,2.044,2.04,2.042,1441.02,2026-03-20 18:59
2026-03-20 19:00,2.041,2.043,2.035,2.038,18140.31,2026-03-20 19:14
2026-03-20 19:15,2.036,2.048,2.036,2.047,7072.21,2026-03-20 19:29
2026-03-20 19:30,2.047,2.053,2.046,2.049,7237.73,2026-03-20 19:44
2026-03-20 19:45,2.05,2.051,2.038,2.042,10325.19,2026-03-20 19:59
2026-03-20 20:00,2.042,2.057,2.038,2.04,35967.06,2026-03-20 20:14
2026-03-20 20:15,2.04,2.041,2.032,2.039,18061.96,2026-03-20 20:29
2026-03-20 20:30,2.039,2.043,2.034,2.038,5402.4,2026-03-20 20:44
2026-03-20 20:45,2.039,2.042,2.03,2.039,9379.69,2026-03-20 20:59
2026-03-20 21:00,2.04,2.048,2.037,2.04,4306.32,2026-03-20 21:14
2026-03-20 21:15,2.041,2.047,2.036,2.04,5549.45,2026-03-20 21:29
2026-03-20 21:30,2.039,2.046,2.039,2.044,5019.57,2026-03-20 21:44
2026-03-20 21:45,2.043,2.044,2.039,2.042,4939.29,2026-03-20 21:59
2026-03-20 22:00,2.041,2.048,2.038,2.045,4224.7,2026-03-20 22:14
2026-03-20 22:15,2.047,2.06,2.045,2.058,25978.19,2026-03-20 22:29
2026-03-20 22:30,2.058,2.063,2.053,2.057,20713.96,2026-03-20 22:44
2026-03-20 22:45,2.057,2.063,2.053,2.058,4389.06,2026-03-20 22:59
2026-03-20 23:00,2.058,2.063,2.053,2.059,18502.81,2026-03-20 23:14
2026-03-20 23:15,2.059,2.075,2.058,2.072,38384.38,2026-03-20 23:29
2026-03-20 23:30,2.072,2.073,2.067,2.072,8753.65,2026-03-20 23:44
2026-03-20 23:45,2.073,2.08,2.069,2.076,19113.04,2026-03-20 23:59
2026-03-21 00:00,2.076,2.086,2.068,2.085,125192.05,2026-03-21 00:14
2026-03-21 00:15,2.085,2.097,2.084,2.084,39488.81,2026-03-21 00:29
2026-03-21 00:30,2.084,2.086,2.065,2.073,19641.56,2026-03-21 00:44
2026-03-21 00:45,2.073,2.077,2.068,2.069,17874.52,2026-03-21 00:59
2026-03-21 01:00,2.069,2.075,2.067,2.073,14055.73,2026-03-21 01:14
2026-03-21 01:15,2.073,2.079,2.071,2.072,10751.37,2026-03-21 01:29
2026-03-21 01:30,2.072,2.072,2.05,2.058,114977.17,2026-03-21 01:44
2026-03-21 01:45,2.058,2.059,2.051,2.059,12194.73,2026-03-21 01:59
2026-03-21 02:00,2.06,2.066,2.054,2.059,16449.35,2026-03-21 02:14
2026-03-21 02:15,2.058,2.073,2.058,2.066,12847.94,2026-03-21 02:29
2026-03-21 02:30,2.066,2.079,2.064,2.075,13926.66,2026-03-21 02:44
2026-03-21 02:45,2.075,2.075,2.065,2.07,9498.81,2026-03-21 02:59
2026-03-21 03:00,2.07,2.076,2.067,2.075,6099.09,2026-03-21 03:14
2026-03-21 03:15,2.075,2.08,2.067,2.069,4978.22,2026-03-21 03:29
2026-03-21 03:30,2.069,2.072,2.065,2.065,5523.27,2026-03-21 03:44
2026-03-21 03:45,2.064,2.064,2.052,2.059,4212.23,2026-03-21 03:59
2026-03-21 04:00,2.059,2.063,2.055,2.059,17059.82,2026-03-21 04:14
2026-03-21 04:15,2.059,2.06,2.054,2.055,6646.91,2026-03-21 04:29
2026-03-21 04:30,2.056,2.057,2.045,2.052,15680.24,2026-03-21 04:44
2026-03-21 04:45,2.053,2.056,2.049,2.051,4852.66,2026-03-21 04:59
2026-03-21 05:00,2.051,2.051,2.044,2.044,15215.25,2026-03-21 05:14
2026-03-21 05:15,2.044,2.046,2.036,2.038,12357.59,2026-03-21 05:29
2026-03-21 05:30,2.036,2.042,2.036,2.038,8407.33,2026-03-21 05:44
2026-03-21 05:45,2.038,2.041,2.034,2.037,4852.54,2026-03-21 05:59
2026-03-21 06:00,2.039,2.042,2.032,2.035,4685.16,2026-03-21 06:14
2026-03-21 06:15,2.035,2.038,2.032,2.035,11047.51,2026-03-21 06:29
2026-03-21 06:30,2.034,2.039,2.031,2.035,6184.3,2026-03-21 06:44
2026-03-21 06:45,2.035,2.036,2.031,2.033,2330.63,2026-03-21 06:59
2026-03-21 07:00,2.033,2.036,2.027,2.027,11387.58,2026-03-21 07:14
2026-03-21 07:15,2.027,2.027,2.02,2.025,49783.44,2026-03-21 07:29
2026-03-21 07:30,2.026,2.027,2.016,2.022,9112.98,2026-03-21 07:44
2026-03-21 07:45,2.022,2.024,2.015,2.019,4890.45,2026-03-21 07:59
2026-03-21 08:00,2.019,2.021,2.011,2.015,31455.99,2026-03-21 08:14
2026-03-21 08:15,2.015,2.016,2.011,2.012,15088.68,2026-03-21 08:29
2026-03-21 08:30,2.012,2.016,2.005,2.014,17242.77,2026-03-21 08:44
2026-03-21 08:45,2.014,2.028,2.013,2.021,34349.71,2026-03-21 08:59
2026-03-21 09:00,2.022,2.029,2.022,2.024,4346.07,2026-03-21 09:14
2026-03-21 09:15,2.024,2.027,2.022,2.025,8022.67,2026-03-21 09:29
2026-03-21 09:30,2.025,2.029,2.02,2.025,4581.6,2026-03-21 09:44
2026-03-21 09:45,2.024,2.027,2.02,2.022,3842.78,2026-03-21 09:59
2026-03-21 10:00,2.023,2.027,2.016,2.022,7024.08,2026-03-21 10:14
2026-03-21 10:15,2.022,2.026,2.019,2.021,5591.98,2026-03-21 10:29
2026-03-21 10:30,2.02,2.02,2.011,2.013,14584.45,2026-03-21 10:44
2026-03-21 10:45,2.014,2.015,1.998,2.005,26670.94,2026-03-21 10:59
2026-03-21 11:00,2.006,2.019,2.006,2.015,20086.12,2026-03-21 11:14
2026-03-21 11:15,2.015,2.028,2.014,2.023,11401.37,2026-03-21 11:29
2026-03-21 11:30,2.023,2.028,2.022,2.023,5478.03,2026-03-21 11:44
2026-03-21 11:45,2.023,2.028,2.022,2.023,5057.2,2026-03-21 11:59
2026-03-21 12:00,2.024,2.025,2.013,2.021,9642.93,2026-03-21 12:14
