Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2025-12-21 00:00,1.284,1.336,1.276,1.307,1425009.49,2025-12-22 18:59
2025-12-22 00:00,1.307,1.316,1.263,1.298,919375.56,2025-12-23 18:59
2025-12-23 00:00,1.299,1.304,1.246,1.272,882804.06,2025-12-24 18:59
2025-12-24 00:00,1.272,1.291,1.234,1.236,1206554.44,2025-12-25 18:59
2025-12-25 00:00,1.235,1.275,1.224,1.245,1281677.16,2025-12-26 18:59
2025-12-26 00:00,1.245,1.265,1.238,1.261,884074.04,2025-12-27 18:59
2025-12-27 00:00,1.262,1.264,1.234,1.246,737344.98,2025-12-28 18:59
2025-12-28 00:00,1.247,1.292,1.235,1.242,1275531.12,2025-12-29 18:59
2025-12-29 00:00,1.242,1.257,1.237,1.249,1149087.63,2025-12-30 18:59
2025-12-30 00:00,1.248,1.261,1.206,1.227,1088473.76,2025-12-31 18:59
2025-12-31 00:00,1.227,1.285,1.219,1.285,932508.18,2026-01-01 18:59
2026-01-01 00:00,1.286,1.352,1.273,1.343,2264301.59,2026-01-02 18:59
2026-01-02 00:00,1.342,1.36,1.306,1.335,1105617.13,2026-01-03 18:59
2026-01-03 00:00,1.335,1.419,1.333,1.402,1619914.73,2026-01-04 18:59
2026-01-04 00:00,1.403,1.433,1.368,1.422,1899667.48,2026-01-05 18:59
2026-01-05 00:00,1.422,1.49,1.377,1.442,2101264.22,2026-01-06 18:59
2026-01-06 00:00,1.441,1.458,1.385,1.41,1751360.02,2026-01-07 18:59
2026-01-07 00:00,1.41,1.468,1.355,1.439,1923430.69,2026-01-08 18:59
2026-01-08 00:00,1.44,1.488,1.416,1.444,1873807.9,2026-01-09 18:59
2026-01-09 00:00,1.444,1.52,1.431,1.473,1379099.1,2026-01-10 18:59
2026-01-10 00:00,1.474,1.504,1.462,1.486,838722.69,2026-01-11 18:59
2026-01-11 00:00,1.486,1.537,1.425,1.461,1444661.15,2026-01-12 18:59
2026-01-12 00:00,1.46,1.607,1.452,1.589,2661083.44,2026-01-13 18:59
2026-01-13 00:00,1.59,1.749,1.58,1.666,4303351.22,2026-01-14 18:59
2026-01-14 00:00,1.667,1.667,1.572,1.634,2260285.81,2026-01-15 18:59
2026-01-15 00:00,1.633,1.662,1.593,1.651,1290736.39,2026-01-16 18:59
2026-01-16 00:00,1.651,1.783,1.639,1.761,2848798.19,2026-01-17 18:59
2026-01-17 00:00,1.761,1.774,1.713,1.724,1538544.13,2026-01-18 18:59
2026-01-18 00:00,1.724,1.799,1.613,1.771,3741682.44,2026-01-19 18:59
2026-01-19 00:00,1.772,1.827,1.627,1.811,8022966.64,2026-01-20 18:59
2026-01-20 00:00,1.812,2.031,1.8,1.939,11099362.3,2026-01-21 18:59
2026-01-21 00:00,1.94,2.206,1.861,2.188,12240348.58,2026-01-22 18:59
2026-01-22 00:00,2.188,2.39,2.159,2.279,12859387.24,2026-01-23 18:59
2026-01-23 00:00,2.28,2.294,1.958,1.964,5573908.06,2026-01-24 18:59
2026-01-24 00:00,1.964,2.023,1.803,1.899,6219352.86,2026-01-25 18:59
