Open_Time_NY,Open,High,Low,Close,Volume,Close_Time_NY
2026-03-14 13:00,1.978,1.979,1.968,1.977,29997.5,2026-03-14 13:59
2026-03-14 14:00,1.976,1.991,1.975,1.98,37892.36,2026-03-14 14:59
2026-03-14 15:00,1.98,1.985,1.973,1.978,28729.07,2026-03-14 15:59
2026-03-14 16:00,1.979,1.984,1.973,1.984,39234.78,2026-03-14 16:59
2026-03-14 17:00,1.984,1.987,1.948,1.964,128790.9,2026-03-14 17:59
2026-03-14 18:00,1.965,1.975,1.962,1.973,59585.18,2026-03-14 18:59
2026-03-14 19:00,1.974,1.985,1.968,1.98,157001.94,2026-03-14 19:59
2026-03-14 20:00,1.981,1.987,1.964,1.966,79914.11,2026-03-14 20:59
2026-03-14 21:00,1.968,1.969,1.957,1.966,49091.0,2026-03-14 21:59
2026-03-14 22:00,1.966,1.972,1.954,1.967,61897.33,2026-03-14 22:59
2026-03-14 23:00,1.967,1.969,1.958,1.967,58562.2,2026-03-14 23:59
2026-03-15 00:00,1.967,1.977,1.961,1.976,37724.32,2026-03-15 00:59
2026-03-15 01:00,1.977,1.99,1.974,1.986,91180.03,2026-03-15 01:59
2026-03-15 02:00,1.985,2.004,1.98,1.993,141946.4,2026-03-15 02:59
2026-03-15 03:00,1.994,2.046,1.993,2.034,555515.39,2026-03-15 03:59
2026-03-15 04:00,2.034,2.04,2.015,2.022,96146.33,2026-03-15 04:59
2026-03-15 05:00,2.022,2.024,1.997,2.0,79773.57,2026-03-15 05:59
2026-03-15 06:00,2.001,2.013,1.997,2.008,35350.13,2026-03-15 06:59
2026-03-15 07:00,2.007,2.031,2.006,2.031,52729.35,2026-03-15 07:59
2026-03-15 08:00,2.032,2.051,2.031,2.048,88644.32,2026-03-15 08:59
2026-03-15 09:00,2.049,2.053,2.023,2.037,129614.32,2026-03-15 09:59
2026-03-15 10:00,2.038,2.065,2.035,2.058,152543.57,2026-03-15 10:59
2026-03-15 11:00,2.06,2.085,2.058,2.08,190175.44,2026-03-15 11:59
2026-03-15 12:00,2.08,2.086,2.045,2.073,130310.1,2026-03-15 12:59
2026-03-15 13:00,2.074,2.139,2.073,2.131,216813.26,2026-03-15 13:59
2026-03-15 14:00,2.132,2.211,2.119,2.144,1139434.48,2026-03-15 14:59
2026-03-15 15:00,2.146,2.178,2.145,2.16,192369.86,2026-03-15 15:59
2026-03-15 16:00,2.16,2.166,2.125,2.146,179585.33,2026-03-15 16:59
2026-03-15 17:00,2.147,2.182,2.139,2.174,106437.05,2026-03-15 17:59
2026-03-15 18:00,2.174,2.201,2.152,2.183,306258.56,2026-03-15 18:59
2026-03-15 19:00,2.184,2.202,2.153,2.16,195935.54,2026-03-15 19:59
2026-03-15 20:00,2.16,2.174,2.125,2.165,162410.08,2026-03-15 20:59
2026-03-15 21:00,2.165,2.168,2.149,2.16,90830.15,2026-03-15 21:59
2026-03-15 22:00,2.16,2.198,2.131,2.186,418510.18,2026-03-15 22:59
2026-03-15 23:00,2.185,2.2,2.154,2.184,432780.31,2026-03-15 23:59
2026-03-16 00:00,2.184,2.233,2.183,2.201,280140.34,2026-03-16 00:59
2026-03-16 01:00,2.201,2.232,2.185,2.199,152877.44,2026-03-16 01:59
2026-03-16 02:00,2.199,2.202,2.177,2.185,144206.65,2026-03-16 02:59
2026-03-16 03:00,2.184,2.186,2.16,2.167,143011.18,2026-03-16 03:59
2026-03-16 04:00,2.168,2.177,2.162,2.17,41194.65,2026-03-16 04:59
2026-03-16 05:00,2.17,2.188,2.169,2.176,41848.07,2026-03-16 05:59
2026-03-16 06:00,2.177,2.188,2.167,2.176,70064.17,2026-03-16 06:59
2026-03-16 07:00,2.175,2.175,2.155,2.163,104229.65,2026-03-16 07:59
2026-03-16 08:00,2.162,2.184,2.16,2.182,39075.2,2026-03-16 08:59
2026-03-16 09:00,2.183,2.208,2.176,2.206,91762.6,2026-03-16 09:59
2026-03-16 10:00,2.206,2.228,2.196,2.224,206720.66,2026-03-16 10:59
2026-03-16 11:00,2.225,2.27,2.208,2.243,301835.41,2026-03-16 11:59
2026-03-16 12:00,2.243,2.271,2.213,2.26,214818.08,2026-03-16 12:59
2026-03-16 13:00,2.26,2.311,2.258,2.296,410548.78,2026-03-16 13:59
2026-03-16 14:00,2.296,2.308,2.257,2.265,327221.82,2026-03-16 14:59
2026-03-16 15:00,2.265,2.289,2.257,2.28,85895.81,2026-03-16 15:59
2026-03-16 16:00,2.28,2.293,2.263,2.293,144439.75,2026-03-16 16:59
2026-03-16 17:00,2.293,2.307,2.283,2.284,142254.35,2026-03-16 17:59
2026-03-16 18:00,2.284,2.302,2.261,2.271,207850.8,2026-03-16 18:59
2026-03-16 19:00,2.27,2.27,2.24,2.243,81304.37,2026-03-16 19:59
2026-03-16 20:00,2.242,2.256,2.228,2.244,142536.07,2026-03-16 20:59
2026-03-16 21:00,2.243,2.259,2.229,2.251,114809.13,2026-03-16 21:59
2026-03-16 22:00,2.251,2.253,2.213,2.22,110683.27,2026-03-16 22:59
2026-03-16 23:00,2.219,2.22,2.187,2.206,210637.92,2026-03-16 23:59
2026-03-17 00:00,2.206,2.221,2.188,2.217,104404.16,2026-03-17 00:59
2026-03-17 01:00,2.217,2.221,2.197,2.201,65028.31,2026-03-17 01:59
2026-03-17 02:00,2.202,2.208,2.182,2.189,127292.02,2026-03-17 02:59
2026-03-17 03:00,2.189,2.212,2.189,2.201,70931.54,2026-03-17 03:59
2026-03-17 04:00,2.201,2.225,2.195,2.216,81687.18,2026-03-17 04:59
2026-03-17 05:00,2.215,2.252,2.205,2.234,110599.62,2026-03-17 05:59
2026-03-17 06:00,2.234,2.255,2.224,2.253,73386.75,2026-03-17 06:59
2026-03-17 07:00,2.253,2.285,2.247,2.285,180101.73,2026-03-17 07:59
2026-03-17 08:00,2.284,2.3,2.246,2.257,160111.6,2026-03-17 08:59
2026-03-17 09:00,2.258,2.273,2.229,2.251,138223.13,2026-03-17 09:59
2026-03-17 10:00,2.251,2.272,2.23,2.272,100982.01,2026-03-17 10:59
2026-03-17 11:00,2.271,2.3,2.267,2.293,116214.32,2026-03-17 11:59
2026-03-17 12:00,2.292,2.307,2.28,2.295,126050.27,2026-03-17 12:59
2026-03-17 13:00,2.296,2.333,2.296,2.314,263577.2,2026-03-17 13:59
2026-03-17 14:00,2.315,2.337,2.312,2.336,195184.33,2026-03-17 14:59
2026-03-17 15:00,2.336,2.379,2.319,2.322,341947.42,2026-03-17 15:59
2026-03-17 16:00,2.321,2.368,2.307,2.367,199444.36,2026-03-17 16:59
2026-03-17 17:00,2.367,2.387,2.335,2.343,294924.42,2026-03-17 17:59
2026-03-17 18:00,2.344,2.35,2.321,2.338,105528.73,2026-03-17 18:59
2026-03-17 19:00,2.338,2.354,2.312,2.313,130360.56,2026-03-17 19:59
2026-03-17 20:00,2.314,2.355,2.291,2.348,251927.43,2026-03-17 20:59
2026-03-17 21:00,2.349,2.378,2.335,2.351,156299.48,2026-03-17 21:59
2026-03-17 22:00,2.35,2.393,2.34,2.379,166357.05,2026-03-17 22:59
2026-03-17 23:00,2.378,2.39,2.345,2.352,155071.51,2026-03-17 23:59
2026-03-18 00:00,2.351,2.351,2.309,2.322,75311.38,2026-03-18 00:59
2026-03-18 01:00,2.322,2.345,2.314,2.329,95729.69,2026-03-18 01:59
2026-03-18 02:00,2.33,2.357,2.304,2.306,179498.26,2026-03-18 02:59
2026-03-18 03:00,2.307,2.331,2.289,2.317,122468.6,2026-03-18 03:59
2026-03-18 04:00,2.316,2.316,2.288,2.289,72896.54,2026-03-18 04:59
2026-03-18 05:00,2.29,2.314,2.284,2.293,56185.99,2026-03-18 05:59
2026-03-18 06:00,2.293,2.3,2.261,2.283,211793.13,2026-03-18 06:59
2026-03-18 07:00,2.282,2.301,2.258,2.271,274275.78,2026-03-18 07:59
2026-03-18 08:00,2.27,2.278,2.178,2.194,379437.15,2026-03-18 08:59
2026-03-18 09:00,2.194,2.204,2.163,2.198,275180.05,2026-03-18 09:59
2026-03-18 10:00,2.199,2.226,2.18,2.197,157964.12,2026-03-18 10:59
2026-03-18 11:00,2.199,2.213,2.177,2.183,142182.46,2026-03-18 11:59
