Symbol,Period,Rows,Status,Updated_NY
BTC,15min_2d,191,✓,2026-03-21 13:04 NY
BTC,1h_7d,167,✓,2026-03-21 13:04 NY
BTC,4h_1mo,179,✓,2026-03-21 13:04 NY
BTC,1d_3mo,89,✓,2026-03-21 13:04 NY
ETH,15min_2d,191,✓,2026-03-21 13:04 NY
ETH,1h_7d,167,✓,2026-03-21 13:04 NY
ETH,4h_1mo,179,✓,2026-03-21 13:04 NY
ETH,1d_3mo,89,✓,2026-03-21 13:04 NY
XRP,15min_2d,191,✓,2026-03-21 13:04 NY
XRP,1h_7d,167,✓,2026-03-21 13:04 NY
XRP,4h_1mo,179,✓,2026-03-21 13:04 NY
XRP,1d_3mo,89,✓,2026-03-21 13:04 NY
BNB,15min_2d,191,✓,2026-03-21 13:04 NY
BNB,1h_7d,167,✓,2026-03-21 13:05 NY
BNB,4h_1mo,179,✓,2026-03-21 13:05 NY
BNB,1d_3mo,89,✓,2026-03-21 13:05 NY
SOL,15min_2d,191,✓,2026-03-21 13:05 NY
SOL,1h_7d,167,✓,2026-03-21 13:05 NY
SOL,4h_1mo,179,✓,2026-03-21 13:05 NY
SOL,1d_3mo,89,✓,2026-03-21 13:05 NY
TRX,15min_2d,191,✓,2026-03-21 13:05 NY
TRX,1h_7d,167,✓,2026-03-21 13:05 NY
TRX,4h_1mo,0,✗,2026-03-21 13:05 NY
TRX,1d_3mo,89,✓,2026-03-21 13:05 NY
DOGE,15min_2d,191,✓,2026-03-21 13:05 NY
DOGE,1h_7d,167,✓,2026-03-21 13:05 NY
DOGE,4h_1mo,179,✓,2026-03-21 13:05 NY
DOGE,1d_3mo,89,✓,2026-03-21 13:05 NY
ADA,15min_2d,191,✓,2026-03-21 13:05 NY
ADA,1h_7d,167,✓,2026-03-21 13:05 NY
ADA,4h_1mo,179,✓,2026-03-21 13:05 NY
ADA,1d_3mo,89,✓,2026-03-21 13:05 NY
BCH,15min_2d,191,✓,2026-03-21 13:05 NY
BCH,1h_7d,167,✓,2026-03-21 13:05 NY
BCH,4h_1mo,179,✓,2026-03-21 13:05 NY
BCH,1d_3mo,89,✓,2026-03-21 13:05 NY
LINK,15min_2d,191,✓,2026-03-21 13:05 NY
LINK,1h_7d,167,✓,2026-03-21 13:05 NY
LINK,4h_1mo,179,✓,2026-03-21 13:05 NY
LINK,1d_3mo,89,✓,2026-03-21 13:05 NY
XLM,15min_2d,191,✓,2026-03-21 13:05 NY
XLM,1h_7d,167,✓,2026-03-21 13:05 NY
XLM,4h_1mo,179,✓,2026-03-21 13:06 NY
XLM,1d_3mo,89,✓,2026-03-21 13:06 NY
LTC,15min_2d,191,✓,2026-03-21 13:06 NY
LTC,1h_7d,167,✓,2026-03-21 13:06 NY
LTC,4h_1mo,179,✓,2026-03-21 13:06 NY
LTC,1d_3mo,89,✓,2026-03-21 13:06 NY
AVAX,15min_2d,191,✓,2026-03-21 13:06 NY
AVAX,1h_7d,167,✓,2026-03-21 13:06 NY
AVAX,4h_1mo,179,✓,2026-03-21 13:06 NY
AVAX,1d_3mo,89,✓,2026-03-21 13:06 NY
HBAR,15min_2d,191,✓,2026-03-21 13:06 NY
HBAR,1h_7d,167,✓,2026-03-21 13:06 NY
HBAR,4h_1mo,179,✓,2026-03-21 13:06 NY
HBAR,1d_3mo,89,✓,2026-03-21 13:06 NY
ZEC,15min_2d,191,✓,2026-03-21 13:06 NY
ZEC,1h_7d,167,✓,2026-03-21 13:06 NY
ZEC,4h_1mo,179,✓,2026-03-21 13:06 NY
ZEC,1d_3mo,89,✓,2026-03-21 13:06 NY
SUI,15min_2d,191,✓,2026-03-21 13:06 NY
SUI,1h_7d,167,✓,2026-03-21 13:06 NY
SUI,4h_1mo,179,✓,2026-03-21 13:06 NY
SUI,1d_3mo,89,✓,2026-03-21 13:06 NY
TON,15min_2d,191,✓,2026-03-21 13:06 NY
TON,1h_7d,167,✓,2026-03-21 13:06 NY
TON,4h_1mo,179,✓,2026-03-21 13:06 NY
TON,1d_3mo,89,✓,2026-03-21 13:06 NY
TAO,15min_2d,191,✓,2026-03-21 13:06 NY
TAO,1h_7d,167,✓,2026-03-21 13:06 NY
TAO,4h_1mo,179,✓,2026-03-21 13:06 NY
TAO,1d_3mo,89,✓,2026-03-21 13:06 NY
